airtableRecordId,sourceType,sourceRecordId,importBatchId,rawHotelName,rawCity,rawCountry,rawLatitude,rawLongitude,rawWebsite,rawBrand,retentionRecommendation,qualityScore,classification
recGllt4O6ubgl8rK,osm,way/1174465190,osm-argentina-hotel-focused-choice-cala-2026-05-20,"""La Costanera""",,Argentina,-39.949443,-71.064981,,,low_priority_hold,55,export_to_raw_store_then_archive
recNN1Rjh8UXy6R7Z,osm,way/1173826456,osm-argentina-hotel-focused-choice-cala-2026-05-20,"""Lonquimay Apart""",,Argentina,-39.9576766,-71.0722566,,,low_priority_hold,55,export_to_raw_store_then_archive
recK7gCCFPRqCnxmw,osm,node/9656384381,osm-argentina-hotel-focused-choice-cala-2026-05-20,@Ruta40 Cabanas,,Argentina,-37.3819714,-70.2751705,,,low_priority_hold,55,export_to_raw_store_then_archive
recwyQukmYBj8zJlw,osm,node/1681980678,osm-argentina-hotel-focused-choice-cala-2026-05-20,15 de Mayo,,Argentina,-37.9961913,-57.5475013,,,low_priority_hold,55,export_to_raw_store_then_archive
recv4q4HCxb9qGWzF,osm,node/8035340985,osm-argentina-hotel-focused-choice-cala-2026-05-20,17 g,,Argentina,-54.8183993,-68.3292185,,,low_priority_hold,55,export_to_raw_store_then_archive
reclxquPSUXTgoaW2,osm,node/6264332488,osm-argentina-hotel-focused-choice-cala-2026-05-20,2835,,Argentina,-34.5724109,-58.4298427,,,low_priority_hold,55,export_to_raw_store_then_archive
recazKDKelrV4Tq7R,osm,node/10160351527,osm-argentina-hotel-focused-choice-cala-2026-05-20,3260 Hostel,,Argentina,-32.4804907,-58.2295808,,,low_priority_hold,55,export_to_raw_store_then_archive
recITqXFuc5Uokm0s,osm,way/415641252,osm-argentina-hotel-focused-choice-cala-2026-05-20,4 Pinos,,Argentina,-27.4854517,-55.1206063,,,low_priority_hold,55,export_to_raw_store_then_archive
receUjmVQ9ClIMSi1,osm,node/2262235765,osm-argentina-hotel-focused-choice-cala-2026-05-20,474 Buenos Aires,,Argentina,-34.6024989,-58.3739727,,,low_priority_hold,55,export_to_raw_store_then_archive
recEyYXf0dicxN5w9,osm,node/4267480989,osm-argentina-hotel-focused-choice-cala-2026-05-20,531 Hostel,,Argentina,-31.419153,-64.1839475,,,low_priority_hold,55,export_to_raw_store_then_archive
recLQ7fbR62Egiqw7,osm,node/13596782901,osm-argentina-hotel-focused-choice-cala-2026-05-20,64Bigüa,,Argentina,-50.3399107,-72.2755864,,,low_priority_hold,55,export_to_raw_store_then_archive
recxfnBEjGKuTDcZq,osm,node/6223133387,osm-argentina-hotel-focused-choice-cala-2026-05-20,7 Duendes Base,,Argentina,-24.796625,-65.4059715,,,low_priority_hold,55,export_to_raw_store_then_archive
recAKuFN7pv1EE5xx,osm,way/203399494,osm-argentina-hotel-focused-choice-cala-2026-05-20,7 Duendes Base Hostel,,Argentina,-24.7968421,-65.4059259,,,low_priority_hold,55,export_to_raw_store_then_archive
recHilbn6kKiF0lLu,osm,node/2262235929,osm-argentina-hotel-focused-choice-cala-2026-05-20,725 Continental,,Argentina,-34.6061021,-58.3767199,,,low_priority_hold,55,export_to_raw_store_then_archive
recEEVTQoGDrZkOKT,osm,node/12076171600,osm-argentina-hotel-focused-choice-cala-2026-05-20,73 Malditos,,Argentina,-48.7430953,-70.2767951,,,low_priority_hold,55,export_to_raw_store_then_archive
recWWWGtjYpkI5coO,osm,relation/10246690,osm-argentina-hotel-focused-choice-cala-2026-05-20,791 Hotel,,Argentina,-40.8074611,-65.0964276,,,low_priority_hold,55,export_to_raw_store_then_archive
reche9GcKr9xA0g9P,osm,way/741080945,osm-argentina-hotel-focused-choice-cala-2026-05-20,791 Hotel,,Argentina,-40.8074253,-65.0965297,,,low_priority_hold,55,export_to_raw_store_then_archive
recJJ4lPkrJE75jVC,osm,way/571038036,osm-argentina-hotel-focused-choice-cala-2026-05-20,A.C.A,,Argentina,-28.8050989,-66.9492494,,,low_priority_hold,55,export_to_raw_store_then_archive
rectwGoQw2EQ6oCRe,osm,node/11735969603,osm-argentina-hotel-focused-choice-cala-2026-05-20,Abadía,,Argentina,-33.0099958,-58.5113486,,,low_priority_hold,55,export_to_raw_store_then_archive
rech6lHmHl2qjleiJ,osm,node/2262235404,osm-argentina-hotel-focused-choice-cala-2026-05-20,Abh - About Baires Hotel,,Argentina,-34.6003709,-58.3808414,,,low_priority_hold,55,export_to_raw_store_then_archive
recVNVsPhHeBIe5JH,osm,node/4306178689,osm-argentina-hotel-focused-choice-cala-2026-05-20,abuela,,Argentina,-43.2562913,-65.2886614,,,low_priority_hold,55,export_to_raw_store_then_archive
