propertyId,name,brand,city,country,address1,postalCode,telephone,email,latitude,longitude,propertyUrl
A029,Mercure Santa Rosa La Pampa,MER,SANTA ROSA,Argentina,"Av Santiago Marzo N 25, Interseccion Ruta 5 Y 35",L6300BCS,+54 2954700200,reservas.hotel@casinoclub.com.ar,-36.620634,-64.269821,https://all.accor.com/hotel/A029/index.en.shtml
8646,ibis Pilar,IBH,PILAR,Argentina,"Las Magnolias 533, Km 50 Ramal Pilar",1629,+54 230/4386666,h8646-re@accor.com,-34.436773,-58.808565,https://all.accor.com/hotel/8646/index.en.shtml
6519,Sofitel La Reserva Cardales,SOF,CAMPANA,Argentina,"Ruta Panamericana No. 9, Km 61, Campana, Buenos Aires",2804,+54 03489 435555,sofitellareservacardales@sofitel.com,-34.273545,-58.898638,https://all.accor.com/hotel/6519/index.en.shtml
3251,ibis Buenos Aires Congreso,IBH,BUENOS AIRES,Argentina,"Hipolito Yrigoyen 1592, Capital Federal",1089,+54 11/ 53005555,h3251@accor.com,-34.611113,-58.389135,https://all.accor.com/hotel/3251/index.en.shtml
B1R7,Palladio Hotel Buenos Aires - MGallery Collection,MGA,BUENOS AIRES,Argentina,Avenida Callao 924,C1023AAP,,recepcion.palladio@accor.com,-34.598325,-58.393428,https://all.accor.com/hotel/B1R7/index.en.shtml
6503,Novotel Buenos Aires,NOV,BUENOS AIRES,Argentina,Av. Corrientes 1334,C1043ABN,+54 11/43709500,h6503-re@accor.com,-34.604847,-58.385635,https://all.accor.com/hotel/6503/index.en.shtml
6502,ibis Buenos Aires Obelisco,IBH,BUENOS AIRES,Argentina,"Av Corrientes 1344, Esq. Talcahuano y Uruguay",C1043ABN,+54 11/43709300,h6502-re@accor.com,-34.603974,-58.385747,https://all.accor.com/hotel/6502/index.en.shtml
B723,SLS BUENOS AIRES PUERTO MADERO,SLS,Buenos Aires,Argentina,"JUANA MANSO, 1725, Puerto Madero",C1107CHI,+54 1153535354,reservations.puertomadero@slshotels.com,-34.61864981632653,-58.36190354897959,https://all.accor.com/hotel/B723/index.en.shtml
B8G3,Faena Buenos Aires,FAE,CIUDAD AUTONOMA BUENOS AIRES,Argentina,MARTHA SALOTTI 445,C1107CMB,+54 1140109000,info@faenahotels.com,-34.6138531,-58.3643026,https://all.accor.com/hotel/B8G3/index.en.shtml
B2V8,ibis Styles Buenos Aires Florida,IBS,Buenos Aires,Argentina,,1043,+54 1152790000,hb2v8-fo@accor.com,-34.603489,-58.375724,https://all.accor.com/hotel/B2V8/index.en.shtml
C4N6,Park Royal Buenos Aires managed by Accor,SAM,BUENOS AIRES,Argentina,"Suipacha 1092, C1008AAV",1008,+54 1143203600,hc4t7-re@accor.com,-34.595512,-58.379955,https://all.accor.com/hotel/C4N6/index.en.shtml
8932,Sofitel Buenos Aires Recoleta,SOF,BUENOS AIRES,Argentina,Posadas 1232,1011,+54 11/48191100,reservas@sofitel.com,-34.5894,-58.38398,https://all.accor.com/hotel/8932/index.en.shtml
6784,Pullman Rosario City Center,PUL,ROSARIO,Argentina,"Av Batlle y Ordoñez y Bv Oroño, City Center",S2000DSI,+54 3414103200,reservas@pullman-citycenter.com.ar,-33.009833,-60.66203,https://all.accor.com/hotel/6784/index.en.shtml
B8I7,Mercure Rosario,MER,ROSARIO,Argentina,Boulevard Rondeau 101,2000,+54 3415286494,info@mercurerosario.com,-32.913714,-60.689104,https://all.accor.com/hotel/B8I7/index.en.shtml
C2M2,Ibis Puerto General San Martin,IBH,Puerto General San Martin,Argentina,El espinillo,2202,+54 93476251816,hc2m2-re@accor.com,-32.70522,-60.77961,https://all.accor.com/hotel/C2M2/index.en.shtml
2161,ibis Mendoza,IBH,MENDOZA,Argentina,"Lateral Sur Acceso Este 4241, Guaymallen",5521,+54 2614769054,ibis.mendoza@accor.com,-32.907627,-68.791778,https://all.accor.com/hotel/2161/index.en.shtml
8431,Mercure Iguazu Hotel Iru,MER,PUERTO IGUAZU,Argentina,"Selva Iryapu S N, Predio 600 Has, MISIONES",3370,+54 3757/493300,h8431-re@accor.com,-25.60345,-54.551239,https://all.accor.com/hotel/8431/index.en.shtml
