propertyId,name,brand,city,country,address1,postalCode,telephone,email,latitude,longitude,propertyUrl
B7E2,ibis Barra do Garças,IBH,Barra do Garças,Brazil,"Av Senador Varjao, 5341, Vila Sao Jose",78605084,+55 6621235560,hb7e2-fo@accor.com,-15.878655,-52.29971,https://all.accor.com/hotel/B7E2/index.en.shtml
B7C8,Ibis Primavera do Leste,IBH,PRIMAVERA DO LESTE,Brazil,,78850000,+55 66 3180 0001,hb7c8-re@accor.com,-15.533513,-54.300105,https://all.accor.com/hotel/B7C8/index.en.shtml
B300,Ibis Styles Rondonopolis,IBS,RONDONOPOLIS,Brazil,"Av Paulista 363, Qd 2 Lote 02",78730631,+55 6621038180,hb300-re@accor.com,-16.46902,-54.60952,https://all.accor.com/hotel/B300/index.en.shtml
C1X6,ibis Styles Goiânia Station Mall,IBS,GOIANIA,Brazil,"WESTERN AVENUE 1690, North Railway Sector",74063020,+55 62/36116603,hc1X6-re@accor.com,-16.661061,-49.261851,https://all.accor.com/hotel/C1X6/index.en.shtml
3670,ibis Goiania,IBH,GOIANIA,Brazil,Rua 21 No 154,74120120,+55 62/27656050,h3670-re@accor.com,-16.69047,-49.26298,https://all.accor.com/hotel/3670/index.en.shtml
9331,ibis Styles Goiania Marista,IBS,GOIANIA,Brazil,"Rua 15, Quadra H24 Lote 07 09, 2045",74150020,+55 6236238850,h9331-re@accor.com,-16.70133,-49.26514,https://all.accor.com/hotel/9331/index.en.shtml
9370,ibis Jataí Shopping,IBH,JATAI,Brazil,"Rua Jose De Carvalho 1726 Q 17, Rua Jose de Carvalho 1726, Rua Jose de Carvalho 1726",75805132,+55 64/21025200,h9370-re@accor.com.br,-17.87343,-51.73078,https://all.accor.com/hotel/9370/index.en.shtml
B0I3,ibis Styles Brasilia Aeroporto,IBS,BRASÍLIA,Brazil,"Aeroporto Int De Brasilia, Setor De Concessionarias, Lote 02",71608900,+55 6121966600,hb0i3-sm1@accor.com,-15.87105,-47.92673,https://all.accor.com/hotel/B0I3/index.en.shtml
3627,Mercure Brasilia Leader,MER,BRASILIA,Brazil,"Shn  Qd 5  Bloco I, Asa Norte, Brasilia - DF",70705912,+55 6134264000,h3627-re@accor.com,-15.78873,-47.89099,https://all.accor.com/hotel/3627/index.en.shtml
3632,Grand Mercure Brasilia Eixo Monumental,MEI,BRASÍLIA,Brazil,"Setor Hoteleiro Norte quadra 5, Bloco G",70705913,+55 61/34242000,h3632-re@accor.com,-15.788328,-47.890239,https://all.accor.com/hotel/3632/index.en.shtml
8644,ibis Sinop,IBH,SINOP,Brazil,"Av dos Jacarandás, 4120, Setor Industrial Norte",78550510,+55 66999266017,h8644-re@accor.com.br,-11.8518,-55.49623,https://all.accor.com/hotel/8644/index.en.shtml
A747,Ibis Cuiabá Shopping,IBH,Cuiabá,Brazil,"Rua das Tulipas, 1400",78043162,+55 6539258600,ha747-re@accor.com,-15.59235,-56.11767,https://all.accor.com/hotel/A747/index.en.shtml
9014,Ibis Palmas Avenida JK,IBH,PALMAS,Brazil,"Arne 12, Lote L, Alameda 02 - Palmas/TO",77006046,+55 6332334040,h9014-re@accor.com,-10.18189,-48.32447,https://all.accor.com/hotel/9014/index.en.shtml
B9G7,IBIS TANGARA DA SERRA,IBH,TANGARA DA SERRA,Brazil,,78304000,+55 65999859153,HB9G7-GM@ACCOR.COM,-14.61803,-57.4946,https://all.accor.com/hotel/B9G7/index.en.shtml
9313,ibis Catalao,IBH,CATALAO,Brazil,"Rua Mandaguari 177, Bairro Nossa Senhora De Fatima",75709010,+55 6434451800,h9313-re@accor.com,-18.17905,-47.94115,https://all.accor.com/hotel/9313/index.en.shtml
