propertyId,name,brand,city,country,address1,postalCode,telephone,email,latitude,longitude,propertyUrl
6939,ibis Concepcion,IBH,CONCEPCION,Chile,"Av San Andres 37, Lomas de San Andrees",4090205,+56 41/2291900,Nicolas.Cid@accor.com,-36.792289,-73.063167,https://all.accor.com/hotel/6939/index.en.shtml
8924,Mercure Santiago Centro,MER,SANTIAGO,Chile,"Avda Lib Bernardo O'Higgins,632, Santiago Centro",8330066,+56 2/25956622,H8924-RE@accor.com,-33.442807,-70.645634,https://all.accor.com/hotel/8924/index.en.shtml
9869,Ibis budget Santiago Providencia,IBB,Santiago,Chile,,7500591,+56 232930600,emily.moreno@accor.com,-33.4308041,-70.6189691,https://all.accor.com/hotel/9869/index.en.shtml
7853,ibis Santiago Providencia,IBH,SANTIAGO,Chile,Avenida Providencia 1187,7500585,+56 2/27683800,h7853-re@accor.com,-33.429453,-70.62142,https://all.accor.com/hotel/7853/index.en.shtml
A092,Novotel Santiago Providencia,NOV,SANTIAGO,Chile,"Avenida Holanda, 222, Providencia",7510084,+56 226062222,fernanda.gonzalez@ACCOR.COM,-33.421231,-70.60316,https://all.accor.com/hotel/A092/index.en.shtml
B461,Pullman Santiago El Bosque,PUL,SANTIAGO,Chile,Roger De Flor 2770 Las Condes,7550000,+56 2/29473600,reservas.chile@accor.com,-33.416724,-70.601263,https://all.accor.com/hotel/B461/index.en.shtml
B470,Pullman Santiago Vitacura,PUL,SANTIAGO,Chile,Av Vitacura 3201 Vitacura,7630578,+56 229447800,pullman.vitacura@accor.com,-33.407496,-70.598381,https://all.accor.com/hotel/B470/index.en.shtml
B469,Novotel Santiago Las Condes,NOV,SANTIAGO,Chile,"Av Alonso de Cordova 5199, Las Condes",7560873,+56 2/24227900,ReservasNLC@accor.com,-33.406674,-70.576273,https://all.accor.com/hotel/B469/index.en.shtml
7933,ibis Santiago Las Condes,IBH,SANTIAGO,Chile,"Calle O Connell 165, Comuna Las Condes",7550000,+56 2/26877800,h7933-re@accor.com,-33.407492,-70.568732,https://all.accor.com/hotel/7933/index.en.shtml
5233,Novotel Santiago Vitacura,NOV,SANTIAGO,Chile,"Av. Américo Vespucio Norte 1630, Vitacura",7630340,+56 224992200,h5233-re@accor.com,-33.399555,-70.587833,https://all.accor.com/hotel/5233/index.en.shtml
8227,ibis Valparaiso,IBH,VALPARAISO,Chile,Av Errazuriz 811,2340000,+56 32/2802300,H8227-re@accor.com,-33.039295,-71.626641,https://all.accor.com/hotel/8227/index.en.shtml
B463,Pullman Viña del Mar San Martín,PUL,VIÑA DEL MAR,Chile,Av San martin 667,2520096,+56 32/3817100,reservas.chile@accor.com,-33.014895,-71.555744,https://all.accor.com/hotel/B463/index.en.shtml
C0I8,Novotel Puerto Montt,NOV,Puerto Montt,Chile,,123245,+56 652226200,novotelpuertomontt@accor.com,-41.47322,-72.9359,https://all.accor.com/hotel/C0I8/index.en.shtml
7491,ibis Puerto Montt,IBH,PUERTO MONTT,Chile,"Avenida Diego Portales 1001, Puerto Montt",5480000,+56 65/2227400,h7491-re@accor.com,-41.476556,-72.949496,https://all.accor.com/hotel/7491/index.en.shtml
8929,ibis budget Copiapo,IBB,COPIAPO,Chile,"Manuel Rodríguez, 733",1530000,+56 522256206,h8922-re@accor.com,-27.365525,-70.330333,https://all.accor.com/hotel/8929/index.en.shtml
8922,ibis Copiapo,IBH,COPIAPO,Chile,"Colipi, 610",1530000,+56 522256206,h8922-re@accor.com,-27.365525,-70.330333,https://all.accor.com/hotel/8922/index.en.shtml
6940,ibis Antofagasta,IBH,ANTOFAGASTA,Chile,Av Jose Miguel Carrera 1627,1240000,+56 55/2458200,h6940-re@accor.com,-23.659678,-70.401893,https://all.accor.com/hotel/6940/index.en.shtml
9434,Ibis Styles Antofagasta,IBS,Antofagasta,Chile,Av. José Santos Ossa 2002,1271680,+56 552352700,h9434-re@accor.com,-23.654487,-70.400195,https://all.accor.com/hotel/9434/index.en.shtml
9407,ibis budget Calama,IBB,CALAMA,Chile,"Calle Nueva 2, 1857, Parque Poniente",1490000,+56 552515400,h9409-re@accor.com,-22.457119,-68.9235563,https://all.accor.com/hotel/9407/index.en.shtml
9409,ibis Calama,IBH,CALAMA,Chile,"Calle Nueva 2, 1857, Parque Poniente",1490000,+56 552515400,H9409-re@accor.com,-22.457119,-68.9235563,https://all.accor.com/hotel/9409/index.en.shtml
9433,ibis budget Iquique,IBB,IQUIQUE,Chile,"Patricio Lynch 1296, Region De Tarapaca",1101214,+56 572466900,H9435-RE@ACCOR.COM,-20.220167,-70.151089,https://all.accor.com/hotel/9433/index.en.shtml
9435,ibis Iquique,IBH,IQUIQUE,Chile,"Orella 434, Region de Tarapaca",1101214,+56 572466900,H9435-RE@ACCOR.COM,-20.220167,-70.151089,https://all.accor.com/hotel/9435/index.en.shtml
B5W1,Novotel Arica,NOV,ARICA,Chile,,100000,+56 582382800,HB5W1-RE@ACCOR.COM,-18.460938,-70.303537,https://all.accor.com/hotel/B5W1/index.en.shtml
