propertyId,name,brand,city,country,address1,postalCode,telephone,email,latitude,longitude,propertyUrl
7318,ibis Bogota Museo,IBH,BOGOTA,Colombia,"Transversal 6 No 27 - 85, Centro Internacional",11001,+57 6017422404,reservas.ibisbogotamuseo@accor.com,4.614176,-74.068794,https://all.accor.com/hotel/7318/index.en.shtml
B429,ibis budget Bogota Marly,IBB,BOGOTA,Colombia,"CARRERA 8, 49",110231,+57 6014432750,reservas.ibisbudgetmarly@accor.com,4.636443,-74.064129,https://all.accor.com/hotel/B429/index.en.shtml
A535,Mercure Bogotá BH Zona Financiera,MER,BOGOTÁ,Colombia,Carrera 7 65 01,110231,+57 1/7424095,ha535-re@accor.com,4.6492144,-74.0591567999,https://all.accor.com/hotel/A535/index.en.shtml
A536,Mercure Bogota BH Retiro,MER,BOGOTA,Colombia,Av Cll 80 no 10-11,110221,+57 6017563177,ha536-re@accor.com,4.6637916,-74.053359,https://all.accor.com/hotel/A536/index.en.shtml
0561,Sofitel Bogota Victoria Regia,SOF,BOGOTA,Colombia,"Carrera 13 # 85-80, Cundinamarca",110221,+57 6016466390,reservas.bogota@sofitel.com,4.669983,-74.053158,https://all.accor.com/hotel/0561/index.en.shtml
B471,Mercure Bogotá Calle 100 (Ex Atton),MER,BOGOTÁ,Colombia,Transv. 23 98 27 Chico N.,110010,+57 1/7477776,hb471-re@accor.com,4.6858166,-74.0586229,https://all.accor.com/hotel/B471/index.en.shtml
B468,Novotel Bogotá Parque 93 (Ex Atton),NOV,BOGOTÁ,Colombia,,110111,+57 6015897744,hb468-re@accor.com,4.67516,-74.051745,https://all.accor.com/hotel/B468/index.en.shtml
B201,ibis Chia,IBH,CHIA,Colombia,,2500001,+57 6018844462,reservas.ibischia@accor.com,4.881248,-74.037214,https://all.accor.com/hotel/B201/index.en.shtml
B465,Novotel Medellín El Tesoro,NOV,MEDELLIN,Colombia,Cra 25 1 Sur 45 El Poblad,50022,+57 604/6048156,reservas.medellin@accor.com,6.196159,-75.558192,https://all.accor.com/hotel/B465/index.en.shtml
B206,Ibis budget Medellín Itagüí Metro,IBB,ITAGÜI,Colombia,Calle 50 40 17,55413,+57 46050769,hb206-re@accor.com,6.164662,-75.606574,https://all.accor.com/hotel/B206/index.en.shtml
B780,TRIBE Medellín,TRI,MEDELLIN,Colombia,"CARRERA 35, 10 75",50021,+57 3133972780,hb780-re@accor.com,6.209544,-75.565505,https://all.accor.com/hotel/B780/index.en.shtml
7381,ibis Medellin,IBH,MEDELLIN,Colombia,Calle 20 N 44 16,5001000,+57 3502138586,ibis.medellin@accor.com,6.224094,-75.573546,https://all.accor.com/hotel/7381/index.en.shtml
C450,ibis Styles Medellin Laureles,IBS,MEDELLÍN,Colombia,,50030,+57 6016000902,LAURA.BUILES@ACCOR.COM,6.237965,-75.593979,https://all.accor.com/hotel/C450/index.en.shtml
A0T1,ibis Cali Granada,IBH,CALI,Colombia,"Av 8 Norte 21 Norte 40, Granada District",760042,+57 6024892023,ibis.cali@accor.com,3.4629221,-76.5319,https://all.accor.com/hotel/A0T1/index.en.shtml
A3X0,Ibis Cúcuta,IBH,CUCUTA,Colombia,Avenida 0 14 68,540006,+57 75956161,HA3X0-RE@ACCOR.COM,7.882954,-72.497825,https://all.accor.com/hotel/A3X0/index.en.shtml
B047,ibis Apartadó,IBH,APARTADO,Colombia,Carrera 100 88 21,57841,+57 3208899593,HB047-RE@ACCOR.COM,7.87599,-76.63508,https://all.accor.com/hotel/B047/index.en.shtml
B0P5,Sofitel Barú Cartagena,SOF,CARTAGENA,Colombia,"KM 7 Sector Cartagena, Departamento Bolivar, Baru",130017,+57 6056411690,reservations.baru@sofitel.com,10.2557017948,-75.6072289609,https://all.accor.com/hotel/B0P5/index.en.shtml
1871,Sofitel Legend Santa Clara Cartagena,SOL,CARTAGENA,Colombia,"Calle Del Torno 39-29, Barrio San Diego, (STATE) BOLIVAR",0,+57 6056504700,reservations.santaclara@sofitel.com,10.428294,-75.547714,https://all.accor.com/hotel/1871/index.en.shtml
A232,Hotel Boutique Bovedas de Santa Clara By Accor,SAM,CARTAGENA,Colombia,"Cra 8 39 114, Barrio San Diego",130001,+57 6056504465,reservas@bovedasdesantaclara.com,10.42927,-75.54757,https://all.accor.com/hotel/A232/index.en.shtml
8600,ibis Cartagena Marbella,IBH,CARTAGENA,Colombia,"AVENIDA SANTANDER # 47-90, 47, 90",130002,+57 6056932424,reservas.ibiscartagenamarbella@accor.com,10.436713,-75.535659,https://all.accor.com/hotel/8600/index.en.shtml
A015,Ibis budget Barranquilla,IBB,BARRANQUILLA,Colombia,Cra 50 Nr 84  82,80001,+57 53100838,reservas.ibisbudgetbarranquilla@accor.com,11.004662,-74.818626,https://all.accor.com/hotel/A015/index.en.shtml
9910,ibis Barranquilla,IBH,BARRANQUILLA,Colombia,Calle 86 No 50 66,80001,+57 6053854060,reservas.ibisbarranquilla@accor.com,11.005695,-74.820302,https://all.accor.com/hotel/9910/index.en.shtml
