propertyId,name,brand,city,country,address1,postalCode,telephone,email,latitude,longitude,propertyUrl
7082,ibis Aguascalientes Norte,IBH,Aguascalientes,Mexico,"Bvld Aquascalientes Zac km 6, Fracc Arroyo el Molino",20123,+52 4499224200,edir.cano@accor.com,21.935701,-102.29059,https://all.accor.com/hotel/7082/index.en.shtml
B356,Ibis Budget Aguascalientes,IBB,AGUASCALIENTES,Mexico,"Blvd Aguascalientes Zacatecas, Km 6, Fracc Arroyo El Molino",20123,+52 4499224250,edir.cano@accor.com,21.935093,-102.290534,https://all.accor.com/hotel/B356/index.en.shtml
A8V0,ibis Torreón,IBH,TORREON,Mexico,"Carretera Torreon, San Pedro 2200",27420,+52 00528716905060,ha8v0-re@accor.com,25.6065527,-103.399247,https://all.accor.com/hotel/A8V0/index.en.shtml
6930,ibis San Luis Potosi,IBH,San Luis Potosi,Mexico,"Carretera 57 105 esq Eje 102, Zona Industrial de San Luis",78395,+52 4441678000,h6930-gm1@accor.com,22.123403,-100.917025,https://all.accor.com/hotel/6930/index.en.shtml
3549,ibis Monterrey Valle,IBH,Monterrey,Mexico,"Ave. Lazaro Cardenas 3000, Esq. Dr. Atl Col Valle Oriente, San Pedro Garza García",CP 66269,+52 8181335050,H3549-RE@accor.com,25.650792,-100.333221,https://all.accor.com/hotel/3549/index.en.shtml
3551,Novotel Monterrey Valle,NOV,Monterrey,Mexico,"Ave Lazaro Cardenas 3000, Esq Dr Atl. Col. Valle Oriente, San Pedro Garza Garcia",66269,+52 8181338133,H3551-re@accor.com,25.647823,-100.328565,https://all.accor.com/hotel/3551/index.en.shtml
3250,ibis Monterrey Aeropuerto,IBH,Apodaca,Mexico,"BLVD. INTERAMERICAN 105 AL 109, PARQUE INDUSTRIAL FINSA",66600,+52 8181964040,h3250-re@accor.com,25.787391,-100.13772,https://all.accor.com/hotel/3250/index.en.shtml
3355,Ibis Guadalajara Expo,IBH,Guadalajara,Mexico,"Av Mariano Otero no 1400, Col Jardines Del Bosque",44520,+52 00523338809600,H3355-RE@accor.com,20.654802,-103.392806,https://all.accor.com/hotel/3355/index.en.shtml
9831,ibis Irapuato,IBH,IRAPUATO,Mexico,4to Cinturon Vial 6802 A,36630,+52 462/8006200,h9831-RE@accor.com,20.719914,-101.34904,https://all.accor.com/hotel/9831/index.en.shtml
A7F5,ibis Mazatlan Marina,IBH,MAZATLAN,Mexico,"Avenida Del Delfin 6300, Esq Quinta Avenida, Marina Mazatlan",82112,+52 6696904080,HA7F5-re@accor.com,23.28360824,-106.45019422,https://all.accor.com/hotel/A7F5/index.en.shtml
C4N7,Park Royal Mazatlan managed by AccorHotels,SAM,MAZATLAN,Mexico,"Av Sábalo Cerritos, 3110",82100,+52 6699880324,hc4t7-re@accor.com,23.277871,-106.467811,https://all.accor.com/hotel/C4N7/index.en.shtml
9287,ibis Queretaro,IBH,Queretaro,Mexico,"Av Bernardo Quintana No 302, Col Centro Sur, Queretaro",76090,+52 4426901000,h9287-re@accor.com,20.579205,-100.362142,https://all.accor.com/hotel/9287/index.en.shtml
C280,Marival Distinct All-Suites & World Spa  Handwritten Collection,SOU,NUEVO VALLARTA,Mexico,"AV PASEO COCOTEROS LOTE 53, VILLA 8 11",63735,+52 8335312157,reservaciones.contact.center@marivalresorts.com,20.717471,-105.30385,https://all.accor.com/hotel/C280/index.en.shtml
C2A1,Marival Emotions Resort & Suites Riviera Nayarit by Mercure,MER,NUEVO VALLARTA,Mexico,"BLVD NUEVO VALLARTA, PASEO COCOTEROS",63732,+52 8335312149,reservaciones.contact.center@marivalresorts.com,20.710203,-105.301866,https://all.accor.com/hotel/C2A1/index.en.shtml
C4T7,Club Regina Puerto Vallarta managed by Accor,SAM,Puerto Vallarta,Mexico,Av Paseo de la Marina Sur 205,48335,+52 3222266300,hc4t7-re@accor.com,20.657211,-105.251491,https://all.accor.com/hotel/C4T7/index.en.shtml
C4Q4,Park Royal Home Stay Los Tules managed by Accor,SAM,PUERTO VALLARTA,Mexico,"Blvd Francisco Medina Ascencio, 2135 KM 2, Zona Hotelera",48333,+52 8008727275,HC4Q4-RE@accor.com,20.639212,-105.235062,https://all.accor.com/hotel/C4Q4/index.en.shtml
C2A2,Armony Marival Resort & Spa Punta de Mita - MGallery collection,MGA,Punta de Mita,Mexico,"Carretera Punta de Mita Km 8.3, Playa Destiladeras",63734,+52 8335312146,reservaciones.contact.center@marivalresorts.com,20.745087,-105.427022,https://all.accor.com/hotel/C2A2/index.en.shtml
9367,ibis Culiacan,IBH,Culiacan,Mexico,"Jesus Kumate 3500 Sur, Col San Rafael, Culiacan",80155,+52 6675003700,h9367-re@accor.com,24.769045,-107.447748,https://all.accor.com/hotel/9367/index.en.shtml
5981,ibis Mexico Perinorte,IBH,Cuautitlan Izcalli,Mexico,"Hacienda Sierra Vieja 2, Centro Comercial Perinorte, Colonia Hacienda del Parque",54769,+52 5520759000,h5981-re@accor.com,19.600389,-99.190719,https://all.accor.com/hotel/5981/index.en.shtml
A6I0,ibis Mexico Tlalnepantla,IBH,TLALNEPANTLA,Mexico,"Av Sor Juana Ines De La Cruz, Numero 132 Colonia, Tlalnepantla Centro",54000,+52 5583119000,HA6I0-GM@accor.com,19.538829,-99.200022,https://all.accor.com/hotel/A6I0/index.en.shtml
B5Q7,Novotel Mexico City Toreo,NOV,NAUCALPAN,Mexico,"Av Primero De Mayo 120, Torre 2, San Andres Atoto",53500,+52 5589200400,HB5Q7-RE@accor.com,19.4661829,-99.2265228,https://all.accor.com/hotel/B5Q7/index.en.shtml
C0D9,The Paragon Hotel Mexico City Santa Fe By Accor,SAM,CIUDAD DE MEXICO CITY CDMX,Mexico,"Juan Salvador Agraz 97, Santa Fe, Cuajimalpa de Morelos",05348,+52 5511050170,HC0D9@accor.com,19.35871,-99.27802,https://all.accor.com/hotel/C0D9/index.en.shtml
3550,Novotel Mexico City Santa Fe,NOV,Mexico City,Mexico,"Antonio Dovalí Jaime 75, Col Centro de Ciudad Santa Fe",01210,+52 5591777700,h3550@accor.com,19.366697,-99.259129,https://all.accor.com/hotel/3550/index.en.shtml
C4B4,Hyde Mexico City Reforma,HYD,MEXICO CITY,Mexico,"Av. Paseo de la Reforma 355, True",06500,+52 5599003300,reservations.cdmx@hydehotels.com,19.427272,-99.168758,https://all.accor.com/hotel/C4B4/index.en.shtml
C655,SO/ Mexico City,SO,Mexico City,Mexico,Av. Paseo de la Reforma 355,06500,+1 8006066090,hc655-re@accor.com,19.42727,-99.16876,https://all.accor.com/hotel/C655/index.en.shtml
9615,Sofitel Mexico City Reforma,SOF,Mexico,Mexico,297 Avenue Paseo De La Reforma,06500,+52 5586600500,H9615@sofitel.com,19.428535,-99.16593,https://all.accor.com/hotel/9615/index.en.shtml
9010,Ibis Styles Mexico Reforma,IBS,Mexico City,Mexico,"Liverpool 115 A Col Juarez, Delegacion Cuahutemoc",06600,+52 5541252900,gabriela.mendezrueda@accor.com,19.425025,-99.162914,https://all.accor.com/hotel/9010/index.en.shtml
9011,ibis Mexico Alameda,IBH,Mexico City,Mexico,"BALDERAS #49 COLONIA CENTRO, DELEGACION CUAUHTEMOC, MEXICO, D.F.",06050,+52 5510005000,h9011-re@accor.com,19.433369,-99.147717,https://all.accor.com/hotel/9011/index.en.shtml
C4I1,Mama Shelter Mexico City (Opening end of 2026),MSH,MEXICO CITY,Mexico,"Avenida Alvaro Obregon 152, Roma Norte",06700,+52 0,,19.41786,-99.16172,https://all.accor.com/hotel/C4I1/index.en.shtml
C0B7,Mondrian Mexico City Condesa,MOD,Mexico City,Mexico,"Aguascalientes 156, Hipodromo Condesa, Cuauhtemoc",06100,+52 5588890356,reservations.mexicocity@mondrianhotels.com,19.4081,-99.16855,https://all.accor.com/hotel/C0B7/index.en.shtml
B904,Novotel Mexico City Centro Histórico,NOV,Mexico City,Mexico,"Av. 20 de Noviembre, 196",06090,+52 55/27342130,hb904-re@accor.com,19.424682,-99.134285,https://all.accor.com/hotel/B904/index.en.shtml
B552,Novotel Mexico City World Trade Center,NOV,MEXICO CITY,Mexico,"AV Insurgentes Sur 710, Col Del Valle Norte, Delegacion Benito Juarez",03100,+52 5592629041,aide.castellanos@accor.com,19.3933486,-99.1723636,https://all.accor.com/hotel/B552/index.en.shtml
6960,ibis Chihuahua,IBH,Chihuahua,Mexico,"Av. Benito Juarez Garcia 3115, Col Centro",31000,+52 6142015100,H6960@accor.com,28.646876,-106.06935,https://all.accor.com/hotel/6960/index.en.shtml
B9Z5,Banyan Tree Puebla,BAN,PUEBLA,Mexico,"10 Norte. 1402, Col. Barrio del Alto, Puebla",72000,+52 2221222300,reservations.puebla@banyantree.com,19.043671,-98.198727,https://all.accor.com/hotel/B9Z5/index.en.shtml
9369,ibis Los Mochis,IBH,Los Mochis,Mexico,"Av Antonio Rosales 800 Norte, Col Jordan, Ahome",81220,+52 6685003100,selma.cue@accor.com,25.803581,-108.991349,https://all.accor.com/hotel/9369/index.en.shtml
C4P4,Club Regina Los Cabos managed by Accor,SAM,San José del Cabo,Mexico,"Carr Transpeninsular Kilometro, Tourist Corridor, 22.5",23400,+52 3229800580,hc4t7-re@accor.com,22.991219,-109.733239,https://all.accor.com/hotel/C4P4/index.en.shtml
B1U9,Banyan Tree Cabo Marqués,BAN,ACAPULCO,Mexico,"Boulevard Cabo marques Lote 1, Col. Punta Diamante",39907,+52 744 434 0100,cabomarques@banyantree.com,16.79446,-99.855855,https://all.accor.com/hotel/B1U9/index.en.shtml
6843,ibis Juarez Consulado,IBH,Ciudad Juarez,Mexico,"Prol Ramon R Lara 8930 3 and, Av Paseo de la Victoria",32500,+52 6562896400,H6843@accor.com,31.68634,-106.404571,https://all.accor.com/hotel/6843/index.en.shtml
