propertyId,name,brand,city,country,address1,postalCode,telephone,email,latitude,longitude,propertyUrl
B462,Pullman Lima San Isidro,PUL,LIMA,Peru,Av Jorge Basadre 595 San Isidro,15073,+51 1/2081200,gss.pullmansanisidro@accor.com,-12.095067,-77.037871,https://all.accor.com/hotel/B462/index.en.shtml
6339,Novotel Lima San Isidro,NOV,LIMA,Peru,"Victor Andrés Belaunde 198, San Isidro",15073,+51 1/3159999,h6339-re@accor.com,-12.095841,-77.036903,https://all.accor.com/hotel/6339/index.en.shtml
A5B8,Swissôtel Lima,SWI,LIMA,Peru,"Av Santo Toribio 173, -Via Central 150 Centro, Empresarial Real San Isidro",15073,+51 4214400,reservations.lima@swissotel.com,-12.0975784,-77.0382759,https://all.accor.com/hotel/A5B8/index.en.shtml
B211,ibis Styles Lima San Isidro,IBS,Lima,Peru,"C/Micaela Bastidas 190, San Isidro",15047,+51 17061200,HB211-RE@ACCOR.COM,-12.0955074,-77.0235541,https://all.accor.com/hotel/B211/index.en.shtml
B4Y8,Manto Hotel Lima - MGallery Collection,MGA,Lima,Peru,Calle Los Libertadores 490,15073,+51 1/6300000,reservas.mantohotellima@accor.com,-12.1027198,-77.0377295,https://all.accor.com/hotel/B4Y8/index.en.shtml
A8F5,ibis budget Lima Miraflores,IBB,Lima,Peru,"CALLE ALCANFORES 677, MIRAFLORES",LIMA 18,+51 17301700,ha8f5-fo@accor.com,-12.126493,-77.027958,https://all.accor.com/hotel/A8F5/index.en.shtml
6971,Ibis Lima Larco Miraflores,IBH,LIMA,Peru,"Avenida Larco 1140, Miraflores",Lima 18,+51 1/6348888,h6971-re@accor.com,-12.129082,-77.03006,https://all.accor.com/hotel/6971/index.en.shtml
B464,Pullman Lima Miraflores,PUL,Lima,Peru,Juan Fanning 515 - 525,15074,+51 13131430,PE-RecepcionPMI@accor.com,-12.1298134,-77.0296266,https://all.accor.com/hotel/B464/index.en.shtml
8729,ibis Lima Reducto Miraflores,IBH,LIMA,Peru,"Av Reducto 1057, Miraflores, Lima 51",LIMA 18,+51 14151111,H8729-RE@ACCOR.COM,-12.1287737,-77.0239051,https://all.accor.com/hotel/8729/index.en.shtml
A9A3,ibis Styles Lima Benavides Miraflores,IBS,Lima,Peru,,1508,+51 7301300,HA9A3-RE@ACCOR.COM,-12.1269565,-77.0143177,https://all.accor.com/hotel/A9A3/index.en.shtml
