propertyId,name,brand,city,country,address1,postalCode,telephone,email,latitude,longitude,propertyUrl
B904,Novotel Mexico City Centro Histórico,NOV,Mexico City,Mexico,"Av. 20 de Noviembre, 196",06090,+52 55/27342130,hb904-re@accor.com,19.424682,-99.134285,https://all.accor.com/hotel/B904/index.en.shtml
9011,ibis Mexico Alameda,IBH,Mexico City,Mexico,"BALDERAS #49 COLONIA CENTRO, DELEGACION CUAUHTEMOC, MEXICO, D.F.",06050,+52 5510005000,h9011-re@accor.com,19.433369,-99.147717,https://all.accor.com/hotel/9011/index.en.shtml
9010,Ibis Styles Mexico Reforma,IBS,Mexico City,Mexico,"Liverpool 115 A Col Juarez, Delegacion Cuahutemoc",06600,+52 5541252900,gabriela.mendezrueda@accor.com,19.425025,-99.162914,https://all.accor.com/hotel/9010/index.en.shtml
C4I1,Mama Shelter Mexico City (Opening end of 2026),MSH,MEXICO CITY,Mexico,"Avenida Alvaro Obregon 152, Roma Norte",06700,+52 0,,19.41786,-99.16172,https://all.accor.com/hotel/C4I1/index.en.shtml
9615,Sofitel Mexico City Reforma,SOF,Mexico,Mexico,297 Avenue Paseo De La Reforma,06500,+52 5586600500,H9615@sofitel.com,19.428535,-99.16593,https://all.accor.com/hotel/9615/index.en.shtml
C4B4,Hyde Mexico City Reforma,HYD,MEXICO CITY,Mexico,"Av. Paseo de la Reforma 355, True",06500,+52 5599003300,reservations.cdmx@hydehotels.com,19.427272,-99.168758,https://all.accor.com/hotel/C4B4/index.en.shtml
C655,SO/ Mexico City,SO,Mexico City,Mexico,Av. Paseo de la Reforma 355,06500,+1 8006066090,hc655-re@accor.com,19.42727,-99.16876,https://all.accor.com/hotel/C655/index.en.shtml
C0B7,Mondrian Mexico City Condesa,MOD,Mexico City,Mexico,"Aguascalientes 156, Hipodromo Condesa, Cuauhtemoc",06100,+52 5588890356,reservations.mexicocity@mondrianhotels.com,19.4081,-99.16855,https://all.accor.com/hotel/C0B7/index.en.shtml
B552,Novotel Mexico City World Trade Center,NOV,MEXICO CITY,Mexico,"AV Insurgentes Sur 710, Col Del Valle Norte, Delegacion Benito Juarez",03100,+52 5592629041,aide.castellanos@accor.com,19.3933486,-99.1723636,https://all.accor.com/hotel/B552/index.en.shtml
B5Q7,Novotel Mexico City Toreo,NOV,NAUCALPAN,Mexico,"Av Primero De Mayo 120, Torre 2, San Andres Atoto",53500,+52 5589200400,HB5Q7-RE@accor.com,19.4661829,-99.2265228,https://all.accor.com/hotel/B5Q7/index.en.shtml
A6I0,ibis Mexico Tlalnepantla,IBH,TLALNEPANTLA,Mexico,"Av Sor Juana Ines De La Cruz, Numero 132 Colonia, Tlalnepantla Centro",54000,+52 5583119000,HA6I0-GM@accor.com,19.538829,-99.200022,https://all.accor.com/hotel/A6I0/index.en.shtml
3550,Novotel Mexico City Santa Fe,NOV,Mexico City,Mexico,"Antonio Dovalí Jaime 75, Col Centro de Ciudad Santa Fe",01210,+52 5591777700,h3550@accor.com,19.366697,-99.259129,https://all.accor.com/hotel/3550/index.en.shtml
C0D9,The Paragon Hotel Mexico City Santa Fe By Accor,SAM,CIUDAD DE MEXICO CITY CDMX,Mexico,"Juan Salvador Agraz 97, Santa Fe, Cuajimalpa de Morelos",05348,+52 5511050170,HC0D9@accor.com,19.35871,-99.27802,https://all.accor.com/hotel/C0D9/index.en.shtml
5981,ibis Mexico Perinorte,IBH,Cuautitlan Izcalli,Mexico,"Hacienda Sierra Vieja 2, Centro Comercial Perinorte, Colonia Hacienda del Parque",54769,+52 5520759000,h5981-re@accor.com,19.600389,-99.190719,https://all.accor.com/hotel/5981/index.en.shtml
