propertyId,name,brand,city,country,address1,postalCode,telephone,email,latitude,longitude,propertyUrl
5534,ibis Rio de Janeiro Centro,IBH,RIO DE JANEIRO,Brazil,"Rua Silva Jardim 32, Torre I",20050060,+55 21/35118200,h5534-re@accor.com,-22.90713,-43.1819,https://all.accor.com/hotel/5534/index.en.shtml
5521,ibis budget Rio de Janeiro Centro,IBB,RIO DE JANEIRO,Brazil,Rua Silva Jardim N° 32,20050060,+55 2135118500,h5521-re@accor.com,-22.90772,-43.181746,https://all.accor.com/hotel/5521/index.en.shtml
9438,Novotel Rj Porto Atlantico,NOV,RIO DE JANEIRO,Brazil,"Av. Prof. Pereira Reis 49, Santo Cristo",20220 800,+55 21/30772500,h9438-re@accor.com,-22.89701,-43.20219,https://all.accor.com/hotel/9438/index.en.shtml
9371,ibis Rio Porto Atlantico,IBH,RIO DE JANEIRO,Brazil,"Av. Prof. Pereira Reis 49, Santo Cristo",20220 800,+55 21/39001300,h9371-re@accor.com,-22.89702,-43.2022,https://all.accor.com/hotel/9371/index.en.shtml
A1X5,Santa Teresa Hotel in Rio - MGallery Collection,MGA,RIO DE JANEIRO,Brazil,Rua Almirante Alexandrino 660,20241260,+55 2133800200,HA1X5-RE@accor.com,-22.92141,-43.18753,https://all.accor.com/hotel/A1X5/index.en.shtml
5691,ibis Rio de Janeiro Santos Dumont,IBH,RIO DE JANEIRO,Brazil,"AV MARECHAL CAMARA 280, CENTRO",20020 080,+55 21/35064500,h5691-re@accor.com,-22.90826,-43.16942,https://all.accor.com/hotel/5691/index.en.shtml
6522,Novotel RJ Santos Dumont,NOV,RIO DE JANEIRO,Brazil,"Avenida Rua Marechal Camara 300, Centro",20020 080,+55 21/35068500,h6522-re@accor.com,-22.90859,-43.16931,https://all.accor.com/hotel/6522/index.en.shtml
B467,JO&JOE Rio de Janeiro Largo do Boticário,JOE,Rio de Janeiro,Brazil,"Beco do Boticario, 26, Cosme Velho",22241120,+55 2132352600,hb467-re@accor.com,-22.939096,-43.201473,https://all.accor.com/hotel/B467/index.en.shtml
9600,ibis budget RJ Praia de Botafogo,IBB,RIO DE JANEIRO,Brazil,"Praça Joia Valansi 24, Botafogo",22250 200,+55 2121566999,h9600-re@accor.com,-22.94511,-43.18357,https://all.accor.com/hotel/9600/index.en.shtml
9631,Novotel RJ Praia de Botafogo,NOV,RIO DE JANEIRO,Brazil,"Praia De Botafogo, 330, Botafogo",22250040,+55 21/21879999,h9631-re@accor.com,-22.94534,-43.18301,https://all.accor.com/hotel/9631/index.en.shtml
B2Z6,Ibis Styles RJ Botafogo,IBS,RIO DE JANEIRO,Brazil,"Rua Sao Clemente 30, Botafogo",22260000,+55 21/31669240,hb2z6-re@accor.com,-22.94874,-43.18356,https://all.accor.com/hotel/B2Z6/index.en.shtml
