propertyId,name,brand,city,country,address1,postalCode,telephone,email,latitude,longitude,propertyUrl
B5N9,IBIS STYLES SP DOWNTOWN,IBS,SAO PAULO,Brazil,,01026-000,+55 1146372340,HB5N9-RE@ACCOR.COM,-23.53948,-46.63432,https://all.accor.com/hotel/B5N9/index.en.shtml
5524,ibis budget SP Centro São João,IBB,Sao Paulo,Brazil,"Avenida Sao Joao 1140, Centro",01036100,+55 1128786400,ibisbudgetspsaojoaoreservas@accor.com,-23.53954,-46.64398,https://all.accor.com/hotel/5524/index.en.shtml
3626,Mercure Sao Paulo Bela Vista,MER,SÃO PAULO,Brazil,"Rua Maestro Cardim 407, Paraiso",01323000,+55 1128537000,h3626-re@accor.com,-23.56453,-46.64081,https://all.accor.com/hotel/3626/index.en.shtml
5176,Mercure Sao Paulo Paulista,MER,SAO PAULO,Brazil,"Sao Carlos Do Pinhal, 87., Bela Vista",01333001,+55 1133726800,h5176-re@accor.com,-23.56628,-46.64925,https://all.accor.com/hotel/5176/index.en.shtml
5323,ibis budget São Paulo Paulista,IBB,São Paulo,Brazil,"Rua da Consolação 2303, Consolação",01301100,+55 1131237755,h5323-re@accor.com,-23.55501,-46.66154,https://all.accor.com/hotel/5323/index.en.shtml
B2J4,Mercure São Paulo Grand Plaza Paulista,MER,SÃO PAULO,Brazil,"Rua Leoncio De Carvalho, 201",04003010,+55 11/26276700,hb2j4-re@accor.com,-23.57184,-46.64675,https://all.accor.com/hotel/B2J4/index.en.shtml
3735,Ibis São Paulo Paulista,IBH,SÃO PAULO,Brazil,"Avenida Paulista 2355, Bela Vista",01311300,+55 11/35233000,H3735-RE@accor.com,-23.55713,-46.66194,https://all.accor.com/hotel/3735/index.en.shtml
0674,Mercure Sao Paulo Alamedas,MER,SAO PAULO,Brazil,"Rua Padre Joao Manuel 202, Jardins, SAO PAULO  SP",01411000,+55 1130691600,h0674-re@accor.com,-23.56008,-46.66094,https://all.accor.com/hotel/0674/index.en.shtml
3531,ibis budget São Paulo Paraiso,IBB,SÃO PAULO,Brazil,"Rua Vergueiro 1571, Paraíso",04101000,+55 1150855699,h3531-re@accor.com.br,-23.57621,-46.64038,https://all.accor.com/hotel/3531/index.en.shtml
3467,Mercure Sao Paulo Jardins,MER,SAO PAULO,Brazil,"Alameda Itu 1151, At Rua Augusta, JARDINS",01421001,+55 11/30897555,h3467-re@accor.com,-23.56067,-46.6633,https://all.accor.com/hotel/3467/index.en.shtml
6284,Mercure Sao Paulo Pamplona,MER,SAO PAULO,Brazil,"Rua Pamplona 1315, Jardim Paulista",01405002,+55 11/28785500,h6284-re@accor.com,-23.56836,-46.65812,https://all.accor.com/hotel/6284/index.en.shtml
9352,Mercure São Paulo Barra Funda,MER,SÃO PAULO,Brazil,"Alameda Olga, 288, Barra Funda",01155040,+55 1142806100,h9352-re@accor.com,-23.52871,-46.66302,https://all.accor.com/hotel/9352/index.en.shtml
2211,Ibis Sao Paulo Barra Funda,IBH,SAO PAULO,Brazil,"Rua Eduardo Viana 163, BARRA FUNDA",01133040,+55 1133937300,H2211-RE@accor.com,-23.519,-46.65485,https://all.accor.com/hotel/2211/index.en.shtml
B8P3,Novotel São Paulo Jardins,NOV,São Paulo,Brazil,"Alameda Campinas, 1435, Paulista Garden",01404002,+55 1138868500,hb8p3-re@accor.com,-23.57242,-46.65932,https://all.accor.com/hotel/B8P3/index.en.shtml
5525,ibis budget São Paulo Jardins,IBB,São Paulo,Brazil,"Avenida Nove de Julho 3597, Jardins",01407000,+55 1138864600,h5525-re@accor.com,-23.57092,-46.66244,https://all.accor.com/hotel/5525/index.en.shtml
2992,Novotel Sao Paulo Center Norte,NOV,São Paulo,Brazil,"Avenida Zaki Narchi 500, Vila Guilherme",02029000,+55 1122244000,reservas.novotelcenternorte@accor.com,-23.51193,-46.62076,https://all.accor.com/hotel/2992/index.en.shtml
2125,Pullman Sao Paulo Ibirapuera,PUL,SAO PAULO,Brazil,"Rua Joinville 515, Vila Mariana",04008-011,+55 11/50884000,reservas.pullmanibirapuera@accor.com,-23.58231,-46.65014,https://all.accor.com/hotel/2125/index.en.shtml
3147,Mercure Sao Paulo Pinheiros,MER,SAO PAULO,Brazil,"Rua Capote Valente 500, Pinheiros",05409000,+55 1130694000,reservasmercurepinheiros@accor.com,-23.55713,-46.67558,https://all.accor.com/hotel/3147/index.en.shtml
0578,Grand Mercure São Paulo Ibirapuera,MEI,SÃO PAULO,Brazil,"Rua Sena Madureira 1355 Bloco 1, IBIRAPUERA",04021051,+55 1132010800,reservas.gmi@accor.com,-23.59263,-46.6493,https://all.accor.com/hotel/0578/index.en.shtml
8990,Ibis Styles São Paulo Barra Funda,IBS,SÃO PAULO,Brazil,"Av Marques De Sao Vicente 1619, Barra Funda",1139003,+55 11/35765500,h8990-re@accor.com,-23.51896,-46.67687,https://all.accor.com/hotel/8990/index.en.shtml
9759,Ibis São Paulo Tatuapé,IBH,SAO PAULO,Brazil,"Rua Filipe Camarão 547, Tatuape",03065 000,+55 1135002450,h9759-re@accor.com,-23.53986,-46.57929,https://all.accor.com/hotel/9759/index.en.shtml
C6U2,Grand Mercure São Paulo Pinheiros,MEI,SAO PAULO,Brazil,"AV REBOUCAS 2636, Pinheiros",05402-400,+55 11 2050-9696,HC6U2-RE@accor.com,-23.56776,-46.68526,https://all.accor.com/hotel/C6U2/index.en.shtml
B288,Grand Mercure SP Itaim Bibi,MEI,SÃO PAULO,Brazil,"Rua Tenente Negrao, 200, Itaim Bibi",04530030,+55 1130547500,hb288-re1@accor.com,-23.58477,-46.67274,https://all.accor.com/hotel/B288/index.en.shtml
A1B6,ibis Styles SP Faria Lima,IBS,SAO PAULO,Brazil,"Rua Tavares Cabral 61, Pinheiros",5423030,+55 11/30937200,ha1b6-re@accor.com,-23.5703,-46.69167,https://all.accor.com/hotel/A1B6/index.en.shtml
3206,Mercure Sao Paulo Vila Olimpia,MER,SAO PAULO,Brazil,"Rua Santa Justina, 210, Vila Olimpia, SAO PAULO - SP",04545041,+55 11/30896222,h3206-re@accor.com.br,-23.59466,-46.67497,https://all.accor.com/hotel/3206/index.en.shtml
9760,ibis São Paulo Ibirapuera,IBH,SÃO PAULO,Brazil,Avenida Santo Amaro 1411,04505002,+55 1143808877,h9760-re@accor.com,-23.5962,-46.67299,https://all.accor.com/hotel/9760/index.en.shtml
3538,Mercure Sao Paulo Moema,MER,SAO PAULO,Brazil,"Avenida Lavandisca,  365, Moema",04515010,+55 11/50532899,h3538-re@accor.com,-23.6009,-46.66604,https://all.accor.com/hotel/3538/index.en.shtml
3454,Mercure São Paulo Moema Times Square,MER,SAO PAULO,Brazil,"Avenida dos Jamaris, 100, Moema",04078-000,+55 11/50532500,h3454-re@accor.com,-23.60528,-46.66158,https://all.accor.com/hotel/3454/index.en.shtml
3124,Mercure Sao Paulo Ibirapuera Privilege,MER,SÃO PAULO,Brazil,"Avenida Macuco 579, Moema",04523001,+55 1150547800,h3124-re@accor.com,-23.60433,-46.6654,https://all.accor.com/hotel/3124/index.en.shtml
8938,Pullman Sao Paulo Vila Olimpia,PUL,Sao Paulo,Brazil,Rua Olimpiadas 205,04551 000,+55 11/30496622,reservas.pullmanvilaolimpia@accor.com,-23.59565,-46.68447,https://all.accor.com/hotel/8938/index.en.shtml
8942,Grand Mercure Sao Paulo Vila Olímpia,MEI,SÃO PAULO,Brazil,Rua Olimpiadas 205,04551 000,+55 11/21614900,reservas.grandmercurespvilaolimpia@accor.com,-23.59563,-46.6845,https://all.accor.com/hotel/8942/index.en.shtml
2128,Mercure São Paulo JK,MER,SÃO PAULO,Brazil,"Rua Funchal 111, Vila Olimpia",04551060,+55 1130463800,h2128-re@accor.com,-23.59291,-46.68769,https://all.accor.com/hotel/2128/index.en.shtml
3114,Mercure São Paulo Berrini,MER,SAO PAULO,Brazil,"Sansao Alves dos Santos, Brooklin, SAO PAULO - SP",04571090,+55 1155016911,h3114-re@accor.com.br,-23.60374,-46.69476,https://all.accor.com/hotel/3114/index.en.shtml
3718,ibis Sao Paulo Congonhas,IBH,SAO PAULO,Brazil,"R. Baronesa de Bela Vista, 801, Vila Congonhas",04612002,+55 11/50973737,H3718-RE@ACCOR.COM,-23.6248,-46.66228,https://all.accor.com/hotel/3718/index.en.shtml
0473,Novotel São Paulo Morumbi,NOV,SÃO PAULO,Brazil,"R Ministro Nelson Hungria 577, Vila Tramontano",05690050,+55 11/37873400,reservasnovotelspmorumbi@accor.com,-23.61261,-46.70391,https://all.accor.com/hotel/0473/index.en.shtml
5532,ibis Sao Paulo Morumbi,IBH,SAO PAULO,Brazil,"Av Roque Petroni Jr 800, Torre I Brooklin",04707000,+55 11/37383800,h5532-re@accor.com,-23.62206,-46.69628,https://all.accor.com/hotel/5532/index.en.shtml
5526,ibis budget São Paulo Morumbi,IBB,SÃO PAULO,Brazil,"Av Roque Petroni Junior 800, Torre II Morumbi",04707000,+55 1137757500,H5526-RE@accor.com,-23.62206,-46.69628,https://all.accor.com/hotel/5526/index.en.shtml
9037,Novotel São Paulo Berrini,NOV,SÃO PAULO,Brazil,"Rua Henri Dunant, 792, Chacara Santo Antonio",04709-110,+55 1128886750,reservasnovotelsaopauloberrini@accor.com,-23.62733,-46.69881,https://all.accor.com/hotel/9037/index.en.shtml
B445,Ibis Budget São Caetano,IBB,São Caetano do Sul,Brazil,,09550-250,+55 11/46377000,hb445-re@accor.com,-23.6197789,-46.5540718,https://all.accor.com/hotel/B445/index.en.shtml
5628,Mercure Sao Caetano do Sul,MER,SAO CAETANO DO SUL,Brazil,"Rua Alegre  440, Bairro Santa Paula",09550250,+55 11/42289000,h5628-re@accor.com,-23.62043,-46.55355,https://all.accor.com/hotel/5628/index.en.shtml
3135,Mercure São Paulo Nações Unidas,MER,SAO PAULO,Brazil,"R Prof Manoelito de Ornellas 104, Chacara Santo Antonio, Av. Manoelito de Ornelas",04719040,+55 1151883855,reservasmercuresaopaulonacoes@accor.com,-23.63194,-46.71082,https://all.accor.com/hotel/3135/index.en.shtml
9655,ibis Osasco,IBH,OSASCO,Brazil,Avenida Dos Autonomistas 2435,06194 050,+55 11/28137200,h9655-re@accor.com,-23.53795,-46.7768,https://all.accor.com/hotel/9655/index.en.shtml
9527,ibis budget Osasco,IBB,OSASCO,Brazil,Avenida Dos Autonomistas 2435,06090-020,+55 1128137200,h9655-re1@accor.com,-23.53803,-46.77681,https://all.accor.com/hotel/9527/index.en.shtml
