censusRecordId,censusName,censusCity,censusCountry,directoryHotelName,directoryCity,directoryCountry,propertyUrl,propertyId,matchScore,matchConfidence,matchReason,nameSim,distanceMeters,recommendedAction
rec0LBMx6UVtAE3OM,ibis Parauapebas,Parauapebas,Brazil,Ibis Parauapebas,PARAUAPEBAS,Brazil,https://all.accor.com/hotel/9623/index.en.shtml,9623,100,high,Website host + name similarity; website host match,1,54,manual_verify_before_apply
rec1BG6Vnucqjv0Wl,ibis Osasco,Osasco,Brazil,ibis budget Osasco,OSASCO,Brazil,https://all.accor.com/hotel/9527/index.en.shtml,9527,100,high,Website host + name similarity; website host match,0.6666666666666666,11,manual_verify_before_apply
rec51LBkz62hRbHIO,ibis budget Aguascalientes Norte,Aguascalientes,Mexico,ibis Aguascalientes Norte,Aguascalientes,Mexico,https://all.accor.com/hotel/7082/index.en.shtml,7082,100,high,Website host + name similarity; website host match,0.75,34,manual_verify_before_apply
rec5D6dximHNdsHJF,ibis budget Sao Paulo Morumbi,Sao Paulo,Brazil,ibis Sao Paulo Morumbi,SAO PAULO,Brazil,https://all.accor.com/hotel/5532/index.en.shtml,5532,100,high,Website host + name similarity; website host match,0.8,37,manual_verify_before_apply
rec6Dnyj59QLaaUSH,ibis Lorena,Lorena,Brazil,Ibis Budget Lorena,LORENA,Brazil,https://all.accor.com/hotel/9737/index.en.shtml,9737,100,high,Website host + name similarity; website host match,0.6666666666666666,149,manual_verify_before_apply
rec6sewItEwF8Nzdj,ibis budget Osasco,Osasco,Brazil,ibis Osasco,OSASCO,Brazil,https://all.accor.com/hotel/9655/index.en.shtml,9655,100,high,Website host + name similarity; website host match,0.6666666666666666,16,manual_verify_before_apply
recDQWef0mb8xqN6t,ibis budget Ribeirao Preto Vila do Golf,Ribeirao Preto,Brazil,Ibis Ribeirão Preto Vila do Golf,RIBEIRAO PRETO,Brazil,https://all.accor.com/hotel/A1F2/index.en.shtml,A1F2,100,high,Website host + name similarity; website host match,0.8571428571428571,24,manual_verify_before_apply
recDZQdGbPE08JTuo,ibis budget Tambore,Barueri,Brazil,ibis Tambore,BARUERI,Brazil,https://all.accor.com/hotel/3255/index.en.shtml,3255,100,high,Website host + name similarity; website host match,0.6666666666666666,46,manual_verify_before_apply
recIDOC1TbegcxwCX,Ibis Tambore,Barueri,Brazil,ibis budget Tambore,BARUERI,Brazil,https://all.accor.com/hotel/5520/index.en.shtml,5520,100,high,Website host + name similarity; website host match,0.6666666666666666,58,manual_verify_before_apply
recJxDIU4fIJh38uH,ibis Rio de Janeiro Parque Olimpico,Rio de Janeiro,Brazil,Novotel Rio de Janeiro Parque Olimpico,Rio de Janeiro,Brazil,https://all.accor.com/hotel/8177/index.en.shtml,8177,100,high,Website host + name similarity; website host match,0.7142857142857143,59,manual_verify_before_apply
recKZdRytZkjmRaWN,Mercure Sao Bernardo Do Campo,Sao Bernardo do Campo,Brazil,ibis São Bernardo do Campo | Accor,SÃO BERNARDO DO CAMPO,Brazil,https://all.accor.com/hotel/9166/index.en.shtml,9166,100,high,Website host + name similarity; website host match,0.6666666666666666,52,manual_verify_before_apply
recMHggkkHrMVzCJr,ibis Sao Paulo Morumbi,Sao Paulo,Brazil,ibis budget São Paulo Morumbi,SÃO PAULO,Brazil,https://all.accor.com/hotel/5526/index.en.shtml,5526,100,high,Website host + name similarity; website host match,0.8,15,manual_verify_before_apply
recN4XTX1Y2Zzcf1p,Ibis Uberlandia,Uberlandia,Brazil,Ibis Budget Uberlandia,UBERLANDIA,Brazil,https://all.accor.com/hotel/9374/index.en.shtml,9374,100,high,Website host + name similarity; website host match,0.6666666666666666,122,manual_verify_before_apply
recP4TeLLDmPfbQoN,Ibis BH Afonso Pena Savassi,Belo Horizonte,Brazil,Ibis budget BH Afonso Pena Savassi,BELO HORIZONTE,Brazil,https://all.accor.com/hotel/8527/index.en.shtml,8527,100,high,Website host + name similarity; website host match,0.8333333333333334,53,manual_verify_before_apply
recRn9UYPhahcx07q,ibis Iquique,Iquique,Chile,Excellent location at ibis Iquique | ibis,IQUIQUE,Chile,https://all.accor.com/hotel/9435/index.en.shtml,9435,100,high,Website host + name similarity; website host match,0.75,3,manual_verify_before_apply
recTlJmNBceEUrtxT,Ibis Rio De Janeiro Centro,Rio de Janeiro,Brazil,ibis budget Rio de Janeiro Centro,RIO DE JANEIRO,Brazil,https://all.accor.com/hotel/5521/index.en.shtml,5521,100,high,Website host + name similarity; website host match,0.8333333333333334,31,manual_verify_before_apply
recVrlSk8nclHKH0H,ibis budget Sao Paulo Paulista,Sao Paulo,Brazil,Ibis São Paulo Paulista,SÃO PAULO,Brazil,https://all.accor.com/hotel/3735/index.en.shtml,3735,100,high,Website host + name similarity; website host match,0.8,246,manual_verify_before_apply
recWUfuv6GbiuO2Mq,ibis budget Uberlandia,Uberlandia,Brazil,ibis Uberlandia,UBERLANDIA,Brazil,https://all.accor.com/hotel/6523/index.en.shtml,6523,100,high,Website host + name similarity; website host match,0.6666666666666666,70,manual_verify_before_apply
recZ0P1GIZlaMDNl5,ibis budget Piracicaba,Piracicaba,Brazil,ibis Piracicaba,PIRACICABA,Brazil,https://all.accor.com/hotel/3263/index.en.shtml,3263,100,high,Website host + name similarity; website host match,0.6666666666666666,111,manual_verify_before_apply
recaEF02830iwMNiI,Ibis Piracicaba,Piracicaba,Brazil,ibis budget Piracicaba,PIRACICABA,Brazil,https://all.accor.com/hotel/7819/index.en.shtml,7819,100,high,Website host + name similarity; website host match,0.6666666666666666,32,manual_verify_before_apply
recbvxs0xX1qmdjLP,Swissotel Santa Cruz de la Sierra,Santa Cruz,Bolivia,Swissôtel Santa Cruz De La Sierra,Santa Cruz de la Sierra,Bolivia,https://all.accor.com/hotel/B5I9/index.en.shtml,B5I9,100,high,Website host + name similarity; website host match,1,36,manual_verify_before_apply
recnAyV0rjFIWWzhR,ibis budget Rio De Janeiro Nova America,Rio de Janeiro,Brazil,ibis budget Rio de Janeiro Nova America,RIO DE JANEIRO,Brazil,https://all.accor.com/hotel/9558/index.en.shtml,9558,100,high,Website host + name similarity; website host match,1,0,manual_verify_before_apply
recqZ2bA1qtVHMPOT,ibis budget Copiapo,Copiapo,Chile,Hotel in Copiapo near the Plaza de las Armas | ibis,COPIAPO,Chile,https://all.accor.com/hotel/8922/index.en.shtml,8922,100,high,Website host + name similarity; website host match,0.75,10,manual_verify_before_apply
