censusRecordId,name,city,country,market,submarket,website,propertyId,recommendedAction
rec1fTzKAvBxSQeZF,Our Habitas Bacalar,Bacalar,Mexico,Mexican Caribbean,Other,,,paste all.accor.com/hotel/{code}/index.en.shtml when verified
rec1ipq3OijzP5alP,ibis Santiago Estacion Central,Santiago,Chile,Santiago,Santiago Centro,,,paste all.accor.com/hotel/{code}/index.en.shtml when verified
rec32Hjw3q4sirxRt,ibis Styles Sao Paulo Anhembi,Sao Paulo,Brazil,São Paulo,São Paulo,,,paste all.accor.com/hotel/{code}/index.en.shtml when verified
rec3E5pNSjb6fiFD1,Our Habitas Atacama,San Pedro De Atacama,Chile,Chile Provincial,Atacama,,,paste all.accor.com/hotel/{code}/index.en.shtml when verified
rec4ICZiENv6neoTV,ibis Styles Ribeirao Preto Braz Olaia,Ribeirao Preto,Brazil,Brazil Southeast,São Paulo,,,paste all.accor.com/hotel/{code}/index.en.shtml when verified
rec9WUh3ApNbcuMPr,Our Habitas San Miguel,San Miguel de Allende,Mexico,Mexico Central/Bajio,Other,,,paste all.accor.com/hotel/{code}/index.en.shtml when verified
rec9ehLFhuoerUTe0,Grand Mercure Recife Boa Viagem,Recife,Brazil,Brazil Northeast,Recife,,,paste all.accor.com/hotel/{code}/index.en.shtml when verified
recBrSUqvErZOI0h6,ibis Styles Ribeirao Preto Maurilio Biagi Hotel,Ribeirao Preto,Brazil,Brazil Southeast,São Paulo,,,paste all.accor.com/hotel/{code}/index.en.shtml when verified
recC2IzRdLsNdonwo,ibis budget Nao Me Toque,Nao-Me-Toque,Brazil,Brazil South,Florianópolis,,,paste all.accor.com/hotel/{code}/index.en.shtml when verified
recEzISs5mxIpfThL,Mama Shelter Rio De Janeiro,Rio de Janeiro,Brazil,Rio de Janeiro,Rio de Janeiro,,,paste all.accor.com/hotel/{code}/index.en.shtml when verified
recG75vaOGyIxXGJD,ibis Styles Maracanau,Maracanau,Brazil,Brazil Northeast,Salvador,,,paste all.accor.com/hotel/{code}/index.en.shtml when verified
recGNAHuYEhRaJahy,ibis budget SP Frei Caneca,Sao Paulo,Brazil,São Paulo,São Paulo,,,paste all.accor.com/hotel/{code}/index.en.shtml when verified
recJlb8cSVmJt41Z9,Thermas de Olímpia Resorts by Mercure,Olímpia,Brazil,Brazil Southeast,Vila Olímpia / Berrini,,,paste all.accor.com/hotel/{code}/index.en.shtml when verified
recKR518Dy2nojkpS,Mercure Ariosto Lima,Lima,Peru,Lima,Lima Historic Center,,,paste all.accor.com/hotel/{code}/index.en.shtml when verified
recOywdSctEEwn1ko,ibis Styles Araraquara,Araraquara,Brazil,Brazil Southeast,Other,,,paste all.accor.com/hotel/{code}/index.en.shtml when verified
recPrCk1I84zjge4r,ibis Styles Bauru,Bauru,Brazil,Brazil Southeast,Other,,,paste all.accor.com/hotel/{code}/index.en.shtml when verified
recRCbAhSKLwCNiUb,Mercure Curitiba 7 de Setembro,Curitiba,Brazil,Brazil South,Curitiba,,,paste all.accor.com/hotel/{code}/index.en.shtml when verified
recUG3t6iy4WeqYoM,Mercure Concepcion,Concepcion,Chile,Chile Provincial,Other,,,paste all.accor.com/hotel/{code}/index.en.shtml when verified
recWGUDF3tgGkfutf,Mercure Macae,Macae,Brazil,Brazil Southeast,Rio de Janeiro,,,paste all.accor.com/hotel/{code}/index.en.shtml when verified
recY463dAq3YSuGyo,Our Habitas Tulum,Tulum,Mexico,Mexican Caribbean,Tulum,,,paste all.accor.com/hotel/{code}/index.en.shtml when verified
recavhxBvugQKkSwj,ibis Styles Franca,Franca,Brazil,Brazil Southeast,Other,,,paste all.accor.com/hotel/{code}/index.en.shtml when verified
recc9QFrkolfBu1Qm,ibis Styles Ribeirao Preto,Ribeirao Preto,Brazil,Brazil Southeast,Other,,,paste all.accor.com/hotel/{code}/index.en.shtml when verified
recctNXuY0o2GkATN,Transamerica Ribeirao Preto,Ribeirao Preto,Brazil,Brazil Southeast,São Paulo,,,paste all.accor.com/hotel/{code}/index.en.shtml when verified
receyfGv6dCqDwxU5,Mercure Campinas,Campinas,Brazil,Brazil Southeast,Other,,,paste all.accor.com/hotel/{code}/index.en.shtml when verified
recgAWOJ88Mpvlub0,ibis Styles Piracicaba,Piracicaba,Brazil,Brazil Southeast,Other,,,paste all.accor.com/hotel/{code}/index.en.shtml when verified
reckoIyPLepUZgdEU,Mercure Joinville Prinz,Joinville,Brazil,Brazil South,Florianópolis,,,paste all.accor.com/hotel/{code}/index.en.shtml when verified
recmMAYvIyRvXixJR,ibis budget Aracaju,Aracaju,Brazil,Brazil Northeast,Salvador,,,paste all.accor.com/hotel/{code}/index.en.shtml when verified
recmWgzbMIowwnFVw,Novotel Vina Del Mar,Vina Del Mar,Chile,Chile Provincial,Valparaíso / Viña del Mar,,,paste all.accor.com/hotel/{code}/index.en.shtml when verified
recmeb9RyxVrbhxU2,ibis Styles Palmas,Palmas,Brazil,Brazil Central & West,Other,,,paste all.accor.com/hotel/{code}/index.en.shtml when verified
