brandName,parentCompany,brandSetupRecordId,cala,withWebsite,withPropertyId,withAmenities,withDescription,pctWebsite,pctPropertyId,pctAmenities,pctDescription,blankWebsite,blankPropertyId,blankAmenities,blankDescription
Ascend Hotel Collection,Choice Hotels International,reclkgOzvAcBheUSo,13,13,13,6,4,100,100,46.2,30.8,0,0,7,9
Autograph Collection,"Marriott International, Inc.",recEJCTDj1zrsjPM6,59,53,53,52,50,89.8,89.8,88.1,84.7,6,6,7,9
BW Premier Collection,BWH Hotels,recwXZ5gVZ8ZH8ekA,6,4,4,0,0,66.7,66.7,0,0,2,2,6,6
BW Signature Collection,BWH Hotels,recdeh1NsP4gjrv80,6,6,6,0,0,100,100,0,0,0,0,6,6
Comfort Inn & Suites,Choice Hotels International,recOzH5iAE1xEjyD0,48,47,47,29,28,97.9,97.9,60.4,58.3,1,1,19,20
Country Inn & Suites by Choice,Choice Hotels International,recaayt9u7YYg8h7Y,1,1,1,0,0,100,100,0,0,0,0,1,1
Curio Collection by Hilton,Hilton Worldwide,receQkxgjlezsc1xg,39,30,30,30,31,76.9,76.9,76.9,79.5,9,9,9,8
Dazzler by Wyndham,Wyndham Hotels & Resorts,rec5CNMM4ZUD7ZHlM,13,8,8,0,8,61.5,61.5,0,61.5,5,5,13,5
Design Hotels,"Marriott International, Inc.",rec02zPClpWUTCyXM,34,32,33,33,32,94.1,97.1,97.1,94.1,2,1,1,2
Everhome Suites,Choice Hotels International,recqkkrsevi4r9ibj,0,0,0,0,0,,,,,0,0,0,0
Handwritten Collection,AccorHotels,rec7hTXwMRC81EPqz,1,1,1,1,1,100,100,100,100,0,0,0,0
Hotel Indigo,InterContinental Hotels Group,recegXrqaPiSLGCIe,15,10,9,8,10,66.7,60,53.3,66.7,5,6,7,5
Kimpton Hotels,InterContinental Hotels Group,recCKuXCmGvxHPfb3,11,7,6,4,7,63.6,54.5,36.4,63.6,4,5,7,4
MGallery Collection,AccorHotels,recrWCD1LMqu864oU,8,5,5,5,5,62.5,62.5,62.5,62.5,3,3,3,3
Preferred Hotels & Resorts,Preferred Hotels & Resorts,recwl5JOYxlChuCAr,0,0,0,0,0,,,,,0,0,0,0
Quality Inn,Choice Hotels International,recd8o4k1JddhkRWW,32,30,30,17,16,93.8,93.8,53.1,50,2,2,15,16
Radisson Blu by Choice,Choice Hotels International,recWPEvxBQxVVzSq3,7,5,5,3,3,71.4,71.4,42.9,42.9,2,2,4,4
Radisson by Choice,Choice Hotels International,recywbx1YQSTCPqW1,38,35,35,22,22,92.1,92.1,57.9,57.9,3,3,16,16
Radisson Individuals by Choice,Choice Hotels International,recRyvM8OmLlDj9G7,14,14,14,13,13,100,100,92.9,92.9,0,0,1,1
Radisson RED by Choice,Choice Hotels International,recmKqo7M7mLZgRqQ,4,4,4,3,2,100,100,75,50,0,0,1,2
Small Luxury Hotels of the World,Small Luxury Hotels of the World,recjjSnY2opb8P4DG,84,84,84,83,84,100,100,98.8,100,0,0,1,0
Suburban Studios,Choice Hotels International,reclcjg5Foa9Vs5TC,0,0,0,0,0,,,,,0,0,0,0
Tapestry Collection by Hilton,Hilton Worldwide,reccXxMHEh7NNRhIE,17,14,12,12,12,82.4,70.6,70.6,70.6,3,5,5,5
Trademark Collection by Wyndham,Wyndham Hotels & Resorts,recob7tgHRryRSbeO,22,9,9,0,9,40.9,40.9,0,40.9,13,13,22,13
Tribute Portfolio,"Marriott International, Inc.",recCvV0PuZOi8c3hC,10,10,10,8,9,100,100,80,90,0,0,2,1
Vignette Collection,InterContinental Hotels Group,recDwzv86TWnz2gGB,5,2,2,0,2,40,40,0,40,3,3,5,3
WoodSpring Suites,Choice Hotels International,recsOd51NzRPYsMko,0,0,0,0,0,,,,,0,0,0,0
