priority,stewardPath,brandName,parentCompany,censusRecordId,censusName,country,city,website,propertyId,blankFieldsJoined,instruction
1,browser_save_property_page,Ascend Hotel Collection,Choice Hotels International,recbl4EWE8dzSS0lO,Amberes 64 Ascend Hotel Collection,Mexico,Mexico City,https://www.choicehotels.com/mexico/mexico-city/ascend-hotels/mx228,MX228,Amenities; Hotel Description,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,Ascend Hotel Collection,Choice Hotels International,recZI5mQ4c0lNhns5,Ascend Collection Roxborough,Trinidad and Tobago,Roxborough,https://www.choicehotels.com/trinidad-and-tobago/roxborough/ascend-hotels/tt006,TT006,Amenities; Hotel Description,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,Ascend Hotel Collection,Choice Hotels International,recHJi993HTEUWJFV,Ascend Hotel Collection Mas Na at the Groves,Puerto Rico,Salinas,https://www.choicehotels.com/puerto-rico/salinas/ascend-hotels/pr029,PR029,Amenities; Hotel Description,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,Ascend Hotel Collection,Choice Hotels International,reclMDaf12SrNMDS9,El Cid Castilla Beach Hotel,Mexico,Mazatlan,https://www.choicehotels.com/sinaloa/mazatlan/ascend-hotels/mx164,MX164,Amenities; Hotel Description,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,Ascend Hotel Collection,Choice Hotels International,recljXyUE3I8sCoxc,El Cid El Moro Beach Hotel,Mexico,Mazatlan,https://www.choicehotels.com/sinaloa/mazatlan/ascend-hotels/mx165,MX165,Amenities; Hotel Description,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,Ascend Hotel Collection,Choice Hotels International,recl3N6lOAzypuVzl,El Cid Granada Hotel,Mexico,Mazatlan,https://www.choicehotels.com/sinaloa/mazatlan/ascend-hotels/mx163,MX163,Hotel Description,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,Ascend Hotel Collection,Choice Hotels International,rec1nxUTdoAJ3Am8N,El Cid La Ceiba Beach Hotel,Mexico,Cozumel,https://www.choicehotels.com/quintana-roo/cozumel/ascend-hotels/mx169,MX169,Hotel Description,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,Ascend Hotel Collection,Choice Hotels International,recDRdpfwuFTi4hJt,El Cid Marina Beach Hotel,Mexico,Mazatlan,https://www.choicehotels.com/sinaloa/mazatlan/ascend-hotels/mx166,MX166,Amenities; Hotel Description,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,Ascend Hotel Collection,Choice Hotels International,reckaUB0TwG0Cb6wW,Manta Lodge Resort An Ascend Hotel Collection Member,Trinidad and Tobago,Speyside,https://www.choicehotels.com/trinidad-and-tobago/speyside/ascend-hotels/tt008,TT008,Amenities; Hotel Description,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
1,browser_save_property_page,Autograph Collection,"Marriott International, Inc.",reclp8HjjAigR49b7,Crystal Cove by Elegant Hotels - All Inclusive,Barbados,St James,https://www.marriott.com/en-us/hotels/bgity-crystal-cove-barbados-a-tribute-portfolio-all-inclusive-resort/overview,BGITY,Hotel Description,Open Website in browser → save complete HTML → extract Amenities/Description from official page only (no invent).
