Brand Name,Brand Setup Record ID,Parent Company,Brand Status,Shown In Brand Explorer,Active Alias Count,Inactive Alias Count,Active Alias Source Brand Names,Matching Census Hotels,Matching Census Keys,Country Count,Pipeline Hotels,fallbackRecommended,Current Display Source Recommendation,Footprint Data Status,Footprint Data Source,Footprint Figures As Of,Recommended Action,Recommended Action Notes,Proposal Count
onefinestay,rec01CNXRM59NGUgQ,AccorHotels,Draft,no,1,0,onefinestay,0,0,0,0,yes,Unverified / Do Not Display,,,,Deactivate Bad Alias,Active alias rows present but census rollup is empty or fallback,0
Premier Suites,rec090UK8ye6RmUNP,Prem Group,Draft,no,1,0,Premier Suites,0,0,0,0,yes,Unverified / Do Not Display,,,,Deactivate Bad Alias,Active alias rows present but census rollup is empty or fallback,0
ibis budget,rec0lQ4Imf614F8jo,AccorHotels,Draft,no,1,0,ibis budget,65,11568,5,5,no,Census,,,,Already Census-Backed,Census metrics available without fallback,1
Country Hearth Inns & Suites,rec0poq5qa9yi6DAp,Sonesta International Hotels Corporation,Draft,no,1,0,Country Hearth Inns & Suites,0,0,0,0,yes,Unverified / Do Not Display,,,,Deactivate Bad Alias,Active alias rows present but census rollup is empty or fallback,0
Hyatt Ziva,rec0sfR7SrVZUBm18,Hyatt Hotels Corporation,Draft,no,1,0,Hyatt Ziva,6,2563,3,0,no,Census,,,,Already Census-Backed,Census metrics available without fallback,1
Ramada by Wyndham,rec0wIg8ie5ZfPY1f,Wyndham Hotels & Resorts,Draft,no,1,0,Ramada by Wyndham,0,0,0,0,yes,Unverified / Do Not Display,,,,Deactivate Bad Alias,Active alias rows present but census rollup is empty or fallback,0
Radisson Inn & Suites,rec1sizeL0DhslQL8,Choice Hotels International,Active,yes,1,0,Radisson Inn & Suites,0,0,0,0,yes,Unverified / Do Not Display,,,,Deactivate Bad Alias,Active alias rows present but census rollup is empty or fallback,0
Radisson Collection,rec2DDyPu38C6zDBC,Radisson Hotel Group,Draft,no,1,0,Radisson Collection,0,0,0,0,yes,Unverified / Do Not Display,,,,Deactivate Bad Alias,Active alias rows present but census rollup is empty or fallback,0
Atwell Suites,rec2lJCTSYIwsQYMc,InterContinental Hotels Group,Draft,no,1,0,Atwell Suites,0,0,0,1,no,Census,,,,Parent Company Mismatch,Census affiliation exists under a different parent company than MVP,0
Country Inn & Suites by Radisson,rec3nyARnkn97W9w6,Radisson Hotel Group,Draft,no,1,0,Country Inn & Suites by Radisson,0,0,0,0,yes,Unverified / Do Not Display,,,,Deactivate Bad Alias,Active alias rows present but census rollup is empty or fallback,0
Thompson Hotels,rec4Mga6ejz3L1M3P,Hyatt Hotels Corporation,Draft,no,1,0,Thompson Hotels,4,361,1,3,no,Census,,,,Already Census-Backed,Census metrics available without fallback,1
Six Senses Hotels Resorts Spas,rec4ckn09CLLmppCe,InterContinental Hotels Group,Draft,no,1,0,Six Senses Hotels Resorts Spas,0,0,0,0,yes,Unverified / Do Not Display,,,,Deactivate Bad Alias,Active alias rows present but census rollup is empty or fallback,0
Joie de Vivre Hotels,rec4oSoJsqHtGfFYL,Hyatt Hotels Corporation,Draft,no,1,0,Joie de Vivre Hotels,0,0,0,0,yes,Unverified / Do Not Display,,,,Deactivate Bad Alias,Active alias rows present but census rollup is empty or fallback,0
Dolce Hotels and Resorts by Wyndham,rec4w2XsL3yDUsv2C,Wyndham Hotels & Resorts,Draft,no,1,0,Dolce Hotels and Resorts by Wyndham,0,0,0,0,yes,Unverified / Do Not Display,,,,Deactivate Bad Alias,Active alias rows present but census rollup is empty or fallback,0
Garner,rec4y33IpMYdmWAqS,InterContinental Hotels Group,Draft,no,1,0,Garner,0,0,0,0,yes,Unverified / Do Not Display,,,,Deactivate Bad Alias,Active alias rows present but census rollup is empty or fallback,0
Sonesta Select,rec4ztolqpD1uYrsG,Sonesta International Hotels Corporation,Draft,no,1,0,Sonesta Select,0,0,0,0,yes,Unverified / Do Not Display,,,,Deactivate Bad Alias,Active alias rows present but census rollup is empty or fallback,0
Delta Hotels by Marriott,rec50qkCj6yt9fMPg,"Marriott International, Inc.",Draft,no,1,0,Delta Hotels by Marriott,0,0,0,0,yes,Unverified / Do Not Display,,,,Deactivate Bad Alias,Active alias rows present but census rollup is empty or fallback,0
Dazzler by Wyndham,rec5CNMM4ZUD7ZHlM,Wyndham Hotels & Resorts,Draft,no,1,0,Dazzler by Wyndham,0,0,0,0,yes,Unverified / Do Not Display,,,,Deactivate Bad Alias,Active alias rows present but census rollup is empty or fallback,0
Best Western Plus,rec5KPgalPPAFl7UZ,BWH Hotels,Draft,no,1,0,Best Western Plus,24,2141,7,0,no,Census,,,,Already Census-Backed,Census metrics available without fallback,1
Best Western,rec5RhdBK4iNCQF4u,BWH Hotels,Draft,no,1,0,Best Western,36,2619,8,0,no,Census,,,,Already Census-Backed,Census metrics available without fallback,1
Protea Hotels by Marriott,rec5SgAtIKEAC9Jgr,"Marriott International, Inc.",Draft,no,1,0,Protea Hotels by Marriott,0,0,0,0,yes,Unverified / Do Not Display,,,,Deactivate Bad Alias,Active alias rows present but census rollup is empty or fallback,0
Bulgari,rec5oTMxfBxQHhYP8,"Marriott International, Inc.",Draft,no,1,0,Bulgari,0,0,0,0,yes,Unverified / Do Not Display,,,,Deactivate Bad Alias,Active alias rows present but census rollup is empty or fallback,0
Edition,rec66ikTdLlT49Vkh,"Marriott International, Inc.",Draft,no,1,0,Edition,1,182,1,2,no,Census,,,,Already Census-Backed,Census metrics available without fallback,1
Courtyard by Marriott,rec6hye5H8zJmAGv3,"Marriott International, Inc.",Draft,no,3,0,Courtyard by Marriott; Courtyard; Courtyard by Marriott,50,8088,19,14,no,Census,,,,Already Census-Backed,Census metrics available without fallback,1
Dreams Resorts & Spas,rec6iaZERtyk8Zxen,Hyatt Hotels Corporation,Draft,no,1,0,Dreams Resorts & Spas,24,10134,6,11,no,Census,,,,Already Census-Backed,Census metrics available without fallback,1
Canadas Best Value Inn,rec6qdjncHd3H6fJ8,Sonesta International Hotels Corporation,Draft,no,1,0,Canadas Best Value Inn,0,0,0,0,yes,Unverified / Do Not Display,,,,Deactivate Bad Alias,Active alias rows present but census rollup is empty or fallback,0
Registry Collection Hotels,rec72kWHpqp5awuZY,Wyndham Hotels & Resorts,Draft,no,1,0,Registry Collection Hotels,1,127,1,6,no,Census,,,,Already Census-Backed,Census metrics available without fallback,1
Hyatt,rec78Qhbqd3RJDCyr,Hyatt Vacation Ownership,Draft,no,1,0,Hyatt,0,0,0,0,yes,Unverified / Do Not Display,,,,Deactivate Bad Alias,Active alias rows present but census rollup is empty or fallback,0
Peppers,rec7F80S01oyTADN2,AccorHotels,Draft,no,1,0,Peppers,0,0,0,0,yes,Unverified / Do Not Display,,,,Deactivate Bad Alias,Active alias rows present but census rollup is empty or fallback,0
The House of Originals,rec7ZPOVYsldGmNfx,AccorHotels,Draft,no,1,0,The House of Originals,0,0,0,0,yes,Unverified / Do Not Display,,,,Deactivate Bad Alias,Active alias rows present but census rollup is empty or fallback,0
Handwritten Collection,rec7hTXwMRC81EPqz,AccorHotels,Draft,no,1,0,Handwritten Collection,0,0,0,0,yes,Unverified / Do Not Display,,,,Deactivate Bad Alias,Active alias rows present but census rollup is empty or fallback,0
Conrad Hotels & Resorts,rec90n1dSVVyoEOto,Hilton Worldwide,Draft,no,1,0,Conrad Hotels & Resorts,0,0,0,0,yes,Unverified / Do Not Display,,,,Deactivate Bad Alias,Active alias rows present but census rollup is empty or fallback,0
Sonesta Cruise Collection,rec93T6awrL2sL3wl,Sonesta International Hotels Corporation,Draft,no,1,0,Sonesta Cruise Collection,0,0,0,0,yes,Unverified / Do Not Display,,,,Deactivate Bad Alias,Active alias rows present but census rollup is empty or fallback,0
hotelF1,rec9Q89yzK4QZKnal,AccorHotels,Draft,no,1,0,hotelF1,0,0,0,0,yes,Unverified / Do Not Display,,,,Deactivate Bad Alias,Active alias rows present but census rollup is empty or fallback,0
Vīb by Best Western,rec9RnYMtS9QUKpd5,BWH Hotels,Draft,no,1,0,Vīb by Best Western,0,0,0,0,yes,Unverified / Do Not Display,,,,Deactivate Bad Alias,Active alias rows present but census rollup is empty or fallback,0
Residence Inn by Marriott,rec9Ufbpa0GxJGzt8,"Marriott International, Inc.",Draft,no,1,0,Residence Inn by Marriott,0,0,0,0,yes,Unverified / Do Not Display,,,,Deactivate Bad Alias,Active alias rows present but census rollup is empty or fallback,1
SureStay Collection by Best Western,rec9ViCcmQBA55vGA,BWH Hotels,Draft,no,1,0,SureStay Collection by Best Western,0,0,0,0,yes,Unverified / Do Not Display,,,,Deactivate Bad Alias,Active alias rows present but census rollup is empty or fallback,0
AC Hotels by Marriott,rec9aZp7GHtzUEg0c,"Marriott International, Inc.",Draft,no,4,0,AC Hotels by Marriott; AC Hotels; AC Hotel by Marriott; AC Hotels by Marriott,18,2866,10,7,no,Census,,,,Already Census-Backed,Census metrics available without fallback,1
Cambria Hotels,recAT3p3d7LAZZNkb,Choice Hotels International,Active,yes,1,0,Cambria Hotels,0,0,0,0,yes,Unverified / Do Not Display,,,,Deactivate Bad Alias,Active alias rows present but census rollup is empty or fallback,0
Super 8 by Wyndham,recBmtjThn1HgNX9d,Wyndham Hotels & Resorts,Draft,no,1,0,Super 8 by Wyndham,0,0,0,0,yes,Unverified / Do Not Display,,,,Deactivate Bad Alias,Active alias rows present but census rollup is empty or fallback,0
SpringHill Suites by Marriott,recBzdGfkMUN9fYsv,"Marriott International, Inc.",Draft,no,1,0,SpringHill Suites by Marriott,0,0,0,0,yes,Unverified / Do Not Display,,,,Deactivate Bad Alias,Active alias rows present but census rollup is empty or fallback,0
InterContinental,recC3w95Hgi9SzXzD,InterContinental Hotels Group,Draft,no,1,0,InterContinental,20,5472,13,7,no,Census,,,,Parent Company Mismatch,Census affiliation exists under a different parent company than MVP,0
Kimpton Hotels,recCKuXCmGvxHPfb3,InterContinental Hotels Group,Draft,no,1,0,Kimpton Hotels,0,0,0,0,yes,Unverified / Do Not Display,,,,Deactivate Bad Alias,Active alias rows present but census rollup is empty or fallback,0
Red Roof PLUS+,recCkhhYJ7QuV1Zkg,"Red Roof Franchise, UK",Draft,no,1,0,Red Roof PLUS+,0,0,0,0,yes,Unverified / Do Not Display,,,,Deactivate Bad Alias,Active alias rows present but census rollup is empty or fallback,0
Element by Westin,recCtMPwNFDoE3e9m,"Marriott International, Inc.",Draft,no,1,0,Element by Westin,0,0,0,0,yes,Unverified / Do Not Display,,,,Deactivate Bad Alias,Active alias rows present but census rollup is empty or fallback,0
Tribute Portfolio,recCvV0PuZOi8c3hC,"Marriott International, Inc.",Draft,no,1,0,Tribute Portfolio,6,635,5,5,no,Census,,,,Already Census-Backed,Census metrics available without fallback,1
StudioRes,recDM0LAD8jVRA2x3,"Marriott International, Inc.",Draft,no,1,0,StudioRes,0,0,0,0,yes,Unverified / Do Not Display,,,,Deactivate Bad Alias,Active alias rows present but census rollup is empty or fallback,0
Unbound Collection by Hyatt,recDQwcMFontK2CSP,Hyatt Hotels Corporation,Draft,no,1,0,Unbound Collection by Hyatt,0,0,0,0,yes,Unverified / Do Not Display,,,,Deactivate Bad Alias,Active alias rows present but census rollup is empty or fallback,0
Red Roof,recDgbh6hcEkrDBlJ,"Red Roof Franchise, UK",Draft,no,1,0,Red Roof,0,0,0,0,yes,Unverified / Do Not Display,,,,Deactivate Bad Alias,Active alias rows present but census rollup is empty or fallback,0
Vignette Collection,recDwzv86TWnz2gGB,InterContinental Hotels Group,Draft,no,1,0,Vignette Collection,0,0,0,3,no,Census,,,,Parent Company Mismatch,Census affiliation exists under a different parent company than MVP,0
Esplendor by Wyndham,recE5LoJH1EaszkqG,Wyndham Hotels & Resorts,Draft,no,1,0,Esplendor by Wyndham,0,0,0,0,yes,Unverified / Do Not Display,,,,Deactivate Bad Alias,Active alias rows present but census rollup is empty or fallback,0
