Parent Company,Total Brand Setup Brands,Census-Backed Brands,Brands With Active Alias,Brands Needing Alias,Brands With No Census Match,Brands Using Verified MVP,Brands Hidden / Needs Research
AccorHotels,45,20,45,0,25,0,0
"Marriott International, Inc.",33,14,33,1,18,0,0
Hyatt Hotels Corporation,24,16,24,0,8,0,0
Hilton Worldwide,23,14,23,0,9,0,0
Wyndham Hotels & Resorts,22,6,22,0,16,0,0
Choice Hotels International,22,12,22,0,10,0,0
InterContinental Hotels Group,17,9,17,0,8,0,0
Sonesta International Hotels Corporation,13,1,13,0,12,0,0
BWH Hotels,13,5,13,0,8,0,0
Radisson Hotel Group,9,0,9,0,9,0,0
"Red Roof Franchise, UK",4,0,4,0,4,0,0
Minor Hotel Group Limited,4,1,4,0,3,0,0
Staycity Ltd,2,0,2,0,2,0,0
Banyan Tree Hotels & Resorts,2,2,2,0,0,0,0
(no parent),2,0,2,0,2,0,0
Iberostar Hotels & Resorts,2,0,2,0,2,0,0
Prem Group,1,0,1,0,1,0,0
Hyatt Vacation Ownership,1,0,1,0,1,0,0
Rosewood Hotel Group,1,0,1,0,1,0,0
Shangri-La Hotels and Resorts,1,0,1,0,1,0,0
AmeriVu Inn and Suites,1,0,1,0,1,0,0
Mandarin Oriental Hotel Group,1,0,1,0,1,0,0
Northland Properties,1,0,1,0,1,0,0
Small Luxury Hotels of the World,1,0,1,0,1,0,0
The Peninsula Hotels,1,0,1,0,1,0,0
Oetker Hotels,1,1,1,0,0,0,0
Leading Hotels of the World,1,0,1,0,1,0,0
Edyn Limited,1,0,1,0,1,0,0
Preferred Hotels & Resorts,1,0,1,0,1,0,0
Coast Hotels Limited,1,0,1,0,1,0,0
