brandName,parentCompany,mvpExistingHotels,censusOpenHotels,difference,censusOpenKeys,countryCount,aliasUsed,fallbackRecommended,Footprint Data Status,Footprint Data Source,Footprint Figures As Of,Display Source Recommendation,warnings
Radisson Inn & Suites,Choice Hotels International,57,0,-57,0,0,no,yes,,,,Unverified / Do Not Display,NO_ALIAS_FOR_REQUESTED_BRAND: no Canonical or Alias row matched requested name; using exact Affiliation = requested brand
Cambria Hotels,Choice Hotels International,0,0,0,0,0,no,yes,,,,Unverified / Do Not Display,NO_ALIAS_FOR_REQUESTED_BRAND: no Canonical or Alias row matched requested name; using exact Affiliation = requested brand
Park Inn by Radisson (Choice),Choice Hotels International,57,6,-51,606,5,yes,no,,,,Census,
Comfort Inn & Suites,Choice Hotels International,0,47,47,5799,6,yes,no,,,,Census,
Radisson Collection  (Choice),Choice Hotels International,57,0,-57,0,0,no,yes,,,,Unverified / Do Not Display,NO_ALIAS_FOR_REQUESTED_BRAND: no Canonical or Alias row matched requested name; using exact Affiliation = requested brand
Radisson Individual (Choice),Choice Hotels International,57,14,-43,1514,2,yes,no,,,,Census,"CENSUS_PARENT_FILTER_RELAXED: no rows for Parent Company ""Choice Hotels International""; census rollup without Parent Company filter"
Radisson Blu (Choice),Choice Hotels International,57,5,-52,887,3,yes,no,,,,Census,"CENSUS_PARENT_FILTER_RELAXED: no rows for Parent Company ""Choice Hotels International""; census rollup without Parent Company filter"
Sleep Inn,Choice Hotels International,0,19,19,2258,3,yes,no,,,,Census,"PARENT_COMPANY_CENSUS_FILTER_SKIPPED: MVP parent ""Choice Hotels International"" did not match alias Parent Company for census filter"
Country Inn & Suites by Radisson (Choice),Choice Hotels International,57,1,-56,92,1,yes,no,,,,Census,
Econo Lodge,Choice Hotels International,0,0,0,0,0,no,yes,,,,Unverified / Do Not Display,NO_ALIAS_FOR_REQUESTED_BRAND: no Canonical or Alias row matched requested name; using exact Affiliation = requested brand
Quality Inn,Choice Hotels International,0,7,7,826,1,yes,no,,,,Census,
Rodeway Inn,Choice Hotels International,0,0,0,0,0,no,yes,,,,Unverified / Do Not Display,NO_ALIAS_FOR_REQUESTED_BRAND: no Canonical or Alias row matched requested name; using exact Affiliation = requested brand
Suburban Studios,Choice Hotels International,0,0,0,0,0,no,yes,,,,Unverified / Do Not Display,NO_ALIAS_FOR_REQUESTED_BRAND: no Canonical or Alias row matched requested name; using exact Affiliation = requested brand
Ascend Hotel Collection,Choice Hotels International,0,13,13,2367,6,yes,no,,,,Census,
Radisson RED  (Choice),Choice Hotels International,57,2,-55,285,2,yes,no,,,,Census,"CENSUS_PARENT_FILTER_RELAXED: no rows for Parent Company ""Choice Hotels International""; census rollup without Parent Company filter"
Park Plaza (Choice),Choice Hotels International,57,1,-56,144,1,yes,no,,,,Census,
Clarion Pointe,Choice Hotels International,57,0,-57,0,0,no,yes,,,,Unverified / Do Not Display,NO_ALIAS_FOR_REQUESTED_BRAND: no Canonical or Alias row matched requested name; using exact Affiliation = requested brand
Everhome Suites,Choice Hotels International,57,0,-57,0,0,no,yes,,,,Unverified / Do Not Display,NO_ALIAS_FOR_REQUESTED_BRAND: no Canonical or Alias row matched requested name; using exact Affiliation = requested brand
WoodSpring Suites,Choice Hotels International,0,0,0,0,0,no,yes,,,,Unverified / Do Not Display,NO_ALIAS_FOR_REQUESTED_BRAND: no Canonical or Alias row matched requested name; using exact Affiliation = requested brand
Clarion,Choice Hotels International,0,5,5,502,3,yes,no,,,,Census,
MainStay Suites,Choice Hotels International,0,0,0,0,0,no,yes,,,,Unverified / Do Not Display,NO_ALIAS_FOR_REQUESTED_BRAND: no Canonical or Alias row matched requested name; using exact Affiliation = requested brand
Radisson (Choice),Choice Hotels International,57,33,-24,5792,14,yes,no,,,,Census,
