Brand Name,Parent Company,Current Census Hotels,Current Census Keys,Current Display Source Recommendation,Current fallbackRecommended,Existing Alias Used,Proposed Alias Count,Best Proposed Alias,Proposed Alias Open Hotels,Proposed Alias Open Keys,Recommended Action,Notes,Footprint Data Status
Radisson Inn & Suites,Choice Hotels International,0,0,Unverified / Do Not Display,yes,no,0,,,,Research Census Affiliation,No census affiliation match found for display name,
Cambria Hotels,Choice Hotels International,0,0,Unverified / Do Not Display,yes,no,0,,,,Research Census Affiliation,No census affiliation match found for display name,
Park Inn by Radisson (Choice),Choice Hotels International,6,606,Census,no,yes,1,Park Inn by Choice,6,606,Already Census-Backed,Census metrics display in Brand Explorer,
Comfort Inn & Suites,Choice Hotels International,47,5799,Census,no,yes,3,Comfort Inn,20,1891,Already Census-Backed,Census metrics display in Brand Explorer,
Radisson Collection  (Choice),Choice Hotels International,0,0,Unverified / Do Not Display,yes,no,0,,,,Research Census Affiliation,No census affiliation match found for display name,
Radisson Individual (Choice),Choice Hotels International,14,1514,Census,no,yes,1,Radisson Individuals by Choice,13,1400,Already Census-Backed,Census metrics display in Brand Explorer,
Radisson Blu (Choice),Choice Hotels International,5,887,Census,no,yes,1,Radisson Blu by Choice,5,887,Already Census-Backed,Census metrics display in Brand Explorer,
Sleep Inn,Choice Hotels International,19,2258,Census,no,yes,1,Sleep Inn,19,2258,Already Census-Backed,Census metrics display in Brand Explorer,
Country Inn & Suites by Radisson (Choice),Choice Hotels International,1,92,Census,no,yes,1,Country Inn & Suites by Choice,1,92,Already Census-Backed,Census metrics display in Brand Explorer,
Econo Lodge,Choice Hotels International,0,0,Unverified / Do Not Display,yes,no,0,,,,Research Census Affiliation,No census affiliation match found for display name,
Quality Inn,Choice Hotels International,7,826,Census,no,yes,1,Quality Inn,7,826,Already Census-Backed,Census metrics display in Brand Explorer,
Rodeway Inn,Choice Hotels International,0,0,Unverified / Do Not Display,yes,no,0,,,,Research Census Affiliation,No census affiliation match found for display name,
Suburban Studios,Choice Hotels International,0,0,Unverified / Do Not Display,yes,no,0,,,,Research Census Affiliation,No census affiliation match found for display name,
Ascend Hotel Collection,Choice Hotels International,13,2367,Census,no,yes,1,Ascend Collection,13,2367,Already Census-Backed,Census metrics display in Brand Explorer,
Radisson RED  (Choice),Choice Hotels International,2,285,Census,no,yes,1,Radisson RED by Choice,2,285,Already Census-Backed,Census metrics display in Brand Explorer,
Park Plaza (Choice),Choice Hotels International,1,144,Census,no,yes,1,Park Plaza by Choice,1,144,Already Census-Backed,Census metrics display in Brand Explorer,
Clarion Pointe,Choice Hotels International,0,0,Unverified / Do Not Display,yes,no,0,,,,Research Census Affiliation,No census affiliation match found for display name,
Everhome Suites,Choice Hotels International,0,0,Unverified / Do Not Display,yes,no,0,,,,Research Census Affiliation,No census affiliation match found for display name,
WoodSpring Suites,Choice Hotels International,0,0,Unverified / Do Not Display,yes,no,0,,,,Research Census Affiliation,No census affiliation match found for display name,
Clarion,Choice Hotels International,5,502,Census,no,yes,1,Clarion,5,502,Already Census-Backed,Census metrics display in Brand Explorer,
MainStay Suites,Choice Hotels International,0,0,Unverified / Do Not Display,yes,no,0,,,,Research Census Affiliation,No census affiliation match found for display name,
Radisson (Choice),Choice Hotels International,33,5792,Census,no,yes,1,Radisson by Choice,33,5792,Already Census-Backed,Census metrics display in Brand Explorer,
