censusRecordId,censusName,propertyId,matchConfidence,matchScore,fields
rec27vAk9TzI8tLei,Brion City Hotel BW Signature Collection,71029,medium,75,Website|Property ID
rec4fyhNXf6c62GCd,Aruba Boutique & Art Hotel BW Signature Collection,71032,medium,75,Website|Property ID
rec5kNnEy5ixge3bG,Best Western Premier Monterrey Aeropuerto,70262,medium,75,Website|Property ID
recBaQzP4Pu3BI0CO,Mayaguez Plaza Hotel BW Signature Collection,55105,medium,75,Website|Property ID
recJwP4KLra5DnmTZ,"Wanderlust Experience Hotel, BW Signature Collection",77124,medium,75,Website|Property ID
recKQOevm0r59mVku,BW Signature Collection Hotel Rincon De Puembo,70209,medium,75,Website|Property ID
recUF12aRBJxaDdIU,Terra Nova BW Premier Collection,71034,medium,75,Property ID
recXEYsh3VzxIZ7Rl,BW Signature Collection Libre Hotel,76413,medium,75,Website|Property ID
recXf5GhpPsCFLGD0,Best Western Premier Maceio,77119,medium,75,Website|Property ID
recyDjmbVP2V1ZSo6,Best Western Premier Marina Las Condes,76068,medium,75,Website|Property ID
