status,recordId,name,country,city,strSubmarket,existingDealality,proposedDealality,confidence,reason
unmapped,rec02Fl5fQw6Pct3O,ibis Barra Dos Garcas,Brazil,Barra Do Garcas,Brazil Central & West Regional,,,No Match,no_corridor_match
unmapped,rec08cYUD0LYpiBwE,Fiesta Inn Nogales,Mexico,Nogales,Mexico Northwest Regional,,,No Match,no_corridor_match
unmapped,rec0DIUsFhWSReT4F,Sheraton Guayaquil Hotel,Ecuador,Guayaquil,Ecuador Regional,,,No Match,no_corridor_match
unmapped,rec0E7seor47USrCj,ibis Styles Confins Aeroporto,Brazil,Lagoa Santa,Brazil Southeast Regional,,,No Match,no_corridor_match
unmapped,rec0EpqT5eOpSeqle,Comfort Hotel Sao Caetano,Brazil,Sao Caetano do Sul,São Paulo State Regional,,,No Match,no_corridor_match
unmapped,rec0LBMx6UVtAE3OM,ibis Parauapebas,Brazil,Parauapebas,Brazil North Regional,,,No Match,no_corridor_match
unmapped,rec0UAuHTGVJ9AnDK,Casa Andina Select Tacna,Peru,Tacna,Peru Regional,,,No Match,no_corridor_match
unmapped,rec0Z3KDZDLYLjyQF,Comfort Hotel Sertaozinho,Brazil,Sertaozinho,São Paulo State Regional,,,No Match,no_corridor_match
mappable,rec0ZZS3WRQNfTqFc,Dreams Macao Beach Punta Cana,Dominican Republic,Punta Cana,Dominican Republic Regional,,Punta Cana / Bávaro / Cap Cana,High,name_keyword_punta_cana
unmapped,rec0ZbFhrgpAeK2Ml,ibis budget Santos Gonzaga,Brazil,Santos,São Paulo State Regional,,,No Match,no_corridor_match
unmapped,rec0aAYvSo8RHTpMa,Novotel Itu Terras de Sao Jose Golf & Resort,Brazil,Itu,São Paulo State Regional,,,No Match,no_corridor_match
mappable,rec0bdN8mI2bu40d2,Decameron Isleno,Colombia,San Andres,Colombia Regional,,San Andrés,High,name_keyword_san_andres
unmapped,rec0h2JAAfd7qZilI,Avid Fresnillo,Mexico,Fresnillo,Mexico Central/Bajio Regional,,,No Match,no_corridor_match
unmapped,rec0if6yRXdVBnxP4,Salinas Maragogi All Inclusive Resort,Brazil,Maragogi,Brazil Northeast Regional,,,No Match,no_corridor_match
unmapped,rec0jQ1CymQ3M1GRi,ibis Cuiaba Shopping Hotel,Brazil,Cuiaba,Brazil Central & West Regional,,,No Match,no_corridor_match
unmapped,rec0nY0f7EN6cJInQ,Holiday Inn Express Tapachula,Mexico,Tapachula,Oaxaca/Chiapas Regional,,,No Match,no_corridor_match
unmapped,rec0qBaP8Zef789WK,LP Los Portales Hoteles Piura,Peru,Piura,Peru Regional,,,No Match,no_corridor_match
mappable,rec0rCjxu1LWCgXNj,Holiday Inn Ponce & Tropical Casino,Puerto Rico,Ponce,Puerto Rico Regional,,South Coast Regional City,High,name_keyword_ponce
unmapped,rec0tPBG7k1lK6ECD,Transamerica Fernandopolis,Brazil,Fernandopolis,São Paulo State Regional,,,No Match,no_corridor_match
unmapped,rec13rRFzp0u4frpY,Gamma Pachuca,Mexico,Pachuca,Mexico Central South Regional,,,No Match,no_corridor_match
unmapped,rec13zSeRW0mlRmxi,Costa Del Sol Wyndham Hotel Cajamarca,Peru,Cajamarca,Peru Regional,,,No Match,no_corridor_match
unmapped,rec1AwIZEZjuNkEbs,TRYP by Wyndham Ribeirao Preto,Brazil,Ribeirao Preto,São Paulo State Regional,,,No Match,no_corridor_match
unmapped,rec1BG6Vnucqjv0Wl,ibis Osasco,Brazil,Osasco,São Paulo State Regional,,,No Match,no_corridor_match
unmapped,rec1FkSoqoIaKnxXz,Best Western El Cid,Mexico,Ensenada,Baja California Regional,,,No Match,no_corridor_match
unmapped,rec1GDK2pdaA9tit9,Go Inn Santo Andre,Brazil,Santo Andre,São Paulo State Regional,,,No Match,no_corridor_match
unmapped,rec1P0d7pD1B6lA84,City Express by Marriott Nogales,Mexico,Nogales,Mexico Northwest Regional,,,No Match,no_corridor_match
unmapped,rec1Td37ktLy9bIjU,Ibis Ribeirao Preto,Brazil,Ribeirao Preto,São Paulo State Regional,,,No Match,no_corridor_match
unmapped,rec1ctwBTPI4ehWQa,Mercure Sao Caetano Do Sul,Brazil,Sao Caetano do Sul,São Paulo State Regional,,,No Match,no_corridor_match
unmapped,rec1et6DwZzQ1OMY3,Hotel RIU Playa Blanca,Panama,Anton,Panama Regional,,,No Match,no_corridor_match
unmapped,rec1fTzKAvBxSQeZF,Our Habitas Bacalar,Mexico,Bacalar,Mexican Caribbean Regional,,,No Match,no_corridor_match
unmapped,rec1lwU0CiPkqzNpY,Pop Art Hotel Las Colinas,Colombia,Manizales,Colombia Regional,,,No Match,no_corridor_match
unmapped,rec1p9nQGvgUYxL5L,Best Western Shalimar Praia Hotel,Brazil,Porto Seguro,Brazil Northeast Regional,,,No Match,no_corridor_match
unmapped,rec1rAKSXk7wVdQvy,ibis Styles Ponta Pora,Brazil,Ponta Pora,Brazil Central & West Regional,,,No Match,no_corridor_match
unmapped,rec1t1oWhlG8OKx8I,Bourbon Santos Convention Hotel,Brazil,Santos,São Paulo State Regional,,,No Match,no_corridor_match
unmapped,rec1tK1hmOMPahzSm,Radisson Hotel Curico,Chile,Curico,Chile Regional,,,No Match,no_corridor_match
unmapped,rec1w1gaV8kMQ9Jth,Holiday Inn & Suites Mexico Felipe Angeles Airport,Mexico,Zumpango de Ocampo,Mexico Central South Regional,,,No Match,no_corridor_match
unmapped,rec1wbu9Lmx7mPxCw,Hotel Plaza El Carmen,Panama,Pocri,Panama Regional,,,No Match,no_corridor_match
unmapped,rec1xAygRiS3JCOfZ,Bourbon Joinville Convention Hotel,Brazil,Joinville,Brazil South Regional,,,No Match,no_corridor_match
mappable,rec1zQLVUub7IxO5I,Fairfield by Marriott Medellin Sabaneta,Colombia,Medellin,Colombia Regional,,Medellín,High,exact_city_map
mappable,rec20lvfCqQmpmhVM,Sonesta Posadas Del Inca-Sacred Valley-Yucay,Peru,Urubamba,Peru Regional,,Sacred Valley,Medium,name_keyword_sacred_valley
unmapped,rec25LKLh3RLhpZQL,Holiday Inn Express Paraiso Dos Bocas,Mexico,Guanajay Paraiso,Gulf Regional,,,No Match,no_corridor_match
mappable,rec25YZu8RaUfK0yd,Rio Sagrado a Belmond Hotel Sacred Valley,Peru,Valle Sagrado,Peru Regional,,Sacred Valley,Medium,name_keyword_sacred_valley
unmapped,rec29ZBrzlxRf1UIo,Jangal das Araucarias,Brazil,Canela,Brazil South Regional,,,No Match,no_corridor_match
unmapped,rec29fKz5UUtmEAuR,Ibis Joao Pessoa,Brazil,Joao Pessoa,Brazil Northeast Regional,,,No Match,no_corridor_match
unmapped,rec2BKc2pDy57QQdx,Bourbon Resort Atibaia,Brazil,Atibaia,São Paulo State Regional,,,No Match,no_corridor_match
unmapped,rec2GYHX0ewJeTc7z,ibis Guaxupe,Brazil,Guaxupe,Brazil Southeast Regional,,,No Match,no_corridor_match
unmapped,rec2JCzpYH4IXtDg1,Hacienda Temozon Sur,Mexico,Temozon Sur,Yucatan/Campeche Regional,,,No Match,no_corridor_match
mappable,rec2JjHjxDIt5SubN,AC Hotel Santiago de los Caballeros,Dominican Republic,Santiago de los Caballeros,Dominican Republic Regional,,Santiago / Cibao,Medium,name_keyword_santiago
unmapped,rec2KBv2fp81csjSX,Bristol Santo Andre Hotel,Brazil,Santo Andre,São Paulo State Regional,,,No Match,no_corridor_match
unmapped,rec2O7Z8rdQvDx8p5,Holiday Inn Monclova,Mexico,Monclova,Coahuila & Monterrey Regional,,,No Match,no_corridor_match
unmapped,rec2PbUICTyq3FNUc,Camino Real Tikal,Guatemala,Puerto San Jose,Guatemala Regional,,,No Match,no_corridor_match
mappable,rec2RUkZ1isVgLSuM,W Punta Cana Adult All-Inclusive,Dominican Republic,Punta Cana,Dominican Republic Regional,,Punta Cana / Bávaro / Cap Cana,High,name_keyword_punta_cana
unmapped,rec2Uiq3u93QvI3Dw,Fasano Trancoso,Brazil,Trancoso,Brazil Northeast Regional,,,No Match,no_corridor_match
unmapped,rec2Vf1LfMfA7Ajez,Hotel Playa Blanca Beach Resort,Panama,Rio Hato,Panama Regional,,,No Match,no_corridor_match
unmapped,rec2VuefQyFETiTTX,Best Western Toluca,Mexico,Zinacantepec,Mexico Central South Regional,,,No Match,no_corridor_match
unmapped,rec2ZOABX5Kz1Ax55,Banyan Tree Veya Valle de Guadalupe,Mexico,Valle de Guadelupe,Baja California Regional,,,No Match,no_corridor_match
unmapped,rec2hRrU0bZxd1AD4,Quality Hotel & Suites Natal,Brazil,Natal,Brazil Northeast Regional,,,No Match,no_corridor_match
unmapped,rec2hc1dVOMWalNPv,ibis Juazeiro do Norte,Brazil,Juazeiro do norte,Brazil Northeast Regional,,,No Match,no_corridor_match
mappable,rec2ihaWDf0mqtnaa,Casa Andina Premium Arequipa,Peru,Arequipa,Peru Regional,,Arequipa,Medium,exact_city_submarket_label
mappable,rec30RgNl0ReqOtYx,Zemi Miches All-Inclusive Resort Curio Collection by Hilton,Dominican Republic,Miches,Dominican Republic Regional,,Miches / Costa Esmeralda,High,name_keyword_miches
unmapped,rec34exR1Iu9DzT9Q,City Express Plus by Marriott Ensenada,Mexico,Ensenada,Baja California Regional,,,No Match,no_corridor_match
unmapped,rec3BrcnLoMcPsoPx,OYO Pousada e Hotel Putini,Brazil,Sao Roque,São Paulo State Regional,,,No Match,no_corridor_match
mappable,rec3DZvUzCrj2bvhv,Lopesan Costa Bavaro Resort Spa & Casino,Dominican Republic,Punta Cana,Dominican Republic Regional,,Punta Cana / Bávaro / Cap Cana,High,name_keyword_punta_cana
unmapped,rec3E5pNSjb6fiFD1,Our Habitas Atacama,Chile,San Pedro De Atacama,Chile Regional,,,No Match,no_corridor_match
unmapped,rec3FOBmvqLY9cmnf,ibis Guarapuava,Brazil,Guarapuava,Brazil South Regional,,,No Match,no_corridor_match
unmapped,rec3KyxB2DmZ8Bhyi,Blue Tree Thermas de Lins,Brazil,Lins,São Paulo State Regional,,,No Match,no_corridor_match
unmapped,rec3LUdegir6DXPdb,One Salina Cruz,Mexico,Salina Cruz,Oaxaca/Chiapas Regional,,,No Match,no_corridor_match
unmapped,rec3NRDP4eOifcnRK,ibis Sinop,Brazil,Sinop,Brazil Central & West Regional,,,No Match,no_corridor_match
unmapped,rec3fJOMFCVW5FFkY,Holiday Inn Express Yopal,Colombia,Yopal,Llanos Regional,,,No Match,no_corridor_match
unmapped,rec3gROKH1TAVUWEp,Mercure Jaragua Do Sul,Brazil,Jaragua do Sul,Brazil South Regional,,,No Match,no_corridor_match
