ts,censusRecordId,fromAffiliation,toAffiliation,reason,ok,error
2026-07-24T07:58:56.059Z,rec2wBLvM5jklw2Fd,"Kimpton","Kimpton Hotels",brand_alias_to_brand_setup,1,
2026-07-24T07:58:56.451Z,rec7FBbyaR2UiXfzJ,"Kimpton","Kimpton Hotels",brand_alias_to_brand_setup,1,
2026-07-24T07:58:56.847Z,rec9jrrYJYiWe0BCH,"Kimpton","Kimpton Hotels",brand_alias_to_brand_setup,1,
2026-07-24T07:58:57.238Z,recBo7N3KaFfQ4RY6,"Kimpton","Kimpton Hotels",brand_alias_to_brand_setup,1,
2026-07-24T07:58:57.627Z,recFwajkvryXhCBIk,"Kimpton","Kimpton Hotels",brand_alias_to_brand_setup,1,
2026-07-24T07:58:58.039Z,recW6h5j7pQ3bO2HA,"Kimpton","Kimpton Hotels",brand_alias_to_brand_setup,1,
2026-07-24T07:58:58.419Z,recXSThKL2w0c2HKg,"Kimpton","Kimpton Hotels",brand_alias_to_brand_setup,1,
2026-07-24T07:58:58.841Z,reckFyz7Gv3tAfEcT,"Kimpton","Kimpton Hotels",brand_alias_to_brand_setup,1,
2026-07-24T07:58:59.260Z,reckgvzarJCy4tlxg,"Kimpton","Kimpton Hotels",brand_alias_to_brand_setup,1,
2026-07-24T07:58:59.704Z,recv0hUqXSWVmBBaD,"Kimpton","Kimpton Hotels",brand_alias_to_brand_setup,1,
2026-07-24T07:59:00.108Z,recxTDOmSTHBlucTv,"Kimpton","Kimpton Hotels",brand_alias_to_brand_setup,1,
2026-07-24T07:59:00.511Z,recyBf7nk9LrbXfb6,"Kimpton","Kimpton Hotels",brand_alias_to_brand_setup,1,
2026-07-24T07:59:00.930Z,recM6H22waiVJHUGk,"Ascend Collection","Ascend Hotel Collection",brand_alias_to_brand_setup,1,
2026-07-24T07:59:01.363Z,rec1tK1hmOMPahzSm,"Radisson (Choice)","Radisson by Choice",known_brand_setup_naming_drift,1,
2026-07-24T07:59:01.788Z,rec2LMW5amO5Z7R7x,"Radisson (Choice)","Radisson by Choice",known_brand_setup_naming_drift,1,
2026-07-24T07:59:02.214Z,rec2wIqZVeq7laR6r,"Radisson (Choice)","Radisson by Choice",known_brand_setup_naming_drift,1,
2026-07-24T07:59:02.614Z,rec3VuBaUE93xPcfE,"Radisson (Choice)","Radisson by Choice",known_brand_setup_naming_drift,1,
2026-07-24T07:59:03.030Z,rec41pj0cY3OXH0Hv,"Radisson (Choice)","Radisson by Choice",known_brand_setup_naming_drift,1,
2026-07-24T07:59:03.462Z,rec6kARmGoWlSxpJV,"Radisson (Choice)","Radisson by Choice",known_brand_setup_naming_drift,1,
2026-07-24T07:59:03.884Z,rec6sVPgm8E8UNHTA,"Radisson (Choice)","Radisson by Choice",known_brand_setup_naming_drift,1,
2026-07-24T07:59:04.277Z,rec7bk5veMtcKm8La,"Radisson (Choice)","Radisson by Choice",known_brand_setup_naming_drift,1,
2026-07-24T07:59:04.681Z,rec8VbiatJup4g2ZI,"Radisson (Choice)","Radisson by Choice",known_brand_setup_naming_drift,1,
2026-07-24T07:59:05.095Z,rec99PlN1Z4j0pSZj,"Radisson (Choice)","Radisson by Choice",known_brand_setup_naming_drift,1,
2026-07-24T07:59:05.481Z,recB0sjy8eQbw7IkO,"Radisson (Choice)","Radisson by Choice",known_brand_setup_naming_drift,1,
2026-07-24T07:59:05.879Z,recCrrLjUcaghScfX,"Radisson (Choice)","Radisson by Choice",known_brand_setup_naming_drift,1,
2026-07-24T07:59:06.317Z,recDLgo6qnMMm44Kr,"Radisson (Choice)","Radisson by Choice",known_brand_setup_naming_drift,1,
2026-07-24T07:59:06.735Z,recE6QDoq1xtuncTD,"Radisson (Choice)","Radisson by Choice",known_brand_setup_naming_drift,1,
2026-07-24T07:59:07.133Z,recFm03giCXiSunLp,"Radisson (Choice)","Radisson by Choice",known_brand_setup_naming_drift,1,
2026-07-24T07:59:07.574Z,recI1Szkt2BtPnsnF,"Radisson (Choice)","Radisson by Choice",known_brand_setup_naming_drift,1,
2026-07-24T07:59:07.983Z,recJbdVpfPwdnTX7X,"Radisson (Choice)","Radisson by Choice",known_brand_setup_naming_drift,1,
2026-07-24T07:59:08.362Z,recJuVUstMrQOH8lv,"Radisson (Choice)","Radisson by Choice",known_brand_setup_naming_drift,1,
2026-07-24T07:59:08.756Z,recKsMXA0bk9sxztJ,"Radisson (Choice)","Radisson by Choice",known_brand_setup_naming_drift,1,
2026-07-24T07:59:09.185Z,recQVxeHdrKdQlQNF,"Radisson (Choice)","Radisson by Choice",known_brand_setup_naming_drift,1,
2026-07-24T07:59:09.644Z,recQcydlpW55d7TKb,"Radisson (Choice)","Radisson by Choice",known_brand_setup_naming_drift,1,
2026-07-24T07:59:10.044Z,recRTjo9e5hXY1WSk,"Radisson (Choice)","Radisson by Choice",known_brand_setup_naming_drift,1,
2026-07-24T07:59:10.469Z,recYAoPBUGOcs2ujj,"Radisson (Choice)","Radisson by Choice",known_brand_setup_naming_drift,1,
2026-07-24T07:59:10.871Z,recekU5u0u05pxpLd,"Radisson (Choice)","Radisson by Choice",known_brand_setup_naming_drift,1,
2026-07-24T07:59:11.274Z,rech8GkDM3tYQfXph,"Radisson (Choice)","Radisson by Choice",known_brand_setup_naming_drift,1,
2026-07-24T07:59:11.648Z,recioal2ei61BfUlU,"Radisson (Choice)","Radisson by Choice",known_brand_setup_naming_drift,1,
2026-07-24T07:59:12.068Z,reclz7kJwj8ingYtd,"Radisson (Choice)","Radisson by Choice",known_brand_setup_naming_drift,1,
2026-07-24T07:59:12.490Z,recmUIsMtSQstxOe5,"Radisson (Choice)","Radisson by Choice",known_brand_setup_naming_drift,1,
2026-07-24T07:59:12.910Z,recmwIu1CUPcrXKrt,"Radisson (Choice)","Radisson by Choice",known_brand_setup_naming_drift,1,
2026-07-24T07:59:13.357Z,recnOOi1m9szzaCZO,"Radisson (Choice)","Radisson by Choice",known_brand_setup_naming_drift,1,
2026-07-24T07:59:13.793Z,recntqtcFNwKZjXWE,"Radisson (Choice)","Radisson by Choice",known_brand_setup_naming_drift,1,
