affiliation,total,cala,isActiveBrandSetup,foldMatchesActive,safeAliasTarget
Independent,11440,10852,no,,
ibis,221,219,no,,
City Express by Marriott,162,162,no,,
Holiday Inn Express,107,105,no,,
OYO,107,107,no,,
Holiday Inn,103,102,no,,
Hampton by Hilton,89,87,no,,
Small Luxury Hotels of the World,84,84,yes,Small Luxury Hotels of the World,Small Luxury Hotels of the World
ibis Styles,80,80,no,,
Fiesta Inn,78,78,no,,
Hilton Garden Inn,76,75,no,,
Mercure,72,68,no,,
ibis budget,70,70,no,,
Selina,65,64,no,,
Courtyard,65,63,no,,
Autograph Collection,61,59,yes,Autograph Collection,Autograph Collection
Wyndham,58,56,no,,
Novotel,53,52,no,,
One Hoteles,50,50,no,,
Comfort Inn & Suites,48,48,yes,Comfort Inn & Suites,Comfort Inn & Suites
Hilton,48,47,no,,
Howard Johnson,43,42,no,,
InterCity,42,42,no,,
Marriott,42,37,no,,
Iberostar Hotels & Resorts,40,40,no,,
Radisson by Choice,40,38,yes,Radisson by Choice,
Dreams Resorts & Spas,36,36,no,,
Best Western,36,36,no,,
Curio Collection by Hilton,36,36,yes,Curio Collection by Hilton,Curio Collection by Hilton
NH,35,35,no,,
Wyndham Garden,35,34,no,,
Ramada,34,30,no,,
Design Hotels,34,34,yes,Design Hotels,Design Hotels
Melia,33,32,no,,
Quality Inn,32,32,yes,Quality Inn,Quality Inn
Sheraton Hotel,31,29,no,,
DoubleTree by Hilton,29,28,no,,
Decameron,29,29,no,,
Secrets Resorts & Spas,29,29,no,,
Nacional Inn,28,28,no,,
Fiesta Americana,28,28,no,,
Fairfield Inn,27,27,no,,
InterContinental,27,26,no,,
Hotel Diego De Almagro,27,27,no,,
Four Points by Sheraton,27,26,no,,
Tryp by Wyndham,26,23,no,,
AC Hotels by Marriott,25,24,no,,
Bristol Hotels,24,24,no,,
Capital O,24,24,no,,
Tru by Hilton,24,24,no,,
Estelar,24,24,no,,
aloft Hotel,24,23,no,,
Best Western Plus,24,24,no,,
Bourbon,23,21,no,,
Trademark Collection by Wyndham,23,22,yes,Trademark Collection by Wyndham,Trademark Collection by Wyndham
Hyatt Place,23,22,no,,
Dan Inn,22,22,no,,
RIU Hotel,22,22,no,,
NH Collection,22,22,no,,
Barcelo,21,21,no,,
Sandals,21,20,no,,
Laghetto,21,21,no,,
JW Marriott,20,18,no,,
Westin,20,19,no,,
Blue Tree,20,20,no,,
