brandName,parentCompany,brandSetupRecordId,censusExactTotal,censusExactCala,readyNormalize,missingInCalaOk
Design Hotels,"Marriott International, Inc.",rec02zPClpWUTCyXM,34,34,0,false
Dazzler by Wyndham,Wyndham Hotels & Resorts,rec5CNMM4ZUD7ZHlM,15,13,0,false
Handwritten Collection,AccorHotels,rec7hTXwMRC81EPqz,1,1,0,false
Kimpton Hotels,InterContinental Hotels Group,recCKuXCmGvxHPfb3,12,11,0,false
Tribute Portfolio,"Marriott International, Inc.",recCvV0PuZOi8c3hC,11,10,0,false
Vignette Collection,InterContinental Hotels Group,recDwzv86TWnz2gGB,3,3,0,false
Autograph Collection,"Marriott International, Inc.",recEJCTDj1zrsjPM6,61,59,0,false
Comfort Inn & Suites,Choice Hotels International,recOzH5iAE1xEjyD0,48,48,0,false
Radisson Individuals by Choice,Choice Hotels International,recRyvM8OmLlDj9G7,14,14,0,false
Radisson Blu by Choice,Choice Hotels International,recWPEvxBQxVVzSq3,7,7,0,false
Country Inn & Suites by Choice,Choice Hotels International,recaayt9u7YYg8h7Y,1,1,0,false
Tapestry Collection by Hilton,Hilton Worldwide,reccXxMHEh7NNRhIE,16,15,0,false
Quality Inn,Choice Hotels International,recd8o4k1JddhkRWW,32,32,0,false
BW Signature Collection,BWH Hotels,recdeh1NsP4gjrv80,6,6,0,false
Curio Collection by Hilton,Hilton Worldwide,receQkxgjlezsc1xg,36,36,0,false
Hotel Indigo,InterContinental Hotels Group,recegXrqaPiSLGCIe,16,15,0,false
Small Luxury Hotels of the World,Small Luxury Hotels of the World,recjjSnY2opb8P4DG,84,84,0,false
Suburban Studios,Choice Hotels International,reclcjg5Foa9Vs5TC,0,0,0,true
Ascend Hotel Collection,Choice Hotels International,reclkgOzvAcBheUSo,14,13,0,false
Radisson RED by Choice,Choice Hotels International,recmKqo7M7mLZgRqQ,4,4,0,false
Trademark Collection by Wyndham,Wyndham Hotels & Resorts,recob7tgHRryRSbeO,23,22,0,false
Everhome Suites,Choice Hotels International,recqkkrsevi4r9ibj,0,0,0,true
MGallery Collection,AccorHotels,recrWCD1LMqu864oU,8,8,0,false
WoodSpring Suites,Choice Hotels International,recsOd51NzRPYsMko,0,0,0,true
BW Premier Collection,BWH Hotels,recwXZ5gVZ8ZH8ekA,6,6,0,false
Preferred Hotels & Resorts,Preferred Hotels & Resorts,recwl5JOYxlChuCAr,0,0,0,true
Radisson by Choice,Choice Hotels International,recywbx1YQSTCPqW1,40,38,0,false
