recordId,name,parentCompany,status,country
rec009x8NneB7azpM,"Aparthotel Maria Alexandra","(blank parent)",Open,Costa Rica
rec00PoeTvMEGbyNU,"St Andrews Gramado","(blank parent)",Open,Brazil
rec00kxD7Ib3Et0E6,"Windsong Resort","(blank parent)",Open,Turks and Caicos Islands
rec00oEFhgmhXrgI2,"Club Del Mar","(blank parent)",Open,Costa Rica
rec01NOwXLdRbCSys,"Providencia Bed & Breakfast","(blank parent)",Open,Chile
rec01U1n4ZdqLYgp4,"Innside by Melia Lima Miraflores","Melia Hotels International, S.A",Open,Peru
rec01bHwoA7xWtQDS,"Selina Miraflores, Lima","Selina Management Panama, S.A.",Open,Peru
rec01m3hRVIOamDDu,"Holiday Inn Express & Suites Nuevo Vallarta","IHG Hotels & Resorts",Pipeline,Mexico
rec01ogLX7mddtD50,"Casablanca Beach Hotel","(blank parent)",Open,Jamaica
rec020A9XEypsxgKS,"Hotel El Costeno","(blank parent)",Open,Nicaragua
rec020eCvfQVcS1XA,"Klee International Hotel","(blank parent)",Open,Uruguay
rec022VIYxisrXAgH,"ibis Bogota Calle 80","AccorHotels",Pipeline,Colombia
rec02DxnQ308RjJPR,"Hotel Vasco","(blank parent)",Open,Mexico
rec02E7xPBIQlPdqZ,"Hilton Garden Inn Ica","Hilton Worldwide",Pipeline,Peru
rec02Fl5fQw6Pct3O,"ibis Barra Dos Garcas","AccorHotels",Pipeline,Brazil
rec02I8V3qaZerECv,"Hotel Marquez Del Sol","(blank parent)",Open,Mexico
rec02R8IjABu0WrMs,"Hotel Lossandes","(blank parent)",Open,Mexico
rec02YLC3ikzYumzU,"Hotel America","(blank parent)",Open,Argentina
rec02gkdLLUcRhnZ9,"Confort Ejecutivo Suites Valle","(blank parent)",Open,Mexico
rec02xliVdekC0QlF,"Memories Jibacoa Resort","Blue Diamond Resorts",Open,Cuba
rec03VLoPzB8QyORx,"Selina Paratay","Selina Management Panama, S.A.",Open,Brazil
rec03ZiG2RZXZOyEs,"Playabachata Spa Resort","(blank parent)",Open,Dominican Republic
rec03qQi9P0HOMOJI,"Amazon Walker Hostel","(blank parent)",Open,Peru
rec03qpAv1PaeX29G,"Alsol Tiara Cap Cana","(blank parent)",Open,Dominican Republic
rec03u3fVAw26j8Ys,"Tamarind Reef Resort Spa & Marina","(blank parent)",Open,US Virgin Islands
rec03xQpLdBPXVviF,"Excel Hotel","(blank parent)",Open,Guatemala
rec04I6BUvG8FZ48L,"Gran Estanplaza Berrini","(blank parent)",Open,Brazil
rec04d4esAuk0GY8i,"Selina Bocas Del Toro","Selina Management Panama, S.A.",Open,Panama
rec04u1lL9DhwUPnP,"Hotel Continental Altamira","(blank parent)",Open,Venezuela (Bolivarian Republic of)
rec05DGCtWsiG8yRJ,"Hostal Loanka","(blank parent)",Open,Peru
rec05TpYZNgiBPhKp,"Bahia Chac Chi","(blank parent)",Open,Mexico
rec05XiZxVtUNdrCl,"Novum Hotel","(blank parent)",Open,Argentina
rec05cccjFepUbJLc,"Comodoro Apartmentos","(blank parent)",Open,Argentina
rec05syRtQavFtJWQ,"Parador Del Cortijo","(blank parent)",Open,Mexico
rec0672UkSDEZzWMo,"San Agustin Plaza Hotel","(blank parent)",Open,Peru
rec06JGiRTnf8WnHB,"Posada 21 Oranges","(blank parent)",Open,Argentina
rec06JsVpHaQ3xzOW,"Wyndham Alltra Playa del Carmen Adults Only All Inclusive","Wyndham Hotels & Resorts",Open,Mexico
rec071FD2qpY3Bi6h,"Hospedaje Jairito","(blank parent)",Open,Peru
rec07KXegtmhxUre9,"El Maragato","(blank parent)",Open,Costa Rica
rec07hHA9DxXuyPj2,"Hotel San Jose Plaza","(blank parent)",Open,Colombia
rec07kR41m8VH0b57,"Aruba's Life Vacation Residences","(blank parent)",Open,Aruba
rec07wghwoYaFhHMA,"H2O Life Style Resort","(blank parent)",Open,Turks and Caicos Islands
rec08BnIKFhhWhuzm,"Hotel Rural La Esperanza","(blank parent)",Open,Colombia
rec08cYUD0LYpiBwE,"Fiesta Inn Nogales","Grupo Posadas, S.A.B. DE C.V.",Open,Mexico
rec08lPYwFcObKPl7,"La Cangreja Lodge","(blank parent)",Open,Costa Rica
rec08r4SVNycTJzDt,"Sugar Mill Hotel","(blank parent)",Open,British Virgin Islands
