Canonical Brand Name,Alias / Source Brand Name,Parent Company,Open Hotels,Open Keys,Countries,Match Confidence,Proposal Reason,Requires Human Review,Approved,Existing Alias Status,Notes
Park Inn by Radisson (Choice),Park Inn by Choice,"Choice Hotels International, Inc.",6,606,Brazil; Chile; Costa Rica,High,known_rule:park_inn_choice: Known Choice census naming: Park Inn by Choice,yes,no,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
Comfort Inn & Suites,Comfort Inn,"Choice Hotels International, Inc.",20,1891,Brazil; El Salvador; Mexico,Medium,known_rule:comfort_rollup: Known Comfort census split affiliations rollup to Comfort Inn & Suites,yes,no,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
Comfort Inn & Suites,Comfort,"Choice Hotels International, Inc.",19,2595,Brazil; Trinidad and Tobago,Medium,known_rule:comfort_rollup: Known Comfort census split affiliations rollup to Comfort Inn & Suites,yes,no,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
Comfort Inn & Suites,Comfort Suites,"Choice Hotels International, Inc.",8,1313,Bahamas; Brazil,Medium,known_rule:comfort_rollup: Known Comfort census split affiliations rollup to Comfort Inn & Suites,yes,no,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
Radisson Individual (Choice),Radisson Individuals by Choice,"Choice Hotels International, Inc.",13,1400,Colombia; Panama,High,known_rule:radisson_individual_choice: Known Choice census naming: Radisson Individuals by Choice (plural),yes,no,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
Radisson Blu (Choice),Radisson Blu by Choice,"Choice Hotels International, Inc.",5,887,Aruba; Brazil; Chile,High,known_rule:radisson_blu_choice: Known Choice census naming: Radisson Blu by Choice,yes,no,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
Sleep Inn,Sleep Inn,"Choice Hotels International, Inc.",19,2258,Brazil; Costa Rica; Mexico,High,exact_display: Exact normalized display name,no,no,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
Country Inn & Suites by Radisson (Choice),Country Inn & Suites by Choice,"Choice Hotels International, Inc.",1,92,Costa Rica,High,known_rule:country_inn_choice: Known Choice census naming: Country Inn & Suites by Choice,yes,no,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
Quality Inn,Quality Inn,"Choice Hotels International, Inc.",7,826,Mexico,High,exact_display: Exact normalized display name,no,no,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
Ascend Hotel Collection,Ascend Collection,"Choice Hotels International, Inc.",13,2367,Dominica; Dominican Republic; Ecuador,High,known_rule:ascend_collection: Known Choice census naming: Ascend Collection,yes,no,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
Radisson RED  (Choice),Radisson RED by Choice,"Choice Hotels International, Inc.",2,285,Brazil; Peru,High,known_rule:radisson_red_choice: Known Choice census naming: Radisson RED by Choice,yes,no,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
Park Plaza (Choice),Park Plaza by Choice,"Choice Hotels International, Inc.",1,144,Brazil,High,known_rule:park_plaza_choice: Known Choice census naming: Park Plaza by Choice,yes,no,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
Clarion,Clarion,"Choice Hotels International, Inc.",5,502,Brazil; Guatemala; Honduras,High,exact_display: Exact normalized display name,no,no,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
Radisson (Choice),Radisson by Choice,"Choice Hotels International, Inc.",33,5792,Barbados; Bolivia; Brazil,High,known_rule:radisson_choice: Known Choice census naming: Radisson by Choice,yes,no,alreadyActive,Proposal only — set Approved true in reviewed JSON to seed
