recordId,name,affiliation,canonicalBrand,currentServiceModel,expectedServiceModel,matchSource
rec00NJhff5GN3n23,Motto by Hilton Guadalajara Centro Historico,Motto by Hilton,Motto by Hilton,,Select-Service,brand_alias
rec01m3hRVIOamDDu,Holiday Inn Express & Suites Nuevo Vallarta,Holiday Inn Express,Holiday Inn Express,,Select-Service,brand_alias
rec022VIYxisrXAgH,ibis Bogota Calle 80,ibis,ibis,,Select-Service,brand_alias
rec02E7xPBIQlPdqZ,Hilton Garden Inn Ica,Hilton Garden Inn,Hilton Garden Inn,,Select-Service,brand_alias
rec02Fl5fQw6Pct3O,ibis Barra Dos Garcas,ibis,ibis,,Select-Service,brand_alias
rec09hIMClfPpoSb1,Holiday Inn Express & Suites Puerto Penasco,Holiday Inn Express,Holiday Inn Express,,Select-Service,brand_alias
rec0AIkq4zk4ZJySC,JW Marriott Cancun Resort & Spa,JW Marriott,JW Marriott,,Full-Service,brand_alias
rec0ASKS5YOZBYYnc,Hilton Garden Inn Lima Miraflores,Hilton Garden Inn,Hilton Garden Inn,,Select-Service,brand_alias
rec0Ca6ZVCbIxkwDW,Holiday Inn Express San Juan Condado,Holiday Inn Express,Holiday Inn Express,,Select-Service,brand_alias
rec0CaettSIncDMg7,Hilton Garden Inn Queretaro,Hilton Garden Inn,Hilton Garden Inn,,Select-Service,brand_alias
rec0CnGSGAr6u6cYQ,Sofitel Buenos Aires Recoleta,Sofitel,Sofitel,,Full-Service,brand_alias
rec0DYGC1iA2IONfi,ibis Uruguaiana,ibis,ibis,,Select-Service,brand_alias
rec0DeJ2QKwzRMvec,Park Hyatt Cancun,Park Hyatt,Park Hyatt,,Full-Service,brand_alias
rec0Dy7kkF5Wi8HTD,Hilton Garden Inn  Merida,Hilton Garden Inn,Hilton Garden Inn,,Select-Service,brand_alias
rec0E7seor47USrCj,ibis Styles Confins Aeroporto,ibis Styles,ibis Styles,,Select-Service,brand_alias
rec0EpqT5eOpSeqle,Comfort Hotel Sao Caetano,Comfort,Comfort Inn & Suites,,Select-Service,brand_alias
rec0K7UUn2Fc2ODno,ibis Styles Manaus,ibis Styles,ibis Styles,,Select-Service,brand_alias
rec0LBMx6UVtAE3OM,ibis Parauapebas,ibis,ibis,,Select-Service,brand_alias
rec0MLxIzT3tmzOCH,Hilton Garden Inn Santiago del Estero,Hilton Garden Inn,Hilton Garden Inn,,Select-Service,brand_alias
rec0TJXu89bzNaiPG,Sunscape Sabor Cozumel Resort & Spa,Sunscape Resorts & Spas,Sunscape Resorts & Spas,,All-Inclusive,brand_alias
rec0V5cNNtuM6RYJ3,Pullman Hotel Casino City Center Rosario,Pullman,Pullman,,Full-Service,brand_alias
rec0VJXEaiyo45Ath,Le Meridien Santiago,Le Meridien,Le Meridien,,Full-Service,brand_alias
rec0XMXaXzlE0A49F,Courtyard by Marriott Roseau Dominica,Courtyard,Courtyard by Marriott,,Select-Service,brand_alias
rec0XRZu2TracSjXG,AC Hotels by Marriott Panama City,AC Hotels by Marriott,AC Hotels by Marriott,,Select-Service,brand_alias
rec0Z3KDZDLYLjyQF,Comfort Hotel Sertaozinho,Comfort,Comfort Inn & Suites,,Select-Service,brand_alias
rec0ZZS3WRQNfTqFc,Dreams Macao Beach Punta Cana,Dreams Resorts & Spas,Dreams Resorts & Spas,,All-Inclusive,brand_alias
rec0ZbFhrgpAeK2Ml,ibis budget Santos Gonzaga,ibis budget,ibis budget,,Select-Service,brand_alias
rec0aAYvSo8RHTpMa,Novotel Itu Terras de Sao Jose Golf & Resort,Novotel,Novotel,,Full-Service,brand_alias
rec0aasxB3kfvUGk5,Comfort Inn Queretaro Tecnologico,Comfort Inn,Comfort Inn & Suites,,Select-Service,brand_alias
rec0bJzOb120B2jEc,DoubleTree by Hilton Bogota Salitre AR,DoubleTree by Hilton,DoubleTree by Hilton,,Full-Service,brand_alias
rec0fJMjqu1N2aMyL,Hampton Inn by Hilton San Luis Potosi,Hampton by Hilton,Hampton by Hilton,,Select-Service,brand_alias
rec0gMeyE9QhTaaQl,Dreams Playa Mujeres Golf & Spa Resort,Dreams Resorts & Spas,Dreams Resorts & Spas,,All-Inclusive,brand_alias
rec0hAss1MVvoaOBE,Staybridge Suites Guadalajara Sur,Staybridge Suites,Staybridge Suites,,Extended Stay,brand_alias
rec0jQ1CymQ3M1GRi,ibis Cuiaba Shopping Hotel,ibis,ibis,,Select-Service,brand_alias
rec0nY0f7EN6cJInQ,Holiday Inn Express Tapachula,Holiday Inn Express,Holiday Inn Express,,Select-Service,brand_alias
rec0qZc0QaD4nCy4v,Hyatt Centric Campestre Leon,Hyatt Centric,Hyatt Centric,,Full-Service,brand_alias
rec0rCjxu1LWCgXNj,Holiday Inn Ponce & Tropical Casino,Holiday Inn,Holiday Inn,,Full-Service,brand_alias
rec1024vvRUtp2ijt,Hampton by Hilton Trinidad Airport,Hampton by Hilton,Hampton by Hilton,,Select-Service,brand_alias
rec10Os2Dw2qBuUxj,Crowne Plaza Panama,Crowne Plaza,Crowne Plaza,,Full-Service,brand_alias
rec11yRBgfLOIjnKl,Hampton by Hilton Lima Miraflores,Hampton by Hilton,Hampton by Hilton,,Select-Service,brand_alias
rec13xgZxgyb8Yxwo,City Express by Marriott Hermosillo,City Express by Marriott,City Express by Marriott,,Select-Service,brand_alias
rec13zSeRW0mlRmxi,Costa Del Sol Wyndham Hotel Cajamarca,Wyndham,Wyndham,,Full-Service,brand_alias
rec140BKMe7Qyop01,Secrets St. James Montego Bay,Secrets Resorts & Spas,Secrets Resorts & Spas,,All-Inclusive,brand_alias
rec172h7kVbwOoUwD,Hilton Garden Inn Guanacaste Airport,Hilton Garden Inn,Hilton Garden Inn,,Select-Service,brand_alias
rec17Vm8o5kIaslXB,ibis Pouso Alegre,ibis,ibis,,Select-Service,brand_alias
rec1BG6Vnucqjv0Wl,ibis Osasco,ibis,ibis,,Select-Service,brand_alias
rec1D9RNE58F92DbU,ibis Santiago La Condes Manquehue,ibis,ibis,,Select-Service,brand_alias
rec1DSy1rTE4oKgiF,"Bermudiana Beach Resort, a Tapestry Collection by Hilton",Tapestry Collection by Hilton,Tapestry Collection by Hilton,,Full-Service,brand_alias
rec1E6GwQPkcYgLzo,Sleep Inn Torreon,Sleep Inn,Sleep Inn,,Select-Service,brand_alias
rec1FERKeq4mhR5jR,Ibis Mexico Perinorte,ibis,ibis,,Select-Service,brand_alias
rec1GpH4KKSOyzVHV,Santa Teresa Hotel RJ - MGallery Collection,MGallery Collection,MGallery Collection,,Full-Service,brand_alias
rec1Hy6uTvYV4dDv0,ibis budget RJ Copacabana,ibis budget,ibis budget,,Select-Service,brand_alias
rec1J7JFt58S55j5Y,Holiday Inn Express Guadalajara Vallarta Poniente,Holiday Inn Express,Holiday Inn Express,,Select-Service,brand_alias
rec1Nd1hDUV050XdA,Staybridge Suites Puebla,Staybridge Suites,Staybridge Suites,,Extended Stay,brand_alias
rec1P0d7pD1B6lA84,City Express by Marriott Nogales,City Express by Marriott,City Express by Marriott,,Select-Service,brand_alias
rec1PSjieNp5HcGVQ,City Express Reynosa,City Express by Marriott,City Express by Marriott,,Select-Service,brand_alias
rec1Q1mqhxAVQUEmh,Hilton Garden Inn Cartagena,Hilton Garden Inn,Hilton Garden Inn,,Select-Service,brand_alias
rec1Ri5x70QWk214j,Hampton by Hilton Inn & Suites Aguascalientes,Hampton by Hilton,Hampton by Hilton,,Select-Service,brand_alias
rec1SSmWonlA2X3Wa,Westin Resort & Spa Playa Conchal,Westin,Westin,,Full-Service,brand_alias
rec1Td37ktLy9bIjU,Ibis Ribeirao Preto,ibis,ibis,,Select-Service,brand_alias
rec1VodMzc4YIBd6P,"Royalton Grenada, an Autograph Collection All-Inclusive Resort",Autograph Collection,Autograph Collection,,Full-Service,brand_alias
rec1WNAPAmbBww4W3,City Express by Marriott Cancun Aeropuerto,City Express by Marriott,City Express by Marriott,,Select-Service,brand_alias
rec1X5Br2epK6C501,The Riviera Maya Edition at Kanai,Edition,Edition,,Full-Service,brand_alias
rec1X6pphTLTJMsHw,"Atolon Hotel Cartagena Tierra Bomba, Curio Collection by Hilton",Curio Collection by Hilton,Curio Collection by Hilton,,Full-Service,brand_alias
rec1YfhSCY32ZTjxS,JW Marriott Hotel Santo Domingo,JW Marriott,JW Marriott,,Full-Service,brand_alias
rec1YhkKq136V8ylI,Tru by Hilton Puebla Angelopolis,Tru by Hilton,Tru by Hilton,,Select-Service,brand_alias
rec1ZAvqcjy9SR6oO,City Express by Marriott Hermosillo Expo,City Express by Marriott,City Express by Marriott,,Select-Service,brand_alias
rec1ctwBTPI4ehWQa,Mercure Sao Caetano Do Sul,Mercure,Mercure,,Full-Service,brand_alias
rec1eJREGASgjYWsE,Hampton Inn By Hilton Hermosillo,Hampton by Hilton,Hampton by Hilton,,Select-Service,brand_alias
rec1eeUkiT9kcZCF8,Wyndham Executivo Culiacan,Wyndham,Wyndham,,Full-Service,brand_alias
rec1fTzKAvBxSQeZF,Our Habitas Bacalar,Our Habitas,Our Habitas,,Lifestyle / Boutique,brand_alias
rec1ipq3OijzP5alP,ibis Santiago Estacion Central,ibis,ibis,,Select-Service,brand_alias
rec1lXpKHrOxexiOx,Wyndham Torreon,Wyndham,Wyndham,,Full-Service,brand_alias
