source_record_id,validation_pass,validation_failures,lane,intake_class,human_review_required,identity_confidence,queue_autopilot_enrichment,property_name,current_brand,city,country,affiliation_status,official_property_url,property_identity_key,vic_freeze_hash
node/270997923,true,,known_brand_census_intake,known_chain_census_backlog_not_active_setup,true,High,false,Breezes,Breezes (SuperClubs),Puerto Plata,Dominican Republic,Branded,https://www.breezes.com/resorts/breezes-puerto-plata/,osm_do_node_270997923,independent_census_dr_osm_2026-08-07
node/287032841,true,,known_brand_census_intake,known_chain_census_backlog_not_active_setup,true,High,false,Dreams Palm Beach Resort,Dreams (Hyatt Inclusive Collection),Punta Cana,Dominican Republic,Soft-Branded / Collection,https://www.hyattinclusivecollection.com/en/resorts-hotels/dreams/dominican-republic/palm-beach-punta-cana/,osm_do_node_287032841,independent_census_dr_osm_2026-08-07
node/302771731,true,,known_brand_census_intake,known_chain_census_backlog_not_active_setup,true,High,false,Natura Park Beach Eco Resort & Spa,Blau Hotels,Punta Cana,Dominican Republic,Branded,https://www.blaunaturapark.com/en/,osm_do_node_302771731,independent_census_dr_osm_2026-08-07
node/302771860,true,,known_brand_census_intake,known_chain_census_backlog_not_active_setup,true,Medium,false,Catalonia Punta Cana,Catalonia,Punta Cana,Dominican Republic,Branded,https://www.cataloniahotels.com/en/hotel/catalonia-punta-cana,osm_do_node_302771860,independent_census_dr_osm_2026-08-07
node/302771929,true,,known_brand_census_intake,known_chain_census_backlog_not_active_setup,true,High,false,Be Live Grand Bavaro,Be Live,Bávaro,Dominican Republic,Branded,https://www.belivehotels.com/en/hotels-punta-cana/be-live-collection-puntacana/,osm_do_node_302771929,independent_census_dr_osm_2026-08-07
node/302800763,true,,known_brand_census_intake,known_chain_census_backlog_not_active_setup,true,Medium,false,Wyndham Alltra Punta Cana,Wyndham,Punta Cana,Dominican Republic,Branded,https://www.puntacanawyndhamalltra.com/,osm_do_node_302800763,independent_census_dr_osm_2026-08-07
node/349129742,true,,known_brand_census_intake,known_chain_census_backlog_not_active_setup,true,High,false,Hotel RIU Mambo,RIU,Maimón,Dominican Republic,Branded,http://www.riu.com/de/clubhotel-riu-mambo-puerto-plata-dominikanische-republik.html,osm_do_node_349129742,independent_census_dr_osm_2026-08-07
node/354627440,true,,known_brand_census_intake,known_chain_census_backlog_not_active_setup,true,High,false,Hotel RIU Merengue,RIU,Maimón,Dominican Republic,Branded,http://www.riu.com/de/clubhotel-riu-merengue-puerto-plata-dominikanische-republik.html,osm_do_node_354627440,independent_census_dr_osm_2026-08-07
node/354627549,true,,known_brand_census_intake,known_chain_census_backlog_not_active_setup,true,High,false,Hotel RIU Bachata,RIU,Maimón,Dominican Republic,Branded,http://www.riu.com/de/clubhotel-riu-bachata-puerto-plata-dominikanische-republik.html,osm_do_node_354627549,independent_census_dr_osm_2026-08-07
node/431025349,true,,known_brand_census_intake,known_chain_census_backlog_not_active_setup,true,Medium,false,Barceló Bávaro Palace Deluxe,Barceló,Bávaro,Dominican Republic,Branded,http://www.barcelobavarocaribe.com/,osm_do_node_431025349,independent_census_dr_osm_2026-08-07
node/597456591,true,,known_brand_census_intake,known_chain_census_backlog_not_active_setup,true,High,false,Hodelpa Novus Plaza,Hodelpa,Santo Domingo,Dominican Republic,Branded,https://www.hodelpa.com/novus-plaza-hodelpa.html,osm_do_node_597456591,independent_census_dr_osm_2026-08-07
