source_record_id,property_name,current_brand,city,lane,intake_class,decision,identity_confidence,human_review_required,production_writable_insert,queue_autopilot_enrichment,reasons,checks_passed
node/373851323,Hotel Europa,Independent,Sosua,independent_unaffiliated,independent_l1_promote,auto_insert,High,false,true,false,independent_gates_passed,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate|has_non_denylist_website|website_not_weak_or_corroborated|has_city|independent_quality_or_wikidata
node/3354152914,Bungalows of Las Galeras,Independent,Las Galeras,independent_unaffiliated,independent_l1_promote,auto_insert,High,false,true,false,independent_gates_passed,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate|has_non_denylist_website|website_not_weak_or_corroborated|has_city|independent_quality_or_wikidata
node/3469337532,Jarabacua River Club & Resort,Independent,Jarabacoa,independent_unaffiliated,independent_l1_promote,auto_insert,High,false,true,false,independent_gates_passed,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate|has_non_denylist_website|website_not_weak_or_corroborated|has_city|independent_quality_or_wikidata
node/3523794277,Bella Vista,Independent,Santo domingo,independent_unaffiliated,independent_l1_promote,auto_insert,High,false,true,false,independent_gates_passed,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate|has_non_denylist_website|website_not_weak_or_corroborated|has_city|independent_quality_or_wikidata
node/4214843120,El Pelicano Apart-Hotel,Independent,Las Galeras,independent_unaffiliated,independent_l1_promote,auto_insert,High,false,true,false,independent_gates_passed,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate|has_non_denylist_website|website_not_weak_or_corroborated|has_city|independent_quality_or_wikidata
node/5029505780,Santo Domingo Bed & Breakfast,Independent,Santo Domingo,independent_unaffiliated,independent_l1_promote,auto_insert,High,false,true,false,independent_gates_passed,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate|has_non_denylist_website|website_not_weak_or_corroborated|has_city|independent_quality_or_wikidata
node/5037222222,Hotel Tropicana Deluxe,Independent,Punta Cana,independent_unaffiliated,independent_l1_promote,auto_insert,High,false,true,false,independent_gates_passed,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate|has_non_denylist_website|has_city|independent_quality_or_wikidata
node/9856719770,Hotel Villa La Plantacion,Independent,Las Galeras,independent_unaffiliated,independent_l1_promote,auto_insert,High,false,true,false,independent_gates_passed,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate|has_non_denylist_website|website_not_weak_or_corroborated|has_city|independent_quality_or_wikidata
node/11035653720,Hotel Casa Coco,Independent,Boca Chica,independent_unaffiliated,independent_l1_promote,auto_insert,High,false,true,false,independent_gates_passed,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate|has_non_denylist_website|website_not_weak_or_corroborated|has_city|independent_quality_or_wikidata
node/12798112370,Hotel & Apartments Buchen,Independent,Samaná,independent_unaffiliated,independent_l1_promote,auto_insert,High,false,true,false,independent_gates_passed,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate|has_non_denylist_website|website_not_weak_or_corroborated|has_city|independent_quality_or_wikidata
node/12914358579,Leysi's Garden,Independent,Samana,independent_unaffiliated,independent_l1_promote,reject,Hold,true,false,false,official_url_denylisted_ota_or_social,has_name|not_hostel_or_hostal|has_country
node/13050362262,Hostal Shivas,Independent,"El Valle, Samana",independent_unaffiliated,independent_l1_promote,reject,Low,true,false,false,hostel_or_hostal_out_of_scope,has_name
node/13165874914,Casa Barbara Las Terrenas,Independent,Las Terrenas,independent_unaffiliated,independent_l1_promote,auto_insert,High,false,true,false,independent_gates_passed,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate|has_non_denylist_website|website_not_weak_or_corroborated|has_city|independent_quality_or_wikidata
way/379027094,Hotel BQ;Vent W&P Santo Domingo,Independent,Santo Domingo,independent_unaffiliated,independent_l1_promote,auto_insert,High,false,true,false,independent_gates_passed,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate|has_non_denylist_website|website_not_weak_or_corroborated|has_city|independent_quality_or_wikidata
way/529318923,Hostal Ganesh,Independent,"El Valle, Samana",independent_unaffiliated,independent_l1_promote,reject,Low,true,false,false,hostel_or_hostal_out_of_scope,has_name
way/630842152,Hotal San Francisco de Asis,Independent,Santo Domingo,independent_unaffiliated,independent_l1_promote,reject,Low,true,false,false,hostel_or_hostal_out_of_scope,has_name
