recordId,name,affiliation,currentParent,expectedParent,source
rec022VIYxisrXAgH,ibis Bogota Calle 80,ibis,Accor,AccorHotels,brand_alias
rec02Fl5fQw6Pct3O,ibis Barra Dos Garcas,ibis,Accor,AccorHotels,brand_alias
rec0CnGSGAr6u6cYQ,Sofitel Buenos Aires Recoleta,Sofitel,Accor,AccorHotels,brand_alias
rec0DYGC1iA2IONfi,ibis Uruguaiana,ibis,Accor,AccorHotels,brand_alias
rec0E7seor47USrCj,ibis Styles Confins Aeroporto,ibis Styles,Accor,AccorHotels,brand_alias
rec0K7UUn2Fc2ODno,ibis Styles Manaus,ibis Styles,Accor,AccorHotels,brand_alias
rec0LBMx6UVtAE3OM,ibis Parauapebas,ibis,Accor,AccorHotels,brand_alias
rec0V5cNNtuM6RYJ3,Pullman Hotel Casino City Center Rosario,Pullman,Accor,AccorHotels,brand_alias
rec0ZbFhrgpAeK2Ml,ibis budget Santos Gonzaga,ibis budget,Accor,AccorHotels,brand_alias
rec0aAYvSo8RHTpMa,Novotel Itu Terras de Sao Jose Golf & Resort,Novotel,Accor,AccorHotels,brand_alias
rec0jQ1CymQ3M1GRi,ibis Cuiaba Shopping Hotel,ibis,Accor,AccorHotels,brand_alias
rec17Vm8o5kIaslXB,ibis Pouso Alegre,ibis,Accor,AccorHotels,brand_alias
rec1BG6Vnucqjv0Wl,ibis Osasco,ibis,Accor,AccorHotels,brand_alias
rec1D9RNE58F92DbU,ibis Santiago La Condes Manquehue,ibis,Accor,AccorHotels,brand_alias
rec1FERKeq4mhR5jR,Ibis Mexico Perinorte,ibis,Accor,AccorHotels,brand_alias
rec1GpH4KKSOyzVHV,Santa Teresa Hotel RJ - MGallery Collection,MGallery Collection,Accor,AccorHotels,brand_alias
rec1Hy6uTvYV4dDv0,ibis budget RJ Copacabana,ibis budget,Accor,AccorHotels,brand_alias
rec1Td37ktLy9bIjU,Ibis Ribeirao Preto,ibis,Accor,AccorHotels,brand_alias
rec1ctwBTPI4ehWQa,Mercure Sao Caetano Do Sul,Mercure,Accor,AccorHotels,brand_alias
rec1fTzKAvBxSQeZF,Our Habitas Bacalar,Our Habitas,Accor,AccorHotels,brand_alias
rec1ipq3OijzP5alP,ibis Santiago Estacion Central,ibis,Accor,AccorHotels,brand_alias
rec1rAKSXk7wVdQvy,ibis Styles Ponta Pora,ibis Styles,Accor,AccorHotels,brand_alias
rec1y1lkl0jggxYxu,ibis Copacabana Posto 5,ibis,Accor,AccorHotels,brand_alias
rec29fKz5UUtmEAuR,Ibis Joao Pessoa,ibis,Accor,AccorHotels,brand_alias
rec2GMmOabsOv6nEx,SLS Buenos Aires Puerto Madero,SLS,Accor,AccorHotels,brand_alias
rec2GYHX0ewJeTc7z,ibis Guaxupe,ibis,Accor,AccorHotels,brand_alias
rec2QAFMbexFKHHTh,Mercure Salvador Pituba,Mercure,Accor,AccorHotels,brand_alias
rec2XntFWAhq5oaBx,ibis budget Concepcion,ibis budget,Accor,AccorHotels,brand_alias
rec2ZOABX5Kz1Ax55,Banyan Tree Veya Valle de Guadalupe,Banyan Tree,Banyan Tree Hotels & Resorts Pte. Ltd,Banyan Tree Hotels & Resorts,brand_alias
rec2dQ5NlpcpvmRRL,ibis Sao Paulo Expo,ibis,Accor,AccorHotels,brand_alias
rec2hc1dVOMWalNPv,ibis Juazeiro do Norte,ibis,Accor,AccorHotels,brand_alias
rec2rmBbsMJ4LX1CC,Eden Rock Hotel St Barths Oetker Hotels,Oetker Collection,Oetker Hotel Management Company GmbH,Oetker Hotels,brand_alias
rec32Hjw3q4sirxRt,ibis Styles Sao Paulo Anhembi,ibis Styles,Accor,AccorHotels,brand_alias
rec34ZFD7MduAMbrP,Novotel Recife Marina,Novotel,Accor,AccorHotels,brand_alias
rec3E5pNSjb6fiFD1,Our Habitas Atacama,Our Habitas,Accor,AccorHotels,brand_alias
rec3FOBmvqLY9cmnf,ibis Guarapuava,ibis,Accor,AccorHotels,brand_alias
rec3IGncXA6zspmRX,Sofitel Mexico City Reforma,Sofitel,Accor,AccorHotels,brand_alias
