appliedAt,censusRecordId,censusName,htmlFile,amenityCount
2026-07-22T23:59:32.729Z,rec9nG8vcyOmZXJSR,"Hotel Chihuahua San Francisco",reports\choice-amenity-html\mx043.html,31
2026-07-22T23:59:33.308Z,recIkCWtNd1CHHym0,"Comfort Inn Cordoba",reports\choice-amenity-html\mx050.html,19
2026-07-22T23:59:33.855Z,recWK7cfMtuIj89xd,"Quality Inn Ciudad Obregon",reports\choice-amenity-html\mx054.html,29
2026-07-22T23:59:34.443Z,recULuD2QBXPk4p2U,"Comfort Inn Tampico",reports\choice-amenity-html\mx056.html,26
2026-07-22T23:59:34.821Z,rec7z5uQ9n5KRxloL,"Quality Inn Piedras Negras",reports\choice-amenity-html\mx058.html,20
2026-07-22T23:59:35.545Z,recKReqQzFkyJgGdG,"Comfort Inn Puerto Vallarta",reports\choice-amenity-html\mx061.html,23
2026-07-22T23:59:36.131Z,recqJ1LzgkeNC0DB9,"Quality Inn Aguascalientes",reports\choice-amenity-html\mx063.html,12
2026-07-22T23:59:36.706Z,recYWzUR6gif6SobH,"Quality Inn Monterrey La Fe",reports\choice-amenity-html\mx075.html,42
2026-07-23T00:03:39.876Z,recgmlv62BWqPIw1P,"Quality Inn Mazatlan",reports/choice-amenity-html/mx071.html,44
2026-07-23T07:40:31.077Z,recgLsIbA1EGCjwc8,"Radisson Blu Aruba",reports\choice-amenity-html\aw007.html,52
2026-07-23T07:40:31.723Z,recJbdVpfPwdnTX7X,"Radisson Aquatica Resort Barbados",reports\choice-amenity-html\bb002.html,57
2026-07-23T07:40:32.445Z,recKaE1DQ7B9NbGTy,"Quality Suites Oscar Freire",reports\choice-amenity-html\br009.html,26
2026-07-23T07:40:32.850Z,recmwIu1CUPcrXKrt,"Radisson Hotel Alphaville",reports\choice-amenity-html\br023.html,26
2026-07-23T07:40:33.484Z,rec5FTPBwWJrS7KRF,"Quality Hotel Faria Lima",reports\choice-amenity-html\br033.html,26
2026-07-23T07:40:33.858Z,recetmfWRpItxC3HM,"Comfort Suites Flamboyant",reports\choice-amenity-html\br046.html,22
2026-07-23T07:40:34.420Z,recn3JrmcYAy2cMC8,"Comfort Suites Brasilia",reports\choice-amenity-html\br049.html,21
2026-07-23T07:40:35.089Z,recUxlOxvAr3rrWb0,"Comfort Suites Londrina",reports\choice-amenity-html\br063.html,19
2026-07-23T07:40:35.852Z,rec2CuHxNh4pLUieN,"Quality Hotel Curitiba",reports\choice-amenity-html\br072.html,16
2026-07-23T07:40:36.377Z,recJHMJ5eeqBvGzBt,"Comfort Hotel Franca",reports\choice-amenity-html\br074.html,20
2026-07-23T07:40:36.956Z,recdMCXtrk9IeKyzi,"Quality Hotel Jundiai",reports\choice-amenity-html\br094.html,10
2026-07-23T07:40:37.486Z,reckVbvXmaRgUR0I7,"Comfort Hotel Araraquara",reports\choice-amenity-html\br095.html,24
2026-07-23T07:40:38.158Z,recgsmZj8eX58oTd9,"Quality Hotel Manaus",reports\choice-amenity-html\br099.html,38
2026-07-23T07:40:38.682Z,rechguu4mPTdMLqKm,"Comfort Hotel Campos Dos Goytacazes",reports\choice-amenity-html\br101.html,27
2026-07-23T07:40:39.286Z,rec0Z3KDZDLYLjyQF,"Comfort Hotel Sertaozinho",reports\choice-amenity-html\br103.html,23
2026-07-23T07:40:39.789Z,recv3es2CjcAZmg5l,"Quality Hotel & Suites Brasilia",reports\choice-amenity-html\br109.html,37
2026-07-23T07:40:40.318Z,recwvcWrWpiq3kuq9,"Comfort Hotel & Suites Rondonopolis",reports\choice-amenity-html\br113.html,19
2026-07-23T07:40:40.767Z,recPdupuEa1xekFdu,"Comfort Hotel Santos",reports\choice-amenity-html\br117.html,22
2026-07-23T07:40:41.201Z,rec76YfQ0iJNmqUD9,"Sleep Inn Vitoria",reports\choice-amenity-html\br122.html,16
2026-07-23T07:40:41.619Z,recazBNxPazCs8y7a,"Quality Hotel Goiania",reports\choice-amenity-html\br127.html,21
2026-07-23T07:40:41.995Z,rec9HH2cWyNbQbn1a,"Sleep Inn Guarulhos",reports\choice-amenity-html\br129.html,23
2026-07-23T07:40:42.597Z,rec7O9qgI7zbuI7Pk,"Comfort Hotel Mogi Guacu",reports\choice-amenity-html\br136.html,24
2026-07-23T07:40:43.199Z,reco9433E1Eco3RLW,"Quality Hotel & Suites Sao Salvador",reports\choice-amenity-html\br139.html,29
2026-07-23T07:40:43.746Z,rec5JWoqtJQBQIGhO,"Comfort Hotel Maceio",reports\choice-amenity-html\br140.html,21
2026-07-23T07:40:44.466Z,receraO6a2LBlAFS9,"Quality Hotel Blumenau",reports\choice-amenity-html\br145.html,20
2026-07-23T07:40:45.042Z,recFODBnRGXiPIhWN,"Quality Suites Joao Pessoa",reports\choice-amenity-html\br146.html,21
2026-07-23T07:40:45.547Z,recBY6pWoJPO5SYYp,"Comfort Suites Sao Jose Do Rio Preto",reports\choice-amenity-html\br151.html,24
2026-07-23T07:40:46.071Z,recxeNGJrgFgfGWsY,"Radisson Blu Belo Horizonte",reports\choice-amenity-html\br154.html,20
2026-07-23T07:40:46.514Z,rec7wuYYenSfiKwIo,"Park Inn Berrini",reports\choice-amenity-html\br156.html,25
2026-07-23T07:40:46.879Z,recfyYM0Axiz3Gwe8,"Radisson RED Campinas",reports\choice-amenity-html\br157.html,26
2026-07-23T07:40:47.432Z,rec7bk5veMtcKm8La,"Radisson Hotel Curitiba",reports\choice-amenity-html\br158.html,31
2026-07-23T07:40:47.950Z,recJuVUstMrQOH8lv,"Radisson Hotel Oscar Freire",reports\choice-amenity-html\br160.html,28
2026-07-23T07:40:48.622Z,rectlLKZ1wbhYj7md,"Radisson Hotel Paulista Sao Paulo",reports\choice-amenity-html\br163.html,26
2026-07-23T07:40:49.167Z,recJW1QBKl60HKqDC,"Park Plaza Porto Alegre Moinhos de Vento",reports\choice-amenity-html\br164.html,23
2026-07-23T07:40:49.728Z,rec2LMW5amO5Z7R7x,"Radisson Recife",reports\choice-amenity-html\br165.html,23
2026-07-23T07:40:50.115Z,recE6QDoq1xtuncTD,"Radisson Vila Olimpia Sao Paulo",reports\choice-amenity-html\br168.html,21
2026-07-23T07:40:50.527Z,recmUIsMtSQstxOe5,"Radisson Hotel Anapolis",reports\choice-amenity-html\br169.html,19
2026-07-23T07:40:51.128Z,rec5CiGXwcQVyFsVM,"Radisson RED Ibirapuera",reports\choice-amenity-html\br185.html,37
2026-07-23T07:40:51.751Z,recUVdUrSlEe2gH87,"Comfort Suites Paradise Island",reports\choice-amenity-html\bs003.html,25
2026-07-23T07:40:52.282Z,recYAoPBUGOcs2ujj,"Radisson Bogota Metrotel",reports\choice-amenity-html\cb008.html,24
2026-07-23T07:40:52.725Z,recFm03giCXiSunLp,"Radisson Hotel Diamond Barranquilla",reports\choice-amenity-html\cb009.html,65
2026-07-23T07:40:53.137Z,recOlNJEBaMQZKvLH,"Hotel Bantu by Faranda Boutique a member of Radisson Individuals",reports\choice-amenity-html\cb011.html,17
2026-07-23T07:40:53.730Z,recFA6L4WdVoUjeiI,"Faranda Collection Bogota A Member Of Radisson Individuals",reports\choice-amenity-html\cb012.html,21
2026-07-23T07:40:54.497Z,recI1Szkt2BtPnsnF,"Radisson Cartagena Ocean Pavillion Hotel",reports\choice-amenity-html\cb013.html,32
2026-07-23T07:40:54.977Z,recg3EvDwkdVHk6Yj,"Hotel Caribe By Faranda Grand A Member Of Radisson Individuals",reports\choice-amenity-html\cb014.html,35
2026-07-23T07:40:55.408Z,recImFmHWCO2hYUZM,"Faranda Collection Cali A Member Of Radisson Individuals",reports\choice-amenity-html\cb015.html,22
2026-07-23T07:40:55.809Z,recID0aQJjjVchBOp,"Faranda Collection Barranquilla a member of Radisson Individuals",reports\choice-amenity-html\cb016.html,27
2026-07-23T07:40:56.216Z,rechf9uLqHiVO2cHI,"Hotel Casa Don Luis by Faranda Boutique a member of Radisson Individuals",reports\choice-amenity-html\cb017.html,17
2026-07-23T07:40:56.835Z,recIBD6ezsMUAfMg0,"Hotel Casa La Factoria by Faranda Boutique a member of Radisson Individuals",reports\choice-amenity-html\cb018.html,16
