censusRecordId,censusName,censusCity,censusCountry,propertyId,propertyUrl,htmlFile,instructions
rec9nG8vcyOmZXJSR,Hotel Chihuahua San Francisco,Chihuahua,Mexico,MX043,https://www.choicehotels.com/chihuahua/chihuahua/quality-inn-hotels/mx043,reports/choice-amenity-html/mx043.html,Open propertyUrl in Chrome/Edge → wait for amenities → Ctrl+S Webpage Complete → save as htmlFile → node scripts/apply-choice-amenities-from-html.mjs (dry-run) then --apply
recIkCWtNd1CHHym0,Comfort Inn Cordoba,Cordoba,Mexico,MX050,https://www.choicehotels.com/veracruz/cordoba/comfort-inn-hotels/mx050,reports/choice-amenity-html/mx050.html,Open propertyUrl in Chrome/Edge → wait for amenities → Ctrl+S Webpage Complete → save as htmlFile → node scripts/apply-choice-amenities-from-html.mjs (dry-run) then --apply
recEVAyuUgQqrsAa6,Comfort Inn Monterrey Valle,Monterrey,Mexico,MX051,https://www.choicehotels.com/nuevo-leon/monterrey/comfort-inn-hotels/mx051,reports/choice-amenity-html/mx051.html,Open propertyUrl in Chrome/Edge → wait for amenities → Ctrl+S Webpage Complete → save as htmlFile → node scripts/apply-choice-amenities-from-html.mjs (dry-run) then --apply
recWK7cfMtuIj89xd,Quality Inn Ciudad Obregon,Ciudad Obregon,Mexico,MX054,https://www.choicehotels.com/sonora/obregon/quality-inn-hotels/mx054,reports/choice-amenity-html/mx054.html,Open propertyUrl in Chrome/Edge → wait for amenities → Ctrl+S Webpage Complete → save as htmlFile → node scripts/apply-choice-amenities-from-html.mjs (dry-run) then --apply
recULuD2QBXPk4p2U,Comfort Inn Tampico,Tampico,Mexico,MX056,https://www.choicehotels.com/tamaulipas/tampico/comfort-inn-hotels/mx056,reports/choice-amenity-html/mx056.html,Open propertyUrl in Chrome/Edge → wait for amenities → Ctrl+S Webpage Complete → save as htmlFile → node scripts/apply-choice-amenities-from-html.mjs (dry-run) then --apply
rec7z5uQ9n5KRxloL,Quality Inn Piedras Negras,Piedras Negras,Mexico,MX058,https://www.choicehotels.com/coahuila/piedras-negras/quality-inn-hotels/mx058,reports/choice-amenity-html/mx058.html,Open propertyUrl in Chrome/Edge → wait for amenities → Ctrl+S Webpage Complete → save as htmlFile → node scripts/apply-choice-amenities-from-html.mjs (dry-run) then --apply
recKReqQzFkyJgGdG,Comfort Inn Puerto Vallarta,Puerto Vallarta,Mexico,MX061,https://www.choicehotels.com/jalisco/puerto-vallarta/comfort-inn-hotels/mx061,reports/choice-amenity-html/mx061.html,Open propertyUrl in Chrome/Edge → wait for amenities → Ctrl+S Webpage Complete → save as htmlFile → node scripts/apply-choice-amenities-from-html.mjs (dry-run) then --apply
recqJ1LzgkeNC0DB9,Quality Inn Aguascalientes,Aguascalientes,Mexico,MX063,https://www.choicehotels.com/aguascalientes/aguascalientes/quality-inn-hotels/mx063,reports/choice-amenity-html/mx063.html,Open propertyUrl in Chrome/Edge → wait for amenities → Ctrl+S Webpage Complete → save as htmlFile → node scripts/apply-choice-amenities-from-html.mjs (dry-run) then --apply
rec1E6GwQPkcYgLzo,Sleep Inn Torreon,Torreon,Mexico,MX065,https://www.choicehotels.com/coahuila/torreon/sleep-inn-hotels/mx065,reports/choice-amenity-html/mx065.html,Open propertyUrl in Chrome/Edge → wait for amenities → Ctrl+S Webpage Complete → save as htmlFile → node scripts/apply-choice-amenities-from-html.mjs (dry-run) then --apply
recBId5NOA64PCIBO,Quality Inn & Suites Saltillo Eurotel,Saltillo,Mexico,MX070,https://www.choicehotels.com/coahuila/saltillo/quality-inn-hotels/mx070,reports/choice-amenity-html/mx070.html,Open propertyUrl in Chrome/Edge → wait for amenities → Ctrl+S Webpage Complete → save as htmlFile → node scripts/apply-choice-amenities-from-html.mjs (dry-run) then --apply
recgmlv62BWqPIw1P,Quality Inn Mazatlan,Mazatlan,Mexico,MX071,https://www.choicehotels.com/sinaloa/mazatlan/quality-inn-hotels/mx071,reports/choice-amenity-html/mx071.html,Open propertyUrl in Chrome/Edge → wait for amenities → Ctrl+S Webpage Complete → save as htmlFile → node scripts/apply-choice-amenities-from-html.mjs (dry-run) then --apply
recYWzUR6gif6SobH,Quality Inn Monterrey La Fe,Guadalupe,Mexico,MX075,https://www.choicehotels.com/nuevo-leon/cd-guadalupe-nuevo-leon/quality-inn-hotels/mx075,reports/choice-amenity-html/mx075.html,Open propertyUrl in Chrome/Edge → wait for amenities → Ctrl+S Webpage Complete → save as htmlFile → node scripts/apply-choice-amenities-from-html.mjs (dry-run) then --apply
