censusRecordId,censusName,censusCity,censusCountry,propertyId,propertyUrl,htmlFile,instructions
rec0EpqT5eOpSeqle,Comfort Hotel Sao Caetano,Sao Caetano do Sul,Brazil,BR126,https://www.choicehotels.com/sao-paulo/sao-caetano-do-sul/comfort-inn-hotels/br126,reports/choice-amenity-html/br126.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
rec1E6GwQPkcYgLzo,Sleep Inn Torreon,Torreon,Mexico,MX065,https://www.choicehotels.com/coahuila/torreon/sleep-inn-hotels/mx065,reports/choice-amenity-html/mx065.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
rec1WblO8rnicymJF,Quality Hotel Pampulha,Belo Horizonte,Brazil,BR110,https://www.choicehotels.com/minas-gerais/belo-horizonte/quality-inn-hotels/br110,reports/choice-amenity-html/br110.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
rec1tK1hmOMPahzSm,Radisson Hotel Curico,Curico,Chile,CL010,https://www.choicehotels.com/chile/curico/radisson-hotels/cl010,reports/choice-amenity-html/cl010.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
rec2hRrU0bZxd1AD4,Quality Hotel & Suites Natal,Natal,Brazil,BR058,https://www.choicehotels.com/rio-grande-do-sul/natal/quality-inn-hotels/br058,reports/choice-amenity-html/br058.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
rec4gTiLtqAToexR2,Comfort Inn Ciudad Juarez,Ciudad Juárez,Mexico,MX109,https://www.choicehotels.com/chihuahua/ciudad-juarez/comfort-inn-hotels/mx109,reports/choice-amenity-html/mx109.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
rec5loLpOWwfXL9ua,Sleep Inn Manaus,Manaus,Brazil,BR085,https://www.choicehotels.com/amazonas/manaus/sleep-inn-hotels/br085,reports/choice-amenity-html/br085.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
rec6mRuB2thYBcO4L,Comfort Hotel Goiania,Goiania,Brazil,BR089,https://www.choicehotels.com/goias/goiania/comfort-inn-hotels/br089,reports/choice-amenity-html/br089.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
rec6w6h6tfQUrn2uO,Quality Hotel Vitoria,Vitoria,Brazil,BR105,https://www.choicehotels.com/espirito-santo/vitoria/quality-inn-hotels/br105,reports/choice-amenity-html/br105.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
rec7tmvg1xxWXQWiP,Clarion Suites Roatan at Pineapple Villas,Honduras,Honduras,HN011,https://www.choicehotels.com/honduras/french-harbour-roatan/clarion-hotels/hn011,reports/choice-amenity-html/hn011.html,Open propertyUrl in browser → Ctrl+S Webpage Complete → save as htmlFile → apply-choice-amenities-from-html.mjs (dry-run) then --apply. See reports/choice-amenities-steward-runbook.md
