appliedAt,censusRecordId,censusName,country,changeType,currentAffiliation,canonicalAffiliation,fieldsJson
2026-07-22T22:40:18.874Z,rec0EpqT5eOpSeqle,"Comfort Hotel Sao Caetano",Brazil,affiliation_normalize,"Comfort","Comfort Inn & Suites","{""Affiliation"":""Comfort Inn & Suites""}"
2026-07-22T22:40:19.188Z,rec0Z3KDZDLYLjyQF,"Comfort Hotel Sertaozinho",Brazil,affiliation_normalize,"Comfort","Comfort Inn & Suites","{""Affiliation"":""Comfort Inn & Suites""}"
2026-07-22T22:40:19.432Z,rec0aasxB3kfvUGk5,"Comfort Inn Queretaro Tecnologico",Mexico,affiliation_normalize,"Comfort Inn","Comfort Inn & Suites","{""Affiliation"":""Comfort Inn & Suites""}"
2026-07-22T22:40:19.682Z,rec0mwr7EJqCW2ftV,"Hotel Bambito By Faranda Boutique, A Member Of Radisson Individuals",Panama,affiliation_normalize,"Radisson Individuals by Choice","Radisson Individual (Choice)","{""Affiliation"":""Radisson Individual (Choice)""}"
2026-07-22T22:40:19.920Z,rec1nxUTdoAJ3Am8N,"El Cid La Ceiba Beach Hotel",Mexico,affiliation_normalize,"Ascend Collection","Ascend Hotel Collection","{""Affiliation"":""Ascend Hotel Collection""}"
2026-07-22T22:40:20.245Z,rec1s2tkTrKPi12Dg,"Hotel Faranda Express Puerta Del Sol Barranquilla A Member of Radisson Individuals",Colombia,affiliation_normalize,"Radisson Individuals by Choice","Radisson Individual (Choice)","{""Affiliation"":""Radisson Individual (Choice)""}"
2026-07-22T22:40:20.492Z,rec1tK1hmOMPahzSm,"Radisson Hotel Curico",Chile,affiliation_normalize,"Radisson by Choice","Radisson (Choice)","{""Affiliation"":""Radisson (Choice)""}"
2026-07-22T22:40:20.740Z,rec2LMW5amO5Z7R7x,"Radisson Recife",Brazil,affiliation_normalize,"Radisson by Choice","Radisson (Choice)","{""Affiliation"":""Radisson (Choice)""}"
2026-07-22T22:40:21.003Z,rec2wIqZVeq7laR6r,"Radisson Hotel Santo Domingo",Dominican Republic,affiliation_normalize,"Radisson by Choice","Radisson (Choice)","{""Affiliation"":""Radisson (Choice)""}"
2026-07-22T22:40:21.278Z,rec3VuBaUE93xPcfE,"Radisson Hotel Vale dos Vinhedos",Brazil,affiliation_normalize,"Radisson by Choice","Radisson (Choice)","{""Affiliation"":""Radisson (Choice)""}"
2026-07-22T22:40:21.513Z,rec41pj0cY3OXH0Hv,"Radisson Paraiso Hotel Mexico City",Mexico,affiliation_normalize,"Radisson by Choice","Radisson (Choice)","{""Affiliation"":""Radisson (Choice)""}"
2026-07-22T22:40:21.728Z,rec4gTiLtqAToexR2,"Comfort Inn Ciudad Juarez",Mexico,affiliation_normalize,"Comfort Inn","Comfort Inn & Suites","{""Affiliation"":""Comfort Inn & Suites""}"
2026-07-22T22:40:22.020Z,rec5CiGXwcQVyFsVM,"Radisson RED Ibirapuera",Brazil,affiliation_normalize,"Radisson RED by Choice","Radisson RED  (Choice)","{""Affiliation"":""Radisson RED  (Choice)""}"
2026-07-22T22:40:22.324Z,rec5FH1lc338JOxX1,"Comfort Inn Real San Miguel",El Salvador,affiliation_normalize,"Comfort Inn","Comfort Inn & Suites","{""Affiliation"":""Comfort Inn & Suites""}"
2026-07-22T22:40:22.700Z,rec5JWoqtJQBQIGhO,"Comfort Hotel Maceio",Brazil,affiliation_normalize,"Comfort","Comfort Inn & Suites","{""Affiliation"":""Comfort Inn & Suites""}"
2026-07-22T22:40:22.938Z,rec6aUiqKl87vRVXG,"Emotions All Inclusive Juan Dolio Ascend Hotel Collection",Dominican Republic,affiliation_normalize,"Ascend Collection","Ascend Hotel Collection","{""Affiliation"":""Ascend Hotel Collection""}"
2026-07-22T22:40:23.181Z,rec6kARmGoWlSxpJV,"Radisson Poliforum Plaza Hotel Leon",Mexico,affiliation_normalize,"Radisson by Choice","Radisson (Choice)","{""Affiliation"":""Radisson (Choice)""}"
2026-07-22T22:40:23.442Z,rec6mRuB2thYBcO4L,"Comfort Hotel Goiania",Brazil,affiliation_normalize,"Comfort","Comfort Inn & Suites","{""Affiliation"":""Comfort Inn & Suites""}"
2026-07-22T22:40:23.689Z,rec6sVPgm8E8UNHTA,"Radisson Hotel Trinidad",Trinidad and Tobago,affiliation_normalize,"Radisson by Choice","Radisson (Choice)","{""Affiliation"":""Radisson (Choice)""}"
2026-07-22T22:40:23.995Z,rec7Ny9PfihzkgEGK,"Comfort Inn Irapuato",Mexico,affiliation_normalize,"Comfort Inn","Comfort Inn & Suites","{""Affiliation"":""Comfort Inn & Suites""}"
2026-07-22T22:40:24.334Z,rec7O9qgI7zbuI7Pk,"Comfort Hotel Mogi Guacu",Brazil,affiliation_normalize,"Comfort","Comfort Inn & Suites","{""Affiliation"":""Comfort Inn & Suites""}"
2026-07-22T22:40:24.637Z,rec7bk5veMtcKm8La,"Radisson Hotel Curitiba",Brazil,affiliation_normalize,"Radisson by Choice","Radisson (Choice)","{""Affiliation"":""Radisson (Choice)""}"
2026-07-22T22:40:24.880Z,rec7wuYYenSfiKwIo,"Park Inn Berrini",Brazil,affiliation_normalize,"Park Inn by Choice","Park Inn by Radisson (Choice)","{""Affiliation"":""Park Inn by Radisson (Choice)""}"
2026-07-22T22:40:25.131Z,rec8VbiatJup4g2ZI,"Radisson Hotel Puerto Varas",Chile,affiliation_normalize,"Radisson by Choice","Radisson (Choice)","{""Affiliation"":""Radisson (Choice)""}"
2026-07-22T22:40:25.410Z,rec99PlN1Z4j0pSZj,"Radisson Hotel & Convention Center Toluca",Mexico,affiliation_normalize,"Radisson by Choice","Radisson (Choice)","{""Affiliation"":""Radisson (Choice)""}"
2026-07-22T22:40:25.642Z,recABeu9m90R7W5xC,"Park Inn by Radisson Mazatlan",Mexico,affiliation_normalize,"Park Inn by Choice","Park Inn by Radisson (Choice)","{""Affiliation"":""Park Inn by Radisson (Choice)""}"
2026-07-22T22:40:25.889Z,recAXPslFL4gB6JXi,"Park Inn By Radisson San Jose, Costa Rica",Costa Rica,affiliation_normalize,"Park Inn by Choice","Park Inn by Radisson (Choice)","{""Affiliation"":""Park Inn by Radisson (Choice)""}"
2026-07-22T22:40:26.140Z,recB0sjy8eQbw7IkO,"Radisson Hotel Sao Paulo, Pinheiros",Brazil,affiliation_normalize,"Radisson by Choice","Radisson (Choice)","{""Affiliation"":""Radisson (Choice)""}"
