censusRecordId,censusName,censusCity,censusCountry
rec3VuBaUE93xPcfE,Radisson Hotel Vale dos Vinhedos,Monte Belo Do Sul,Brazil
recTkv8cbk8MZW9pt,Comfort Hotel & Suites Natal,Natal,Brazil
recekU5u0u05pxpLd,Radisson Hotel Flecheiras,Flecheiras,Brazil
recioal2ei61BfUlU,Radisson Hotel Espirito Santo do Pinhal,Espirito Santo Do Pinha,Brazil
recMaPQqCZwid4h3j,San Jose de Puembo Quito Airport an Ascend Member,Quito,Ecuador
recjdH2Tyu2VzuGlu,"Radisson Blu Hotel & Residences, Punta Blanca",Punta Blanca,Ecuador
recSUnFspVNPm8Zt7,"Radisson Blu Hotel Resort & Spa, Papagayo, Costa Rica",Guanacaste,Costa Rica
recp21Xe2exhYCQLi,Quality Hotel Real San Jose,San Jose,Costa Rica
recXsdIoD3FNG093n,Emotions All Inclusive Puerto Plata Ascend Hotel Collection,Puerto Plata,Dominican Republic
recqAsAbHmJ5Vg2j7,Quality Hotel Real Aeropuerto Santo Domingo,Santo Domingo,Dominican Republic
recM6H22waiVJHUGk,"The Mangrove, An Ascend Hotel Collection Member",St. Thomas,US Virgin Islands
