rank,score,brandName,censusRecordId,censusName,country,propertyId,blankFieldsJoined,website,htmlFile
1,70,Ascend Hotel Collection,recbl4EWE8dzSS0lO,Amberes 64 Ascend Hotel Collection,Mexico,MX228,Amenities; Hotel Description,https://www.choicehotels.com/mexico/mexico-city/ascend-hotels/mx228,reports/choice-amenity-html/mx228.html
2,70,Ascend Hotel Collection,reclMDaf12SrNMDS9,El Cid Castilla Beach Hotel,Mexico,MX164,Amenities; Hotel Description,https://www.choicehotels.com/sinaloa/mazatlan/ascend-hotels/mx164,reports/choice-amenity-html/mx164.html
3,70,Ascend Hotel Collection,recljXyUE3I8sCoxc,El Cid El Moro Beach Hotel,Mexico,MX165,Amenities; Hotel Description,https://www.choicehotels.com/sinaloa/mazatlan/ascend-hotels/mx165,reports/choice-amenity-html/mx165.html
4,70,Ascend Hotel Collection,recDRdpfwuFTi4hJt,El Cid Marina Beach Hotel,Mexico,MX166,Amenities; Hotel Description,https://www.choicehotels.com/sinaloa/mazatlan/ascend-hotels/mx166,reports/choice-amenity-html/mx166.html
5,65,Ascend Hotel Collection,recZI5mQ4c0lNhns5,Ascend Collection Roxborough,Trinidad and Tobago,TT006,Amenities; Hotel Description,https://www.choicehotels.com/trinidad-and-tobago/roxborough/ascend-hotels/tt006,reports/choice-amenity-html/tt006.html
6,65,Ascend Hotel Collection,recHJi993HTEUWJFV,Ascend Hotel Collection Mas Na at the Groves,Puerto Rico,PR029,Amenities; Hotel Description,https://www.choicehotels.com/puerto-rico/salinas/ascend-hotels/pr029,reports/choice-amenity-html/pr029.html
7,65,Ascend Hotel Collection,reckaUB0TwG0Cb6wW,Manta Lodge Resort An Ascend Hotel Collection Member,Trinidad and Tobago,TT008,Amenities; Hotel Description,https://www.choicehotels.com/trinidad-and-tobago/speyside/ascend-hotels/tt008,reports/choice-amenity-html/tt008.html
8,65,Comfort Inn & Suites,reckVsfRC9Uu7gUUH,Comfort Hotel Bauru,Brazil,BR114,Amenities; Hotel Description,https://www.choicehotels.com/sao-paulo/bauru/comfort-inn-hotels/br114,reports/choice-amenity-html/br114.html
9,65,Comfort Inn & Suites,recUQrkSxWLn01s92,Comfort Hotel Fortaleza,Brazil,BR010,Amenities; Hotel Description,https://www.choicehotels.com/ceara/fortaleza/comfort-inn-hotels/br010,reports/choice-amenity-html/br010.html
10,65,Comfort Inn & Suites,rec6mRuB2thYBcO4L,Comfort Hotel Goiania,Brazil,BR089,Amenities; Hotel Description,https://www.choicehotels.com/goias/goiania/comfort-inn-hotels/br089,reports/choice-amenity-html/br089.html
11,65,Comfort Inn & Suites,recLfJf5Y3l37uaMD,Comfort Hotel Guarulhos Airport,Brazil,BR152,Amenities; Hotel Description,https://www.choicehotels.com/sao-paulo/guarulhos/comfort-inn-hotels/br152,reports/choice-amenity-html/br152.html
12,65,Comfort Inn & Suites,recVCFNAE867smKyT,Comfort Hotel Ibirapuera,Brazil,BR050,Amenities; Hotel Description,https://www.choicehotels.com/sao-paulo/sao-paulo/comfort-inn-hotels/br050,reports/choice-amenity-html/br050.html
13,65,Comfort Inn & Suites,recFuwaeV12nr5j64,Comfort Hotel Manaus,Brazil,BR083,Amenities; Hotel Description,https://www.choicehotels.com/amazonas/manaus/comfort-inn-hotels/br083,reports/choice-amenity-html/br083.html
14,65,Comfort Inn & Suites,rec0EpqT5eOpSeqle,Comfort Hotel Sao Caetano,Brazil,BR126,Amenities; Hotel Description,https://www.choicehotels.com/sao-paulo/sao-caetano-do-sul/comfort-inn-hotels/br126,reports/choice-amenity-html/br126.html
15,65,Comfort Inn & Suites,recBqjM7mQgCZIpqh,Comfort Hotel Taguatinga,Brazil,BR073,Amenities; Hotel Description,https://www.choicehotels.com/distrito-federal/taguatinga/comfort-inn-hotels/br073,reports/choice-amenity-html/br073.html
16,65,Comfort Inn & Suites,rec4gTiLtqAToexR2,Comfort Inn Ciudad Juarez,Mexico,MX109,Amenities; Hotel Description,https://www.choicehotels.com/chihuahua/ciudad-juarez/comfort-inn-hotels/mx109,reports/choice-amenity-html/mx109.html
17,65,Comfort Inn & Suites,reco6dhOREJ8JyAfa,Comfort Inn Joinville,Brazil,BR080,Amenities; Hotel Description,https://www.choicehotels.com/santa-catarina/joinville/comfort-inn-hotels/br080,reports/choice-amenity-html/br080.html
18,65,Comfort Inn & Suites,recEVAyuUgQqrsAa6,Comfort Inn Monterrey Valle,Mexico,MX051,Amenities; Hotel Description,https://www.choicehotels.com/nuevo-leon/monterrey/comfort-inn-hotels/mx051,reports/choice-amenity-html/mx051.html
19,65,Comfort Inn & Suites,recyL5evuY45rEV6E,Comfort Inn San Luis Potosi,Mexico,MX089,Amenities; Hotel Description,https://www.choicehotels.com/san-luis-potosi/san-luis-potosi/comfort-inn-hotels/mx089,reports/choice-amenity-html/mx089.html
20,65,Comfort Inn & Suites,recqjKt6MSUdEoo0t,Comfort Serra da Canastra,Brazil,BR179,Amenities; Hotel Description,https://www.choicehotels.com/minas-gerais/sao-joao-batista-do-gloria/comfort-inn-hotels/br179,reports/choice-amenity-html/br179.html
