appliedAt,censusRecordId,censusName,propertyId,propertyUrl,source,amenityCount
2026-07-06T08:14:10.983Z,recl3N6lOAzypuVzl,"El Cid Granada Hotel",MX163,https://www.choicehotels.com/sinaloa/mazatlan/ascend-hotels/mx163,choice_steward_verified_url,0
2026-07-06T08:14:11.818Z,recljXyUE3I8sCoxc,"El Cid El Moro Beach Hotel",MX165,https://www.choicehotels.com/sinaloa/mazatlan/ascend-hotels/mx165,choice_steward_verified_url,0
2026-07-06T08:14:12.539Z,recjTNbfPSlClglNl,"Sleep Inn Leon Antares",MX176,https://www.choicehotels.com/guanajuato/leon/sleep-inn-hotels/mx176,choice_steward_verified_url,0
2026-07-06T11:53:51.229Z,rec7Ny9PfihzkgEGK,"Comfort Inn Irapuato",MX092,https://www.choicehotels.com/guanajuato/irapuato/comfort-inn-hotels/mx092,choice_straggler_steward,0
2026-07-06T11:53:51.750Z,rec9nG8vcyOmZXJSR,"Hotel Chihuahua San Francisco",MX043,https://www.choicehotels.com/chihuahua/chihuahua/quality-inn-hotels/mx043,choice_straggler_steward,0
2026-07-06T11:53:52.207Z,recbl4EWE8dzSS0lO,"Amberes 64 Ascend Hotel Collection",MX228,https://www.choicehotels.com/mexico/mexico-city/ascend-hotels/mx228,choice_straggler_steward,0
2026-07-06T11:53:52.652Z,reco6dhOREJ8JyAfa,"Comfort Inn Joinville",BR080,https://www.choicehotels.com/santa-catarina/joinville/comfort-inn-hotels/br080,choice_straggler_steward,0
2026-07-06T11:53:53.083Z,recC9ZIeByrNob1dw,"Quality Hotel St Paul Rio Preto",BR090,https://www.choicehotels.com/sao-paulo/sao-jose-do-rio-preto/quality-inn-hotels/br090,choice_straggler_steward,0
2026-07-06T11:53:53.494Z,recrq5oWLlU3I3Wdg,"Quality Hotel Porto Alegre",BR084,https://www.choicehotels.com/rio-grande-do-sul/porto-alegre/quality-inn-hotels/br084,choice_straggler_steward,0
2026-07-06T11:53:53.900Z,recchbmgK8qZTKQz3,"Former Comfort Suites Macae",BR075,https://www.choicehotels.com/rio-de-janeiro/macae/comfort-suites-hotels/br075,choice_straggler_steward,0
2026-07-06T11:53:54.301Z,recy5vv0a3sGia5Fn,"Radisson Hotel Pinheiros Sao Paulo",BR162,https://www.choicehotels.com/sao-paulo/pinheiros/radisson-hotels/br162,choice_straggler_steward,0
