brandName,censusRecordId,censusName,country,propertyId,website,blankFieldsJoined,hasUsableHtml,htmlFile
Ascend Hotel Collection,recbl4EWE8dzSS0lO,Amberes 64 Ascend Hotel Collection,Mexico,MX228,https://www.choicehotels.com/mexico/mexico-city/ascend-hotels/mx228,Amenities; Hotel Description,no,reports/choice-amenity-html/mx228.html
Ascend Hotel Collection,recZI5mQ4c0lNhns5,Ascend Collection Roxborough,Trinidad and Tobago,TT006,https://www.choicehotels.com/trinidad-and-tobago/roxborough/ascend-hotels/tt006,Amenities; Hotel Description,no,reports/choice-amenity-html/tt006.html
Ascend Hotel Collection,recHJi993HTEUWJFV,Ascend Hotel Collection Mas Na at the Groves,Puerto Rico,PR029,https://www.choicehotels.com/puerto-rico/salinas/ascend-hotels/pr029,Amenities; Hotel Description,no,reports/choice-amenity-html/pr029.html
Ascend Hotel Collection,reclMDaf12SrNMDS9,El Cid Castilla Beach Hotel,Mexico,MX164,https://www.choicehotels.com/sinaloa/mazatlan/ascend-hotels/mx164,Amenities; Hotel Description,no,reports/choice-amenity-html/mx164.html
Ascend Hotel Collection,recljXyUE3I8sCoxc,El Cid El Moro Beach Hotel,Mexico,MX165,https://www.choicehotels.com/sinaloa/mazatlan/ascend-hotels/mx165,Amenities; Hotel Description,no,reports/choice-amenity-html/mx165.html
Ascend Hotel Collection,recDRdpfwuFTi4hJt,El Cid Marina Beach Hotel,Mexico,MX166,https://www.choicehotels.com/sinaloa/mazatlan/ascend-hotels/mx166,Amenities; Hotel Description,no,reports/choice-amenity-html/mx166.html
Ascend Hotel Collection,reckaUB0TwG0Cb6wW,Manta Lodge Resort An Ascend Hotel Collection Member,Trinidad and Tobago,TT008,https://www.choicehotels.com/trinidad-and-tobago/speyside/ascend-hotels/tt008,Amenities; Hotel Description,no,reports/choice-amenity-html/tt008.html
Comfort Inn & Suites,reckVsfRC9Uu7gUUH,Comfort Hotel Bauru,Brazil,BR114,https://www.choicehotels.com/sao-paulo/bauru/comfort-inn-hotels/br114,Amenities; Hotel Description,no,reports/choice-amenity-html/br114.html
Comfort Inn & Suites,recUQrkSxWLn01s92,Comfort Hotel Fortaleza,Brazil,BR010,https://www.choicehotels.com/ceara/fortaleza/comfort-inn-hotels/br010,Amenities; Hotel Description,no,reports/choice-amenity-html/br010.html
Comfort Inn & Suites,rec6mRuB2thYBcO4L,Comfort Hotel Goiania,Brazil,BR089,https://www.choicehotels.com/goias/goiania/comfort-inn-hotels/br089,Amenities; Hotel Description,no,reports/choice-amenity-html/br089.html
Comfort Inn & Suites,recLfJf5Y3l37uaMD,Comfort Hotel Guarulhos Airport,Brazil,BR152,https://www.choicehotels.com/sao-paulo/guarulhos/comfort-inn-hotels/br152,Amenities; Hotel Description,no,reports/choice-amenity-html/br152.html
Comfort Inn & Suites,recVCFNAE867smKyT,Comfort Hotel Ibirapuera,Brazil,BR050,https://www.choicehotels.com/sao-paulo/sao-paulo/comfort-inn-hotels/br050,Amenities; Hotel Description,no,reports/choice-amenity-html/br050.html
Comfort Inn & Suites,recFuwaeV12nr5j64,Comfort Hotel Manaus,Brazil,BR083,https://www.choicehotels.com/amazonas/manaus/comfort-inn-hotels/br083,Amenities; Hotel Description,no,reports/choice-amenity-html/br083.html
Comfort Inn & Suites,rec0EpqT5eOpSeqle,Comfort Hotel Sao Caetano,Brazil,BR126,https://www.choicehotels.com/sao-paulo/sao-caetano-do-sul/comfort-inn-hotels/br126,Amenities; Hotel Description,no,reports/choice-amenity-html/br126.html
Comfort Inn & Suites,recBqjM7mQgCZIpqh,Comfort Hotel Taguatinga,Brazil,BR073,https://www.choicehotels.com/distrito-federal/taguatinga/comfort-inn-hotels/br073,Amenities; Hotel Description,no,reports/choice-amenity-html/br073.html
Comfort Inn & Suites,recJG39v9OTcwihy8,Comfort Inn & Suites Levittown,Puerto Rico,PR006,https://www.choicehotels.com/puerto-rico/levittown/comfort-inn-hotels/pr006,Amenities; Hotel Description,no,reports/choice-amenity-html/pr006.html
Comfort Inn & Suites,rec4gTiLtqAToexR2,Comfort Inn Ciudad Juarez,Mexico,MX109,https://www.choicehotels.com/chihuahua/ciudad-juarez/comfort-inn-hotels/mx109,Amenities; Hotel Description,no,reports/choice-amenity-html/mx109.html
Comfort Inn & Suites,recwrzq0Sq9wUqx42,Comfort Inn Ciudad Juarez,Mexico,MX109,https://www.choicehotels.com/chihuahua/ciudad-juarez/comfort-inn-hotels/mx109,Amenities; Hotel Description,no,reports/choice-amenity-html/mx109.html
Comfort Inn & Suites,reco6dhOREJ8JyAfa,Comfort Inn Joinville,Brazil,BR080,https://www.choicehotels.com/santa-catarina/joinville/comfort-inn-hotels/br080,Amenities; Hotel Description,no,reports/choice-amenity-html/br080.html
Comfort Inn & Suites,recEVAyuUgQqrsAa6,Comfort Inn Monterrey Valle,Mexico,MX051,https://www.choicehotels.com/nuevo-leon/monterrey/comfort-inn-hotels/mx051,Amenities; Hotel Description,no,reports/choice-amenity-html/mx051.html
Comfort Inn & Suites,recyL5evuY45rEV6E,Comfort Inn San Luis Potosi,Mexico,MX089,https://www.choicehotels.com/san-luis-potosi/san-luis-potosi/comfort-inn-hotels/mx089,Amenities; Hotel Description,no,reports/choice-amenity-html/mx089.html
Comfort Inn & Suites,recqjKt6MSUdEoo0t,Comfort Serra da Canastra,Brazil,BR179,https://www.choicehotels.com/minas-gerais/sao-joao-batista-do-gloria/comfort-inn-hotels/br179,Amenities; Hotel Description,no,reports/choice-amenity-html/br179.html
