censusRecordId,censusName,city,country,propertyId,propertyUrl,htmlFile,instruction
recbl4EWE8dzSS0lO,Amberes 64 Ascend Hotel Collection,Mexico City,Mexico,MX228,https://www.choicehotels.com/mexico/mexico-city/ascend-hotels/mx228,reports/choice-amenity-html/mx228.html,wayback harvest
recZI5mQ4c0lNhns5,Ascend Collection Roxborough,Roxborough,Trinidad and Tobago,TT006,https://www.choicehotels.com/trinidad-and-tobago/roxborough/ascend-hotels/tt006,reports/choice-amenity-html/tt006.html,wayback harvest
recHJi993HTEUWJFV,Ascend Hotel Collection Mas Na at the Groves,Salinas,Puerto Rico,PR029,https://www.choicehotels.com/puerto-rico/salinas/ascend-hotels/pr029,reports/choice-amenity-html/pr029.html,wayback harvest
reclMDaf12SrNMDS9,El Cid Castilla Beach Hotel,Mazatlan,Mexico,MX164,https://www.choicehotels.com/sinaloa/mazatlan/ascend-hotels/mx164,reports/choice-amenity-html/mx164.html,wayback harvest
recljXyUE3I8sCoxc,El Cid El Moro Beach Hotel,Mazatlan,Mexico,MX165,https://www.choicehotels.com/sinaloa/mazatlan/ascend-hotels/mx165,reports/choice-amenity-html/mx165.html,wayback harvest
recDRdpfwuFTi4hJt,El Cid Marina Beach Hotel,Mazatlan,Mexico,MX166,https://www.choicehotels.com/sinaloa/mazatlan/ascend-hotels/mx166,reports/choice-amenity-html/mx166.html,wayback harvest
reckaUB0TwG0Cb6wW,Manta Lodge Resort An Ascend Hotel Collection Member,Speyside,Trinidad and Tobago,TT008,https://www.choicehotels.com/trinidad-and-tobago/speyside/ascend-hotels/tt008,reports/choice-amenity-html/tt008.html,wayback harvest
reckVsfRC9Uu7gUUH,Comfort Hotel Bauru,Bauru,Brazil,BR114,https://www.choicehotels.com/sao-paulo/bauru/comfort-inn-hotels/br114,reports/choice-amenity-html/br114.html,wayback harvest
recUQrkSxWLn01s92,Comfort Hotel Fortaleza,Fortaleza,Brazil,BR010,https://www.choicehotels.com/ceara/fortaleza/comfort-inn-hotels/br010,reports/choice-amenity-html/br010.html,wayback harvest
rec6mRuB2thYBcO4L,Comfort Hotel Goiania,Goiania,Brazil,BR089,https://www.choicehotels.com/goias/goiania/comfort-inn-hotels/br089,reports/choice-amenity-html/br089.html,wayback harvest
recLfJf5Y3l37uaMD,Comfort Hotel Guarulhos Airport,Guarulhos,Brazil,BR152,https://www.choicehotels.com/sao-paulo/guarulhos/comfort-inn-hotels/br152,reports/choice-amenity-html/br152.html,wayback harvest
recVCFNAE867smKyT,Comfort Hotel Ibirapuera,Sao Paulo,Brazil,BR050,https://www.choicehotels.com/sao-paulo/sao-paulo/comfort-inn-hotels/br050,reports/choice-amenity-html/br050.html,wayback harvest
recFuwaeV12nr5j64,Comfort Hotel Manaus,Manaus,Brazil,BR083,https://www.choicehotels.com/amazonas/manaus/comfort-inn-hotels/br083,reports/choice-amenity-html/br083.html,wayback harvest
rec0EpqT5eOpSeqle,Comfort Hotel Sao Caetano,Sao Caetano do Sul,Brazil,BR126,https://www.choicehotels.com/sao-paulo/sao-caetano-do-sul/comfort-inn-hotels/br126,reports/choice-amenity-html/br126.html,wayback harvest
recBqjM7mQgCZIpqh,Comfort Hotel Taguatinga,Taguatinga,Brazil,BR073,https://www.choicehotels.com/distrito-federal/taguatinga/comfort-inn-hotels/br073,reports/choice-amenity-html/br073.html,wayback harvest
recJG39v9OTcwihy8,Comfort Inn & Suites Levittown,Toa Baja,Puerto Rico,PR006,https://www.choicehotels.com/puerto-rico/levittown/comfort-inn-hotels/pr006,reports/choice-amenity-html/pr006.html,wayback harvest
rec4gTiLtqAToexR2,Comfort Inn Ciudad Juarez,Ciudad Juárez,Mexico,MX109,https://www.choicehotels.com/chihuahua/ciudad-juarez/comfort-inn-hotels/mx109,reports/choice-amenity-html/mx109.html,wayback harvest
