censusRecordId,censusName,censusCountry,currentAffiliation,propertyUrl,matchReason,fields
rec1PXkMUZKr5SvTO,Hotel Carlota,Ecuador,Independent,https://www.designhotels.com/hotels/ecuador/quito/carlota/,steward_record_override,"{""Affiliation"":""Design Hotels"",""Parent Company"":""Marriott International"",""Website"":""https://www.designhotels.com/hotels/ecuador/quito/carlota/""}"
recaokE8psIbuVeuH,LaLuna Boutique Hotels & Villas,Grenada,Independent,https://www.designhotels.com/hotels/grenada/st-george-s-grenada/laluna/,steward_record_override,"{""Affiliation"":""Design Hotels"",""Parent Company"":""Marriott International"",""Website"":""https://www.designhotels.com/hotels/grenada/st-george-s-grenada/laluna/""}"
recJSZgZxqyVBeCL9,Boca de Agua,Mexico,Independent,https://www.designhotels.com/hotels/mexico/bacalar/boca-de-agua/,name_exact,"{""Affiliation"":""Design Hotels"",""Parent Company"":""Marriott International"",""Website"":""https://www.designhotels.com/hotels/mexico/bacalar/boca-de-agua/""}"
reczwDgVgwF9iFoRP,Casa Habita,Mexico,Independent,https://www.designhotels.com/hotels/mexico/guadalajara/casa-habita/,name_exact,"{""Affiliation"":""Design Hotels"",""Parent Company"":""Marriott International"",""Website"":""https://www.designhotels.com/hotels/mexico/guadalajara/casa-habita/""}"
rec1ybTMCedaIh0sZ,Lo Sereno Casa de Playa,Mexico,Independent,https://www.designhotels.com/hotels/mexico/ixtapa-zihuatanejo/lo-sereno/,steward_record_override,"{""Affiliation"":""Design Hotels"",""Parent Company"":""Marriott International"",""Website"":""https://www.designhotels.com/hotels/mexico/ixtapa-zihuatanejo/lo-sereno/""}"
recFS4to73D6ZG0fG,Hotelito by MUSA,Mexico,Independent,https://www.designhotels.com/hotels/mexico/ixtapa-zihuatanejo/hotelito-at-musa/,steward_record_override,"{""Affiliation"":""Design Hotels"",""Parent Company"":""Marriott International"",""Website"":""https://www.designhotels.com/hotels/mexico/ixtapa-zihuatanejo/hotelito-at-musa/""}"
recGnLZK24av3ayRc,Design Hotels Elena de Cobre,Mexico,Independent,https://www.designhotels.com/hotels/mexico/leon/elena-de-cobre/,steward_record_override,"{""Affiliation"":""Design Hotels"",""Parent Company"":""Marriott International"",""Website"":""https://www.designhotels.com/hotels/mexico/leon/elena-de-cobre/""}"
rece0NdV9FCnaFlVS,Condesa DF Hotel,Mexico,Independent,https://www.designhotels.com/hotels/mexico/mexico-city/condesa-df/,name_contains,"{""Affiliation"":""Design Hotels"",""Parent Company"":""Marriott International"",""Website"":""https://www.designhotels.com/hotels/mexico/mexico-city/condesa-df/""}"
recPtyDuFADdczVA3,Circulo Mexicano,Mexico,Independent,https://www.designhotels.com/hotels/mexico/mexico-city/circulo-mexicano/,name_exact,"{""Affiliation"":""Design Hotels"",""Parent Company"":""Marriott International"",""Website"":""https://www.designhotels.com/hotels/mexico/mexico-city/circulo-mexicano/""}"
recxPk7vq5OYDU4Uy,Habita Hotel,Mexico,Independent,https://www.designhotels.com/hotels/mexico/mexico-city/habita/,steward_record_override,"{""Affiliation"":""Design Hotels"",""Parent Company"":""Marriott International"",""Website"":""https://www.designhotels.com/hotels/mexico/mexico-city/habita/""}"
