lane,intake_class,validation_pass,validation_failures,source_record_id,hpc_recommended_action,hpc_matched_record_id,Property Name,Canonical Property Name,Property Identity Key,Current Brand,Brand Family,Affiliation Status,Independent Hotel Flag,Country,City,State / Region,Official Property URL,Source URL,Family / Source Family,Source Type,Source Confidence,Identity Confidence,VIC Freeze Hash,Production Use Status,Enrichment Status,Enrichment Priority,Human Review Required,Data Eligible,Latitude,Longitude,Phone
independent_unaffiliated,independent_l1_promote,true,,node/373851323,needs_research,recbqmjZiacpHmeJo,Hotel Europa,Hotel Europa,osm_do_node_373851323,Independent,,Independent,true,Dominican Republic,Sosua,Unknown,http://www.hotelplazaeuropa.com,https://www.openstreetmap.org/node/373851323,independent_open_sources,official_property_page,High,High,independent_census_dr_osm_2026-08-07,Census Only / Not Owner-Facing,Discovered — pending enrichment,High,true,true,19.7664933,-70.5114132,809-571-3335
independent_unaffiliated,independent_l1_promote,true,,node/3354152914,likely_new_candidate,recc4Q3BZldMeMtlA,Bungalows of Las Galeras,Bungalows of Las Galeras,osm_do_node_3354152914,Independent,,Independent,true,Dominican Republic,Las Galeras,Unknown,http://bungalowsoflasgaleras.com,https://www.openstreetmap.org/node/3354152914,independent_open_sources,official_property_page,High,High,independent_census_dr_osm_2026-08-07,Census Only / Not Owner-Facing,Discovered — pending enrichment,High,true,true,19.2917124,-69.198647,+809-708-7424
independent_unaffiliated,independent_l1_promote,true,,node/3469337532,likely_new_candidate,recmAzTMc9asgvt8i,Jarabacua River Club & Resort,Jarabacua River Club & Resort,osm_do_node_3469337532,Independent,,Independent,true,Dominican Republic,Jarabacoa,Unknown,http://riverclubjarabacoa.com/,https://www.openstreetmap.org/node/3469337532,independent_open_sources,official_property_page,High,High,independent_census_dr_osm_2026-08-07,Census Only / Not Owner-Facing,Discovered — pending enrichment,High,true,true,19.0924647,-70.6665701,+1 809-574-2456
independent_unaffiliated,independent_l1_promote,true,,node/3523794277,likely_new_candidate,rec5nLVYQCtuNmNak,Bella Vista,Bella Vista,osm_do_node_3523794277,Independent,,Independent,true,Dominican Republic,Santo domingo,Unknown,https://www.hotelbellavista.net,https://www.openstreetmap.org/node/3523794277,independent_open_sources,official_property_page,High,High,independent_census_dr_osm_2026-08-07,Census Only / Not Owner-Facing,Discovered — pending enrichment,High,true,true,18.4557147,-69.9468062,+1809 508 1800
independent_unaffiliated,independent_l1_promote,true,,node/4214843120,likely_new_candidate,recaDASYRUNGyBHAC,El Pelicano Apart-Hotel,El Pelicano Apart-Hotel,osm_do_node_4214843120,Independent,,Independent,true,Dominican Republic,Las Galeras,Unknown,https://www.elpelicanosamana.com/,https://www.openstreetmap.org/node/4214843120,independent_open_sources,official_property_page,High,High,independent_census_dr_osm_2026-08-07,Census Only / Not Owner-Facing,Discovered — pending enrichment,High,true,true,19.2939772,-69.2033384,+1 8099621246
independent_unaffiliated,independent_l1_promote,true,,node/5029505780,likely_new_candidate,recH2spywZTIOoEiA,Santo Domingo Bed & Breakfast,Santo Domingo Bed & Breakfast,osm_do_node_5029505780,Independent,,Independent,true,Dominican Republic,Santo Domingo,Unknown,http://santodomingobb.com/,https://www.openstreetmap.org/node/5029505780,independent_open_sources,official_property_page,High,High,independent_census_dr_osm_2026-08-07,Census Only / Not Owner-Facing,Discovered — pending enrichment,High,true,true,18.4693415,-69.8950906,+1 809 807 7210
independent_unaffiliated,independent_l1_promote,true,,node/5037222222,likely_new_candidate,recrpcMu4sx4vSkmS,Hotel Tropicana Deluxe,Hotel Tropicana Deluxe,osm_do_node_5037222222,Independent,,Independent,true,Dominican Republic,Punta Cana,Unknown,https://tropicana-deluxe-do.book.direct,https://www.openstreetmap.org/node/5037222222,independent_open_sources,official_property_page,High,High,independent_census_dr_osm_2026-08-07,Census Only / Not Owner-Facing,Discovered — pending enrichment,High,true,true,18.6833711,-68.4166244,+1 849 8593737
independent_unaffiliated,independent_l1_promote,true,,node/9856719770,likely_new_candidate,recUOyzOXn2Zdp98I,Hotel Villa La Plantacion,Hotel Villa La Plantacion,osm_do_node_9856719770,Independent,,Independent,true,Dominican Republic,Las Galeras,Unknown,https://villalaplantacion.com,https://www.openstreetmap.org/node/9856719770,independent_open_sources,official_property_page,High,High,independent_census_dr_osm_2026-08-07,Census Only / Not Owner-Facing,Discovered — pending enrichment,High,true,true,19.2905418,-69.1975057,+1 829 9169055
independent_unaffiliated,independent_l1_promote,true,,node/11035653720,likely_new_candidate,recazCEnMYzUaPGvy,Hotel Casa Coco,Hotel Casa Coco,osm_do_node_11035653720,Independent,,Independent,true,Dominican Republic,Boca Chica,Unknown,https://hotelcasacoco.com,https://www.openstreetmap.org/node/11035653720,independent_open_sources,official_property_page,High,High,independent_census_dr_osm_2026-08-07,Census Only / Not Owner-Facing,Discovered — pending enrichment,High,true,true,18.4488406,-69.608473,
independent_unaffiliated,independent_l1_promote,true,,node/12798112370,likely_new_candidate,recUOyzOXn2Zdp98I,Hotel & Apartments Buchen,Hotel & Apartments Buchen,osm_do_node_12798112370,Independent,,Independent,true,Dominican Republic,Samaná,Unknown,https://gosamana-dominicanrepublic.com/buchen-apartments-samana-town.html,https://www.openstreetmap.org/node/12798112370,independent_open_sources,official_property_page,High,High,independent_census_dr_osm_2026-08-07,Census Only / Not Owner-Facing,Discovered — pending enrichment,High,true,true,19.2050438,-69.3313655,+1-829-364-3025
