lane,intake_class,intake_notes,route,validation_pass,source_record_id,hpc_recommended_action,hpc_matched_record_id,Property Name,Canonical Property Name,Property Identity Key,Current Brand,Brand Family,Affiliation Status,Independent Hotel Flag,Country,City,State / Region,Official Property URL,Source URL,Family / Source Family,Source Type,Source Confidence,Identity Confidence,VIC Freeze Hash,Production Use Status,Enrichment Status,Enrichment Priority,Human Review Required,Data Eligible,Brand-Unassigned Reason,Latitude,Longitude,Phone
known_brand_census_intake,known_chain_census_backlog_not_active_setup,Not in Active/Live Brand Setup control list — still required for Hotel Property Census inventory. Do not drop. Autopilot Active scope may not enrich until Brand Status promotion.,route_known_chain_not_active,true,node/270997923,likely_new_candidate,rec01MDiDGhOUizYu,Breezes,Breezes,osm_do_node_270997923,Breezes (SuperClubs),Breezes (SuperClubs),Branded,false,Dominican Republic,Unknown,Unknown,,https://www.openstreetmap.org/node/270997923,Breezes (SuperClubs),other,Medium,Low,independent_census_dr_osm_2026-08-07,Census Only / Not Owner-Facing,Discovered — pending enrichment,High,true,false,known_chain_not_in_active_brand_setup,19.7822269,-70.4698729,
known_brand_census_intake,known_chain_census_backlog_not_active_setup,Not in Active/Live Brand Setup control list — still required for Hotel Property Census inventory. Do not drop. Autopilot Active scope may not enrich until Brand Status promotion.,route_known_chain_not_active,true,node/287032841,likely_new_candidate,recmAzTMc9asgvt8i,Dreams Palm Beach Resort,Dreams Palm Beach Resort,osm_do_node_287032841,Dreams (Hyatt Inclusive Collection),Dreams (Hyatt Inclusive Collection),Soft-Branded / Collection,false,Dominican Republic,Unknown,Unknown,,https://www.openstreetmap.org/node/287032841,Dreams (Hyatt Inclusive Collection),other,Medium,Low,independent_census_dr_osm_2026-08-07,Census Only / Not Owner-Facing,Discovered — pending enrichment,High,true,false,known_chain_not_in_active_brand_setup,18.6507341,-68.3634913,
known_brand_census_intake,known_chain_census_backlog_not_active_setup,Not in Active/Live Brand Setup control list — still required for Hotel Property Census inventory. Do not drop. Autopilot Active scope may not enrich until Brand Status promotion.,route_known_chain_not_active,true,node/302771731,likely_new_candidate,recKylgkR9LkMxaRP,Natura Park Beach Eco Resort & Spa,Natura Park Beach Eco Resort & Spa,osm_do_node_302771731,Blau Hotels,Blau Hotels,Branded,false,Dominican Republic,Punta Cana,Unknown,https://www.blaunaturapark.com/en/,https://www.openstreetmap.org/node/302771731,Blau Hotels,official_property_page,High,High,independent_census_dr_osm_2026-08-07,Census Only / Not Owner-Facing,Discovered — pending enrichment,High,true,true,known_chain_not_in_active_brand_setup,18.6525071,-68.3662716,
known_brand_census_intake,known_chain_census_backlog_not_active_setup,Not in Active/Live Brand Setup control list — still required for Hotel Property Census inventory. Do not drop. Autopilot Active scope may not enrich until Brand Status promotion.,route_known_chain_not_active,true,node/302771860,likely_new_candidate,recrpcMu4sx4vSkmS,Catalonia Punta Cana,Catalonia Punta Cana,osm_do_node_302771860,Catalonia,Catalonia,Branded,false,Dominican Republic,Unknown,Unknown,,https://www.openstreetmap.org/node/302771860,Catalonia,other,Medium,Low,independent_census_dr_osm_2026-08-07,Census Only / Not Owner-Facing,Discovered — pending enrichment,High,true,false,known_chain_not_in_active_brand_setup,18.6398025,-68.3483754,
known_brand_census_intake,known_chain_census_backlog_not_active_setup,Not in Active/Live Brand Setup control list — still required for Hotel Property Census inventory. Do not drop. Autopilot Active scope may not enrich until Brand Status promotion.,route_known_chain_not_active,true,node/302771929,likely_new_candidate,recFg5RNpxAAjh7Y2,Be Live Grand Bavaro,Be Live Grand Bavaro,osm_do_node_302771929,Be Live,Be Live,Branded,false,Dominican Republic,Unknown,Unknown,,https://www.openstreetmap.org/node/302771929,Be Live,other,Medium,Low,independent_census_dr_osm_2026-08-07,Census Only / Not Owner-Facing,Discovered — pending enrichment,High,true,false,known_chain_not_in_active_brand_setup,18.6497257,-68.3619285,
known_brand_census_intake,known_chain_census_backlog_not_active_setup,Not in Active/Live Brand Setup control list — still required for Hotel Property Census inventory. Do not drop. Autopilot Active scope may not enrich until Brand Status promotion.,route_known_chain_not_active,true,node/302800763,needs_research,recXh4NgF8sDbi9cQ,Wyndham Alltra Punta Cana,Wyndham Alltra Punta Cana,osm_do_node_302800763,Wyndham,Wyndham,Branded,false,Dominican Republic,Unknown,Unknown,,https://www.openstreetmap.org/node/302800763,Wyndham,other,Medium,Low,independent_census_dr_osm_2026-08-07,Census Only / Not Owner-Facing,Discovered — pending enrichment,High,true,false,known_chain_not_in_active_brand_setup,18.8034072,-68.5747262,
known_brand_census_intake,known_chain_census_backlog_not_active_setup,Not in Active/Live Brand Setup control list — still required for Hotel Property Census inventory. Do not drop. Autopilot Active scope may not enrich until Brand Status promotion.,route_known_chain_not_active,true,node/349129742,likely_new_candidate,recUOyzOXn2Zdp98I,Hotel RIU Mambo,Hotel RIU Mambo,osm_do_node_349129742,RIU,RIU,Branded,false,Dominican Republic,Maimón,Unknown,http://www.riu.com/de/clubhotel-riu-mambo-puerto-plata-dominikanische-republik.html,https://www.openstreetmap.org/node/349129742,RIU,official_property_page,High,High,independent_census_dr_osm_2026-08-07,Census Only / Not Owner-Facing,Discovered — pending enrichment,High,true,true,known_chain_not_in_active_brand_setup,19.8332371,-70.7649585,809-320-1212
known_brand_census_intake,known_chain_census_backlog_not_active_setup,Not in Active/Live Brand Setup control list — still required for Hotel Property Census inventory. Do not drop. Autopilot Active scope may not enrich until Brand Status promotion.,route_known_chain_not_active,true,node/354627440,likely_new_candidate,recUOyzOXn2Zdp98I,Hotel RIU Merengue,Hotel RIU Merengue,osm_do_node_354627440,RIU,RIU,Branded,false,Dominican Republic,Maimón,Unknown,http://www.riu.com/de/clubhotel-riu-merengue-puerto-plata-dominikanische-republik.html,https://www.openstreetmap.org/node/354627440,RIU,official_property_page,High,High,independent_census_dr_osm_2026-08-07,Census Only / Not Owner-Facing,Discovered — pending enrichment,High,true,true,known_chain_not_in_active_brand_setup,19.8333542,-70.7674704,809-320-4000
known_brand_census_intake,known_chain_census_backlog_not_active_setup,Not in Active/Live Brand Setup control list — still required for Hotel Property Census inventory. Do not drop. Autopilot Active scope may not enrich until Brand Status promotion.,route_known_chain_not_active,true,node/354627549,likely_new_candidate,recUOyzOXn2Zdp98I,Hotel RIU Bachata,Hotel RIU Bachata,osm_do_node_354627549,RIU,RIU,Branded,false,Dominican Republic,Maimón,Unknown,http://www.riu.com/de/clubhotel-riu-bachata-puerto-plata-dominikanische-republik.html,https://www.openstreetmap.org/node/354627549,RIU,official_property_page,High,High,independent_census_dr_osm_2026-08-07,Census Only / Not Owner-Facing,Discovered — pending enrichment,High,true,true,known_chain_not_in_active_brand_setup,19.834013,-70.7704647,809-320-1010
known_brand_census_intake,known_chain_census_backlog_not_active_setup,Not in Active/Live Brand Setup control list — still required for Hotel Property Census inventory. Do not drop. Autopilot Active scope may not enrich until Brand Status promotion.,route_known_chain_not_active,true,node/431025349,likely_new_candidate,recFg5RNpxAAjh7Y2,Barceló Bávaro Palace Deluxe,Barceló Bávaro Palace Deluxe,osm_do_node_431025349,Barceló,Barceló,Branded,false,Dominican Republic,Unknown,Unknown,http://www.barcelobavarocaribe.com/,https://www.openstreetmap.org/node/431025349,Barceló,official_property_page,High,Medium,independent_census_dr_osm_2026-08-07,Census Only / Not Owner-Facing,Discovered — pending enrichment,High,true,true,known_chain_not_in_active_brand_setup,18.6636871,-68.3960501,
known_brand_census_intake,active_or_soft_brand_census_plus_autopilot,Eligible for Active Brand Autopilot coverage after Census insert (if brand is Active/Live).,route_branded_active_setup,true,node/596663088,likely_new_candidate,recUoUcP9lEuNkl0F,Hotel Crowne Plaza,Hotel Crowne Plaza,osm_do_node_596663088,Crowne Plaza,Crowne Plaza,Branded,false,Dominican Republic,Santo Domingo,Unknown,,https://www.openstreetmap.org/node/596663088,Crowne Plaza,other,Medium,Medium,independent_census_dr_osm_2026-08-07,Census Only / Not Owner-Facing,Discovered — pending enrichment,High,true,true,,18.4635836,-69.8960441,+18092210000
known_brand_census_intake,known_chain_census_backlog_not_active_setup,Not in Active/Live Brand Setup control list — still required for Hotel Property Census inventory. Do not drop. Autopilot Active scope may not enrich until Brand Status promotion.,route_known_chain_not_active,true,node/597456591,likely_new_candidate,recdS7vpmjgcTvAFu,Hodelpa Novus Plaza,Hodelpa Novus Plaza,osm_do_node_597456591,Hodelpa,Hodelpa,Branded,false,Dominican Republic,Santo Domingo,Unknown,,https://www.openstreetmap.org/node/597456591,Hodelpa,other,Medium,Medium,independent_census_dr_osm_2026-08-07,Census Only / Not Owner-Facing,Discovered — pending enrichment,High,true,true,known_chain_not_in_active_brand_setup,18.4734399,-69.8854304,
known_brand_census_intake,known_chain_census_backlog_not_active_setup,Not in Active/Live Brand Setup control list — still required for Hotel Property Census inventory. Do not drop. Autopilot Active scope may not enrich until Brand Status promotion.,route_known_chain_not_active,true,node/635204441,likely_new_candidate,rec01MDiDGhOUizYu,Club Med,Club Med,osm_do_node_635204441,Club Med,Club Med,Branded,false,Dominican Republic,Unknown,Unknown,,https://www.openstreetmap.org/node/635204441,Club Med,other,Medium,Low,independent_census_dr_osm_2026-08-07,Census Only / Not Owner-Facing,Discovered — pending enrichment,High,true,false,known_chain_not_in_active_brand_setup,18.5456978,-68.3513581,
known_brand_census_intake,known_chain_census_backlog_not_active_setup,Not in Active/Live Brand Setup control list — still required for Hotel Property Census inventory. Do not drop. Autopilot Active scope may not enrich until Brand Status promotion.,route_known_chain_not_active,true,node/1207422127,likely_new_candidate,recUOyzOXn2Zdp98I,Be Live Grand Marien Hotel,Be Live Grand Marien Hotel,osm_do_node_1207422127,Be Live,Be Live,Branded,false,Dominican Republic,Unknown,Unknown,,https://www.openstreetmap.org/node/1207422127,Be Live,other,Medium,Low,independent_census_dr_osm_2026-08-07,Census Only / Not Owner-Facing,Discovered — pending enrichment,High,true,false,known_chain_not_in_active_brand_setup,19.778444,-70.658505,
known_brand_census_intake,known_chain_census_backlog_not_active_setup,Not in Active/Live Brand Setup control list — still required for Hotel Property Census inventory. Do not drop. Autopilot Active scope may not enrich until Brand Status promotion.,route_known_chain_not_active,true,node/1234382123,likely_new_candidate,recLcfYMZLX0PgEA5,Emotion By Hodelpa.,Emotion By Hodelpa.,osm_do_node_1234382123,Hodelpa,Hodelpa,Branded,false,Dominican Republic,Unknown,Unknown,,https://www.openstreetmap.org/node/1234382123,Hodelpa,other,Medium,Low,independent_census_dr_osm_2026-08-07,Census Only / Not Owner-Facing,Discovered — pending enrichment,High,true,false,known_chain_not_in_active_brand_setup,19.7703127,-70.6449925,
known_brand_census_intake,known_chain_census_backlog_not_active_setup,Not in Active/Live Brand Setup control list — still required for Hotel Property Census inventory. Do not drop. Autopilot Active scope may not enrich until Brand Status promotion.,route_known_chain_not_active,true,node/1653013577,likely_new_candidate,recrpcMu4sx4vSkmS,Secrets Royal Beach Punta Cana,Secrets Royal Beach Punta Cana,osm_do_node_1653013577,Hyatt,Hyatt,Branded,false,Dominican Republic,Punta Cana,Unknown,https://www.hyatt.com/en-US/hotel/dominican-republic/secrets-royal-beach/serpc,https://www.openstreetmap.org/node/1653013577,Hyatt,official_property_page,High,High,independent_census_dr_osm_2026-08-07,Census Only / Not Owner-Facing,Discovered — pending enrichment,High,true,true,known_chain_not_in_active_brand_setup,18.679197,-68.4157602,+1 809 221 46 46
