recordId,brandName,title,propertyUrl,propertyId,officialWebsite,recommendedImageUrl,hasThumbnail,currentImageUrl,notes
rec0xQAeq1JPu53j9,Park Inn by Choice,"Park Inn by Radisson — Antofagasta, Chile",https://www.choicehotels.com/chile/antofagasta/park-inn-hotels/cl023,cl023,,,false,,No mapped image URL or official website in review CSV.
rec22WMjoDHgK9BMD,Radisson by Choice,"Radisson — St Georges, Grenada",https://www.choicehotels.com/grenada/st-georges/radisson-hotels/gd002,gd002,,https://www.choicehotels.com/hoteldam/gd/gd002/images/1280/GD002Exterior01_1.jpg,false,,Use mapped hotel photo URL for manual attach if thumbnail missing.
rec2O9d1BOZTZfcyz,Radisson Blu by Choice,"Radisson Blu — Guancaste, Costa Rica",https://www.choicehotels.com/costa-rica/guancaste/radisson-blu-hotels/cr024,cr024,,,false,,No mapped image URL or official website in review CSV.
rec48kZo8p94OJjCD,Quality Inn,"Quality Inn — San Salvador, El Salvador",https://www.choicehotels.com/el-salvador/san-salvador/quality-inn-hotels/sv002,sv002,,,false,,No mapped image URL or official website in review CSV.
rec5KE7WGSPaAyzct,Comfort Inn & Suites,"Comfort Inn & Suites — Scarborough, Trinidad and Tobago",https://www.choicehotels.com/trinidad-and-tobago/scarborough/comfort-inn-hotels/tt005,tt005,,https://www.choicehotels.com/hoteldam/tt/tt005/images/1280/TT005Hexterior01_1.jpeg,false,,Use mapped hotel photo URL for manual attach if thumbnail missing.
rec5kiiaAv6fQeRcF,Park Inn by Choice,"Park Inn by Radisson — San Jose, Costa Rica",https://www.choicehotels.com/costa-rica/san-jose/park-inn-hotels/cr023,cr023,,,false,,No mapped image URL or official website in review CSV.
rec61TLKkJqRBfRGU,Comfort Inn & Suites,"Comfort Inn — Tegucigalpa, Honduras",https://www.choicehotels.com/honduras/tegucigalpa/comfort-inn-hotels/hn014,hn014,,,false,,No mapped image URL or official website in review CSV.
rec8cbfHYQomQd0Py,Radisson Individuals by Choice,"Radisson Individuals — Cartagena, Colombia",https://www.choicehotels.com/colombia/cartagena/radisson-individuals-hotels/cb018,cb018,,https://www.choicehotels.com/hoteldam/cb/cb018/images/2048/CB018PoolCourtyard4_1.JPG,false,,Use mapped hotel photo URL for manual attach if thumbnail missing.
rec8li9UaadUdOHJl,Radisson RED by Choice,"Radisson RED — Miraflores, Peru",https://www.choicehotels.com/peru/miraflores/radisson-red-hotels/pe012,pe012,,,false,,No mapped image URL or official website in review CSV.
recB7pzAfWw5JjyA2,Radisson by Choice,Radisson Puebla Angelópolis,https://www.choicehotels.com/en-mx/mexico/puebla/radisson-hotels/mxpue,mxpue,,https://www.choicehotels.com/hoteldam/mx/mxpue/images/1280/MXPUEExteriorTemp01_1.jpg,false,,Use mapped hotel photo URL for manual attach if thumbnail missing.
recB7wzI2R7TjFNgj,Clarion,"Clarion — Guatemala City, Guatemala",https://www.choicehotels.com/guatemala/guatemala-city/clarion-hotels/gt001,gt001,,,false,,No mapped image URL or official website in review CSV.
recDEHzUQI6ZqUVLG,Radisson Individuals by Choice,"Radisson Individual — Barranquilla, Colombia",https://www.choicehotels.com/colombia/barranquilla/radisson-individuals-hotels/cb016,cb016,,,false,,No mapped image URL or official website in review CSV.
recF9IXsLbE2HIg5y,Sleep Inn,"Sleep Inn — Cuajimalpa, Mexico City area",https://www.choicehotels.com/mexico/cuajimalpa-de-morelos/sleep-inn-hotels/mx108,mx108,https://www.choicehotels.com/sinaloa/mazatlan/sleep-inn-hotels/mx091,https://www.choicehotels.com/hoteldam/mx/mx108/images/1280/MX108Exterior01_1.jpg,false,,Use mapped hotel photo URL for manual attach if thumbnail missing.
recFCcDrYDYtLu83H,Radisson Blu by Choice,Radisson Blu Bariloche,https://www.choicehotels.com/argentina/san-carlos-de-bariloche/radisson-blu-hotels/aa022,aa022,,https://www.choicehotels.com/hoteldam/aa/aa022/images/1280/AA022ExteriorTemp01_1.jpg,false,,Use mapped hotel photo URL for manual attach if thumbnail missing.
recFY0y0QRmOQOww0,Radisson Blu by Choice,Radisson Blu São Paulo,https://www.choicehotels.com/sao-paulo/sao-paulo/radisson-blu-hotels/br167,br167,,,false,,No mapped image URL or official website in review CSV.
recHMJLNu2DiIa0yM,Radisson Individuals by Choice,"Radisson Individual — Cali, Colombia",https://www.choicehotels.com/colombia/cali/radisson-individuals-hotels/cb015,cb015,,,false,,No mapped image URL or official website in review CSV.
recL0gIhmwYjCFTgU,Comfort Inn & Suites,"Comfort Inn & Suites — Levittown, Puerto Rico",https://www.choicehotels.com/puerto-rico/levittown/comfort-inn-hotels/pr006,pr006,,,false,,No mapped image URL or official website in review CSV.
recQNOGJN2LCmxz29,Clarion,"Clarion — Tegucigalpa, Honduras",https://www.choicehotels.com/honduras/tegucigalpa/clarion-hotels/hn004,hn004,,https://www.choicehotels.com/hoteldam/hn/hn004/images/1280/HN004Exterior01_1.jpg,false,,Use mapped hotel photo URL for manual attach if thumbnail missing.
recQktCaqvQEfuibR,Sleep Inn,"Sleep Inn — San José, Costa Rica",https://www.choicehotels.com/costa-rica/san-jose/sleep-inn-hotels/cr013,cr013,,https://www.choicehotels.com/hoteldam/cr/cr013/images/1280/CR013ExteriorTemp01_1.jpg,false,,Use mapped hotel photo URL for manual attach if thumbnail missing.
recRhpa2WaWn1RMKB,Radisson Blu by Choice,Radisson Blu Aruba,https://www.choicehotels.com/aruba/palm-beach/radisson-blu-hotels/aw007,aw007,,https://www.choicehotels.com/hoteldam/aw/aw007/images/2048/AW007Exterior5_1.JPG,false,,Use mapped hotel photo URL for manual attach if thumbnail missing.
recThhNwjyOgsWkd4,Radisson Individuals by Choice,"Radisson Individual — Bogota, Colombia",https://www.choicehotels.com/colombia/bogota/radisson-individuals-hotels/cb012,cb012,,,false,,No mapped image URL or official website in review CSV.
recUIddvqwapbrYEB,Comfort Inn & Suites,"Comfort Inn & Suites — La Union, El Salvador",https://www.choicehotels.com/el-salvador/la-union/comfort-inn-hotels/sv006,sv006,,,false,,No mapped image URL or official website in review CSV.
recUsEH2aODdh8B1W,Radisson by Choice,"Radisson San Luis Potosí, Aeropuerto",https://www.choicehotels.com/en-mx/mexico/san-luis-potosi/radisson-hotels/slpap,slpap,,https://www.choicehotels.com/hoteldam/mx/slpap/images/1280/SLPAPExteriorTemp01_1.jpg,false,,Use mapped hotel photo URL for manual attach if thumbnail missing.
recW0FzbtczYgc1Hv,Radisson Blu by Choice,"Radisson Blu Belo Horizonte, Savassi",https://www.choicehotels.com/minas-gerais/belo-horizonte/radisson-blu-hotels/br154,br154,,,false,,No mapped image URL or official website in review CSV.
recWF6dGwmTTUcSrD,Radisson Blu by Choice,"Radisson Blu — Concon, Chile",https://www.choicehotels.com/chile/concon/radisson-blu-hotels/cl009,cl009,https://www.radissonblu.com/en/hotel-acqua-concon,,false,,Open officialWebsite and upload hero image manually.
recZ6LX5mea3ycvGI,Park Inn by Choice,"Park Inn by Radisson — Puerto Varas, Chile",https://www.choicehotels.com/chile/puerto-varas/park-inn-hotels/cl014,cl014,,,false,,No mapped image URL or official website in review CSV.
recZCUSTxcQtjemq0,Ascend Hotel Collection,"Ascend Hotel Collection — Santiago, Dominican Republic",https://www.choicehotels.com/dominican-republic/santiago/ascend-hotels/do032,do032,,,false,,No mapped image URL or official website in review CSV.
recaZ1gCvQH6zXdpu,Ascend Hotel Collection,"Ascend Hotel Collection — Georgetown, Guyana",https://www.choicehotels.com/guyana/georgetown/ascend-hotels/gy001,gy001,,,false,,No mapped image URL or official website in review CSV.
reccAfWJ6HZGqOCJB,Quality Inn,"Quality Inn — Santo Domingo, Dominican Republic",https://www.choicehotels.com/dominican-republic/santo-domingo/quality-inn-hotels/do002,do002,,https://www.choicehotels.com/hoteldam/do/do003/images/480/DO003ExteriorTemp1.jpg,false,,Use mapped hotel photo URL for manual attach if thumbnail missing.
reccNjTqNXOe7mD42,Ascend Hotel Collection,"Ascend Hotel Collection — St George, Grenada",https://www.choicehotels.com/grenada/st-george/ascend-hotels/gd001,gd001,,,false,,No mapped image URL or official website in review CSV.
recdDkZlBPdstnQsc,Radisson Individuals by Choice,"Radisson Individual — Cartagena, Colombia",https://www.choicehotels.com/colombia/cartagena/radisson-individuals-hotels/cb011,cb011,,,false,,No mapped image URL or official website in review CSV.
receQqJ4aGbiBi3RD,Ascend Hotel Collection,"Ascend Hotel Collection — Salinas, Puerto Rico",https://www.choicehotels.com/puerto-rico/salinas/ascend-hotels/pr029,pr029,,,false,,No mapped image URL or official website in review CSV.
recetKeAeej0JXPY4,Radisson Individuals by Choice,"Radisson Individual — Panama, Panama",https://www.choicehotels.com/panama/panama/radisson-individuals-hotels/pn008,pn008,,,false,,No mapped image URL or official website in review CSV.
recgFo1ENh7WGtgmu,Comfort Inn & Suites,"Comfort Inn — San Miguel, El Salvador",https://www.choicehotels.com/el-salvador/san-miguel/comfort-inn-hotels/sv004,sv004,,,false,,No mapped image URL or official website in review CSV.
rechFgIZSQiM7Om2O,Park Inn by Choice,"Park Inn by Radisson — Vallenar, Chile",https://www.choicehotels.com/chile/vallenar/park-inn-hotels/cl011,cl011,,https://www.choicehotels.com/hoteldam/cl/cl011/images/1280/CL011Exterior1_1.JPG,false,,Use mapped hotel photo URL for manual attach if thumbnail missing.
rechWgw9VKPbsq9sJ,Radisson Blu by Choice,"Radisson Blu — San Carlos De Bariloche, Argentina",https://www.choicehotels.com/argentina/san-carlos-de-bariloche/radisson-blu-hotels/aa022,aa022,,https://www.choicehotels.com/hoteldam/aa/aa022/images/1280/AA022ExteriorTemp01_1.jpg,false,,Use mapped hotel photo URL for manual attach if thumbnail missing.
recho9z9A1AIIu0rP,Clarion,"Clarion — San Pedro Sula, Honduras",https://www.choicehotels.com/honduras/san-pedro-sula/clarion-hotels/hn003,hn003,,https://www.choicehotels.com/hoteldam/hn/hn003/images/1280/Exterior1.JPG,false,,Use mapped hotel photo URL for manual attach if thumbnail missing.
recj24ue43HmUUGIS,Ascend Hotel Collection,"Ascend Hotel Collection — Jacmel, Haiti",https://www.choicehotels.com/haiti/jacmel/ascend-hotels/ht002,ht002,,,false,,No mapped image URL or official website in review CSV.
recjQKpv0rqFWyxXW,Ascend Hotel Collection,"Ascend Hotel Collection — Simpson Bay, saint-martin",https://www.choicehotels.com/saint-martin/simpson-bay/ascend-hotels/mf001,mf001,,,false,,No mapped image URL or official website in review CSV.
reclOk9LOzXmJPvqJ,Ascend Hotel Collection,"Ascend Hotel Collection — Mexico City, Mexico",https://www.choicehotels.com/mexico/mexico-city/ascend-hotels/mx228,mx228,,https://www.choicehotels.com/hoteldam/mx/mx228/images/1280/MX228ExteriorTemp01_1.jpg,false,,Use mapped hotel photo URL for manual attach if thumbnail missing.
recmp8VA7vI6YMHub,Radisson by Choice,"Radisson — Mexico City, Mexico",https://www.choicehotels.com/mexico/mexico-city/radisson-hotels/mx181,mx181,,https://www.choicehotels.com/hoteldam/mx/mx181/images/1280/MX181Exterior01_1.jpg,false,,Use mapped hotel photo URL for manual attach if thumbnail missing.
recnvCjGAiX1dWNaI,Radisson by Choice,"Radisson — Santo Domingo, Dominican Republic",https://www.choicehotels.com/dominican-republic/santo-domingo/radisson-hotels/do003,do003,,,false,,No mapped image URL or official website in review CSV.
reco6UWNr0bq2wHYx,Radisson RED by Choice,"Radisson RED — Rosario, Argentina",https://www.choicehotels.com/argentina/rosario/radisson-red-hotels/aa024,aa024,,https://www.choicehotels.com/hoteldam/aa/aa024/images/1280/AA024ExteriorTemp1.jpg,false,,Use mapped hotel photo URL for manual attach if thumbnail missing.
recpqp5tAuWpX9IDw,Radisson Individuals by Choice,"Radisson Individuals — Medellín, Colombia",https://www.choicehotels.com/colombia/medellin/radisson-individuals-hotels/cb030,cb030,,https://www.choicehotels.com/hoteldam/cb/cb030/images/2048/CB030TerraceTemp001_1.jpg,false,,Use mapped hotel photo URL for manual attach if thumbnail missing.
recqLW7iLzcQLyCK3,Quality Inn,"Quality Inn — San José, Costa Rica",https://www.choicehotels.com/costa-rica/san-jose/quality-inn-hotels/cr010,cr010,,https://www.choicehotels.com/hoteldam/cr/cr013/images/480/CR013ExteriorTemp01_1.jpg,false,,Use mapped hotel photo URL for manual attach if thumbnail missing.
recrTSH33B91MVPMV,Ascend Hotel Collection,"Ascend Hotel Collection — Guayaquil, Ecuador",https://www.choicehotels.com/ecuador/guayaquil/ascend-hotels/ec002,ec002,,,false,,No mapped image URL or official website in review CSV.
recru8qf0dfgQt4lt,Econo Lodge,Econo Lodge — Mexico corridor (Resville area),https://www.choicehotels.com/mexico/resville/econo-lodge-hotels/tr503,tr503,,,false,,No mapped image URL or official website in review CSV.
recsj1YmSg6glLga8,Radisson RED by Choice,"Radisson RED — Miraflores, Peru",https://www.choicehotels.com/peru/miraflores/radisson-red-hotels/pe005,pe005,,,false,,No mapped image URL or official website in review CSV.
rectYIszgpuQuEFjQ,Radisson by Choice,Radisson Riviera Panama,https://www.choicehotels.com/es-mx/panama/panama/radisson-hotels/pn018,pn018,,https://www.choicehotels.com/hoteldam/pn/pn018/images/1280/PN018AerialTemp1_1.jpg,false,,Use mapped hotel photo URL for manual attach if thumbnail missing.
