matchScore,registered,delegateName,delegateTitle,delegateCompany,delegateCountry,matchedOwner,ownerTargetId,priorityTier,knownContact,matchType,outreachReady,hasVerifiedContact
210,false,"Andrés Fajardo","CEO","GHL Hoteles","Colombia","GHL Hoteles",recVmFmZiPf1hbjKk,A,"Jorge Londoño","company_fuzzy|owner_company_fuzzy|enrichment_contact:p1-cala-ghl-hoteles-primary.json",,true
190,false,"Daniel Campos","DIRECTOR/Partner","CARIBE HOSPITALITY","Costa Rica","Caribe Hospitality",recat6sUtfIexZ5G3,A,"Daniel Campos","contact_name_exact|company_fuzzy|owner_company_fuzzy",,true
190,false,"Fabiana Salvi","Global Development Director","IBEROSTAR GROUP","Spain","Iberostar Hotels & Resorts",recGiCrK3ADJ28Tbr,A,"Fabiana Salvi","contact_name_exact|company_fuzzy|owner_company_fuzzy",,true
190,false,"GERARDO VALDES","VP DEVELOPMENT","Collective Hospitality","Singapore","Collective Hospitality",reciq7qhAvwqG4ypR,A,"Gerardo Valdes Mingramm","contact_name_partial|company_fuzzy|owner_company_fuzzy",,true
150,false,"Miguel Aliaga Gargollo","CFO","Fibra Inn","Mexico","Fibra Inn",recAUCruVYqMveIob,A,"","company_fuzzy|owner_company_fuzzy",false,
150,false,"Jaime Cohen","CEO","Fibra Inn","Mexico","Fibra Inn",recAUCruVYqMveIob,A,"","company_fuzzy|owner_company_fuzzy",false,
150,false,"Sergio Martinez Richo","Investor Relations & ESG","Fibra Inn","Mexico","Fibra Inn",recAUCruVYqMveIob,A,"","company_fuzzy|owner_company_fuzzy",false,
120,false,"Domenica Aservi","Head of Hospitality Operations","Urbanova","Peru","Urbanova",recWTadBfFfJApe7E,A,"","company_fuzzy|owner_company_fuzzy",false,
120,false,"JOSE CARLOS AZCARRAGA","CEO","POSADAS","Mexico","Grupo Posadas, S.A.B. DE C.V.",recMbbYWfa7ubv8op,A,"José Carlos Azcárraga Andrade","company_fuzzy|owner_company_fuzzy",,true
120,false,"Katherine Button","VP, Asset Management & Investments","Mullen Real Estate Capital","USA","Mullen Real Estate Capital",recInM1cvhNyluaOW,A,"","company_fuzzy|owner_company_fuzzy",false,
120,false,"Jose Luis Casabonne","CFO","URBANOVA","Peru","Urbanova",recWTadBfFfJApe7E,A,"","company_fuzzy|owner_company_fuzzy",false,
120,false,"Juan Castaño","CDO","GHL Hoteles","Colombia","GHL Hoteles",recVmFmZiPf1hbjKk,A,"Jorge Londoño","company_fuzzy|owner_company_fuzzy",,true
120,false,"Gina Duran","Senior Corporate Affairs Analyst","GHL","Colombia","GHL Hoteles",recVmFmZiPf1hbjKk,A,"Jorge Londoño","company_fuzzy|owner_company_fuzzy",,true
120,false,"Mauricio Elizondo","Chief Development Officer","POSADAS","Mexico","Grupo Posadas, S.A.B. DE C.V.",recMbbYWfa7ubv8op,A,"José Carlos Azcárraga Andrade","company_fuzzy|owner_company_fuzzy",,true
120,false,"Antonio Garcia","Development Manager","Grupo Posadas","Mexico","Grupo Posadas, S.A.B. DE C.V.",recMbbYWfa7ubv8op,A,"José Carlos Azcárraga Andrade","company_fuzzy|owner_company_fuzzy",,true
120,false,"Ana Gechem","GC - CoS","GHL","Colombia","GHL Hoteles",recVmFmZiPf1hbjKk,A,"Jorge Londoño","company_fuzzy|owner_company_fuzzy",,true
120,false,"Francisco Gonzalez","Development Director","Grupo Posadas","USA","Grupo Posadas, S.A.B. DE C.V.",recMbbYWfa7ubv8op,A,"José Carlos Azcárraga Andrade","company_fuzzy|owner_company_fuzzy",,true
120,false,"Jim Kirby","VP, Capital Markets","Mullen Real Estate Capital","USA","Mullen Real Estate Capital",recInM1cvhNyluaOW,A,"","company_fuzzy|owner_company_fuzzy",false,
120,false,"Jared Melnik","Managing Director","Bain Capital Real Estate","USA","L&R",reccmkPpoe0ew28X0,A,"","company_fuzzy|owner_company_fuzzy",false,
120,false,"Jeffrey Mullen","CEO","Mullen Real Estate Capital","USA","Mullen Real Estate Capital",recInM1cvhNyluaOW,A,"","company_fuzzy|owner_company_fuzzy",false,
120,false,"GARY MURRAY","President","Collective Hospitality","Singapore","Collective Hospitality",reciq7qhAvwqG4ypR,A,"Gerardo Valdes Mingramm","company_fuzzy|owner_company_fuzzy",,true
120,false,"Mario Andrés Mustafá","Owner","Hoteles Costa del Sol","Peru","Hoteles Costa del Sol",recmxErtgc9a37gEO,A,"Mario Mustafa Aguinaga","company_fuzzy|owner_company_fuzzy",,true
120,false,"Ximena Ortega","CMO","GHL","Colombia","GHL Hoteles",recVmFmZiPf1hbjKk,A,"Jorge Londoño","company_fuzzy|owner_company_fuzzy",,true
120,false,"Maximiliano Pazo","Director of Hospitality Business","Urbanova","Peru","Urbanova",recWTadBfFfJApe7E,A,"","company_fuzzy|owner_company_fuzzy",false,
120,false,"HECTOR VILLARREAL","DIRECTOR OF DEVELOPMENT","GRUPO POSADAS","Mexico","Grupo Posadas, S.A.B. DE C.V.",recMbbYWfa7ubv8op,A,"José Carlos Azcárraga Andrade","company_fuzzy|owner_company_fuzzy",,true
100,false,"Daniel Chavarria","Senior Advisor","Invest Costa Rica Boutique Hospitality Solutions","Costa Rica","Enchanting Hotels",rec7Uo5603XHmCEkp,B,"Daniel Chavarria","contact_name_exact",,true
90,false,"Constante Agulla","Head of Asset Management","TORTUGA RESORTS","Mexico","Tortuga Resorts",recTKF1JCEHQAQsJz,A,"Gerardo Valdes","company_fuzzy|owner_company_fuzzy",,true
90,false,"Eduardo Ahumada","SVP","Alojica","Mexico","Alojica",recqVaRXgZ7Vxkm0r,A,"","company_fuzzy|owner_company_fuzzy",false,
90,false,"Karim Alibhai","Founder & Principal","Gencom","USA","Owner 1: Mohari Hospitality Limited | Owner 2: Gencom",recPRV3C1Llhl5BjQ,A,"","company_fuzzy|owner_company_fuzzy",false,
90,false,"Billy J Allen","VP of Business Development & Strategy","Nova Hotel Renovation & Construction","USA","L&R",reccmkPpoe0ew28X0,A,"","company_fuzzy|owner_company_fuzzy",false,
90,false,"BRAULIO ARSUAGA","CEO","GRUPO PRESIDENTE","Mexico","Grupo Presidente",recYLqAS0TKCGTfW9,A,"Ruth Arias","company_fuzzy|owner_company_fuzzy",,true
90,false,"Gianina Barquero","Corporate Marketing Manager","Enjoy Group","Costa Rica","Enjoy Group",recTTm8k9Px1J9DKR,B,"","company_fuzzy|owner_company_fuzzy",false,
90,false,"Patricia Boo","Regional Director","STR","Colombia","Grupo Diestra",rec2apz3Jmyaawn2e,A,"","company_fuzzy|owner_company_fuzzy",false,
90,false,"Italo Bustíos Muñoz","Commercial VP","Enjoy Group","Costa Rica","Enjoy Group",recTTm8k9Px1J9DKR,B,"","company_fuzzy|owner_company_fuzzy",false,
