company,hqCity,hqCountry,calaHotels,calaPropertyCount,calaCountriesSummary,matchedOwnerName,matchType
Accor,Issy-les-Moulineaux,France,yes,6,Brazil,Accor,owner_exact
Accor Middle East & Africa,,France,yes,6,Brazil,Accor,partial
Aimbridge Hospitality,Plano,United States,yes,5,Bahamas; Dominican Republic,Aimbridge Hospitality,property_role
AKEN Hotels & Resorts,Miami,United States,yes,4,Argentina; Colombia,AKEN Hotels & Resorts,owner_exact
Aman Group S.A.R.L.,,Switzerland,yes,2,Dominican Republic; Turks and Caicos Islands,Aman Group S.A.R.L.,owner_exact
AMEK Group,Miami,United States,yes,4,Argentina; Mexico,AMEK Group,property_role
American Hotels Group,Saltillo,Mexico,yes,4,Mexico,American Hotels Group,owner_exact
Andras House Limited,Belfast,United Kingdom,yes,1,Saint Vincent and the Grenadines,Andras House Limited,property_role
Atlantica Hotels & Resorts,,Cyprus,yes,1,Brazil,Atlantica Hotels Int (Brasil) Ltda - Sleep Inn ...,partial
Atlantica Hotels International (Brasil) Ltda.,Barueri,Brazil,yes,27,Brazil,Atlantica Hotels International (Brasil) Ltda.,owner_exact
B&B Hotels,,France,yes,8,Brazil; Martinique,B&B Hotels,property_role
Balderrama Hotel Collection,Los Mochis,Mexico,yes,6,Mexico,Balderrama Hotel Collection,owner_exact
Barcelo Gestion Hotelera S.L.,Palma de Mallorca,Spain,yes,36,Mexico; Dominican Republic; Costa Rica; Cuba; Aruba; El Salvador; Guatemala; Nicaragua,Barcelo Gestion Hotelera S.L.,owner_exact
Barcelo Gestion Hotelera S.L.,,Spain,yes,36,Mexico; Dominican Republic; Costa Rica; Cuba; Aruba; El Salvador; Guatemala; Nicaragua,Barcelo Gestion Hotelera S.L.,owner_exact
Belmond Management Ltd,London,United Kingdom,yes,11,Peru; Brazil; Mexico; Anguilla,Belmond Management Ltd,owner_exact
Bern Hotels & Resorts,Panama City,Panama,yes,9,Panama,Bern Hotels & Resorts,owner_exact
Best Hotels,,Spain,yes,2,Dominican Republic,Best Hotels,owner_exact
Böena Lodges,San Jose,Costa Rica,yes,5,Costa Rica,Böëna Lodges,owner_exact
Bourbon Hotels & Resorts,,Brazil,yes,13,Brazil; Paraguay,Bourbon Hotels & Resorts,owner_exact
Brookfield Corporation,Toronto,Canada,yes,1,Brazil,Brookfield Corporation,owner_exact
Camino Real Hoteles,Mexico City,Mexico,yes,24,Mexico,Camino Real Hoteles,owner_exact
Camino Real Hoteles,,Mexico,yes,24,Mexico,Camino Real Hoteles,owner_exact
Caribe Hospitality,Escazú,Costa Rica,yes,15,Costa Rica; El Salvador; Mexico; Barbados; Jamaica; Puerto Rico; Trinidad and Tobago,Caribe Hospitality,owner_exact
Casa Andina Hoteles,Miraflores,Peru,yes,12,Peru,Casa Andina Hoteles,owner_exact
Casa Andina Hoteles,,Peru,yes,12,Peru,Casa Andina Hoteles,owner_exact
Catalonia Hotels & Resorts,Barcelona,Spain,yes,11,Dominican Republic; Mexico; Jamaica,Catalonia Hotels & Resorts,owner_exact
Cayman Group,Gerpinnes,Belgium,yes,1,Cayman Islands,Cayman Overseas Group Ltd.,partial
"Choice Hotels International, Inc.",North Bethesda,United States,yes,171,Brazil; Mexico; Colombia; Panama; Chile; Honduras; Costa Rica; Dominican Republic; Ecuador; El Salvador; Trinidad and Tobago; Peru; Uruguay; Argentina; Aruba; Bahamas; Barbados; Grenada; Guatemala; Puerto Rico; Sint Maarten (Dutch part); Suriname,"Choice Hotels International, Inc.",property_role
Columbia Sussex Corporation,Crestview Hills,United States,yes,1,Sint Maarten (Dutch part),Columbia Sussex Corporation,owner_exact
COMO Hotels and Resorts PTE Ltd,,Singapore,yes,1,Turks and Caicos Islands,COMO Hotels and Resorts PTE Ltd,owner_exact
Cubanacan Hotel Group,,Cuba,yes,35,Cuba,Cubanacan Hotel Group,owner_exact
Cubanacan Hotel Group,Havana,Cuba,yes,35,Cuba,Cubanacan Hotel Group,owner_exact
Dart Hospitality,Grand Cayman,Cayman Islands,yes,6,Cayman Islands; Anguilla,Dart Hospitality,owner_exact
