ownerName,priorityTier,propertyCount,countriesSummary,companyName,matchType,researchStatus,hasCompanyOverview,website,researchAction
Norte 19,A,142,Chile; Colombia; Costa Rica; Mexico,Norte 19,exact,import_only,false,https://norte19.com,add_costar_profile_screenshot
Nacional Inn Hotéis,A,57,Brazil,Nacional Inn Hotéis,exact,import_only,false,https://nacionalinn.com.br,add_costar_profile_screenshot
Grupo de Turismo Gaviota,A,48,Cuba,Grupo de Turismo Gaviota,exact,import_only,false,https://gaviotagrupo.com,add_costar_profile_screenshot
"Grupo Posadas, S.A.B. DE C.V.",A,44,Mexico,"Grupo Posadas, S.A.B. DE C.V.",exact,profile_partial,false,https://posadas.com,complete_company_overview
ICH Administracao de Hoteis S.A.,A,42,Brazil,ICH Administracao de Hoteis S.A.,exact,import_only,false,https://intercityhoteis.com.br,add_costar_profile_screenshot
Barcelo Gestion Hotelera S.L.,A,36,Aruba; Costa Rica; Cuba; Dominican Republic; El Salvador; Guatemala; Mexico; Nicaragua,Barcelo Gestion Hotelera S.L.,exact,import_only,false,https://barcelo.com,add_costar_profile_screenshot
Cubanacan Hotel Group,A,35,Cuba,Cubanacan Hotel Group,exact,import_only,false,https://cubanacanhoteles.com,add_costar_profile_screenshot
Howard Johnson Argentina,A,34,Argentina; Chile; Paraguay,Howard Johnson Argentina,exact,import_only,false,https://hjargentina.com,add_costar_profile_screenshot
Riu Hotels & Resorts,A,32,Aruba; Bahamas; Costa Rica; Dominican Republic; Jamaica; Mexico; Panama,Riu Hotels & Resorts,exact,import_only,false,https://riu.com,add_costar_profile_screenshot
Atlantica Hotels International (Brasil) Ltda.,A,27,Brazil,Atlantica Hotels International (Brasil) Ltda.,exact,import_only,false,https://ahi.com.br,add_costar_profile_screenshot
Iberostar Hotels & Resorts,A,26,Brazil; Cuba; Dominican Republic; Jamaica; Mexico,Iberostar Hotels & Resorts,exact,import_only,false,https://iberostar.com,add_costar_profile_screenshot
Camino Real Hoteles,A,24,Mexico,Camino Real Hoteles,exact,profile_partial,false,https://caminoreal.com,complete_company_overview
Real Hotels & Resorts,A,22,Colombia; Costa Rica; Dominican Republic; El Salvador; Guatemala; Honduras; Nicaragua; Panama; Peru,Real Hotels & Resorts,exact,import_only,false,https://realhotelsandresorts.com,add_costar_profile_screenshot
