portfolioConfidence,outreachSafe,ownerName,ownerTargetId,outreachReady,contactName,calaPropertyCount,pitchEligibleCount,operatorMatchRate,flags,leadPitchAsset,outreachGuidance,operatorsSummary,countriesSummary
blocked,false,Arotesa Servicions Integrales SA de CV,rec1ksl1MUX7bqU0H,false,,4,4,0,"seed_opaque_spv,low_operator_alignment,entity_mismatch,portfolio_over_attribution",Secrets Aura Cozumel — Cozumel — Mexico,CoStar lists Arotesa SPV; Balear Inmobiliaria is recorded owner of Paraiso de la Bonita. Verify each asset before outreach.,Apple Leisure Group; Royalton Hotels & Resorts,Mexico
low,false,Galicott & Macari,rec9TWY18qs48uFK6,false,,4,4,0,"seed_opaque_spv,low_operator_alignment,opaque_spv,entity_unverified",Dreams Vista Cancun Golf & Spa Resort — Cancun — Mexico,CoStar alias likely maps to Ganzi S. de R.L. de C.V. Confirm legal rep before portfolio pitch.,Apple Leisure Group,Mexico
medium,true,Caribe Hospitality,recat6sUtfIexZ5G3,true,Daniel Campos,15,15,0,"junk_building_names,low_operator_alignment",Fairfield By Marriott San Salvador — San Salvador — El Salvador,Use lead asset only until operator/entity alignment is confirmed.,Marriott International; PRISA Group; Hyatt Corporation,El Salvador; Costa Rica; Mexico; Trinidad; Barbados; Puerto Rico; Jamaica
medium,true,Club Viva International Inc,reche2pLCN2Gm75Mu,true,Amanda Santana,7,7,1,"junk_building_names,data_quality","Viva Tangerine by Wyndham, A Trademark All Inclusive — Cabarete — Dominican Republic",Review property rows with junk building names before mail-merge.,,Dominican Republic; Mexico; Bahamas
medium,true,Essendi,recvtKF4SIZlyg0Jk,true,Gilles Clavié,13,13,0,"low_operator_alignment,divestiture_risk",Ibis Cancun Centro — Cancun — Mexico,Essendi divesting LATAM assets — confirm current ownership before multi-asset pitch.,Accor North America; Accor South America,Mexico; Chile; Peru; Colombia
medium,true,Fibra Hotel Mexico,rec7RiI5ANnAxOzus,true,Eduardo López García,74,74,0.03,low_operator_alignment,Fiesta Inn & Loft Ciudad del Carmen — Ciudad Del Carmen — Mexico,Use lead asset only until operator/entity alignment is confirmed.,"Grupo Posadas, S.A.B. DE C.V.; Marriott International; Fibra Hotel Mexico",Mexico
medium,true,Grupo Hotusa,reciyS1JIOR3ofJ4L,true,Amancio López Seijas,2,2,0,low_operator_alignment,Eurostars Grand Cayacoa — Samana — Dominican Republic,Use lead asset only until operator/entity alignment is confirmed.,Eurostars Hotel Company S.L.,Dominican Republic; Colombia
medium,true,Grupo Martinon Grumasa S.L.,recP8j0Ju9i2dhpOJ,true,Alicia Martinón García,6,6,0,"junk_building_names,low_operator_alignment",Dreams Jade Resort & Spa — Puerto Morelos — Mexico,Use lead asset only until operator/entity alignment is confirmed.,Apple Leisure Group,Mexico; Dominican Republic; Aruba
medium,true,Grupo Questro,recFQevg2aKfAqjHT,true,Eduardo Sánchez Navarro Redo,5,5,0,"low_operator_alignment,many_distinct_operators,operator_mismatch_mixed",Hotel El Ganzo — La Paz — Mexico,Los Cabos developer portfolio mixes ALG/Hyatt/Marriott operators — pitch lead asset or confirm ownership per hotel.,Hotel El Ganzo; Ritz-Carlton Hotel Company; Apple Leisure Group; Marriott Vacations Worldwide,Mexico
medium,true,Interlink Group,recaARH5wUUxbYp36,true,Federico J. Sánchez,3,3,0,low_operator_alignment,Sheraton Puerto Rico Resort & Casino — San Juan — Puerto Rico,Use lead asset only until operator/entity alignment is confirmed.,Marriott International; Highgate Hotels L.P.,Puerto Rico
