ownerName,priorityTier,enrichmentPriority,verificationStatus,primaryCountry,registrySystem,bridgeStrategy,calaPropertyCount,entitySearchName,commercialRegistryUrl,tourismRegistryUrl,nextAction,primaryContactEmail,airtableOwnerId
Fibra Hotel Mexico,A,1,needs_registry,Mexico,MX_CORPORATE_WEB,direct_entity,74,Fibra Hotel Mexico,https://www.siger.gob.mx/,,corporate_web_research,,rec7RiI5ANnAxOzus
Nacional Inn Hotéis,A,1,needs_registry,Brazil,BR_CNPJ,direct_entity,57,Nacional Inn Hotéis,https://solucoes.receita.fazenda.gov.br/Servicos/cnpjreva/Cnpjreva_Solicitacao.asp,https://cadastur.turismo.gov.br/,registry_lookup_legal_rep,,recgvGO10MGFmSilN
Grupo de Turismo Gaviota,A,1,needs_manual_country,Cuba,,direct_entity,48,Grupo de Turismo Gaviota,,,registry_lookup_legal_rep,,reciJI4TdNqg0Jxbw
ICH Administracao de Hoteis S.A.,A,1,needs_registry,Brazil,BR_CNPJ,direct_entity,42,ICH Administracao de Hoteis S.A.,https://solucoes.receita.fazenda.gov.br/Servicos/cnpjreva/Cnpjreva_Solicitacao.asp,https://cadastur.turismo.gov.br/,registry_lookup_legal_rep,,rec8H9v3J8S6dN83g
Howard Johnson Argentina,A,1,needs_manual_country,Argentina,,direct_entity,34,Howard Johnson Argentina,,,registry_lookup_legal_rep,,rec1nWNjH0I1FX7Im
Fibra Inn,A,1,needs_registry,Mexico,MX_CORPORATE_WEB,direct_entity,28,Fibra Inn,https://www.siger.gob.mx/,,corporate_web_research,,recAUCruVYqMveIob
Real Hotels & Resorts,A,1,needs_registry,Colombia,CO_RUES,direct_entity,22,Real Hotels & Resorts,https://www.rues.org.co/,https://www.rues.org.co/,registry_lookup_legal_rep,,recbkiwiCrlDpHi4Q
Servicios Corporativos Piñero S.L.,A,1,needs_registry,Dominican Republic,DO_REGISTRO_MERCANTIL,direct_entity,17,Servicios Corporativos Piñero S.L.,https://app.registromercantil.do/,,registry_lookup_legal_rep,,recuuSDdQC4NGfmaR
Bourbon Hotels & Resorts,A,1,needs_registry,Brazil,BR_CNPJ,direct_entity,13,Bourbon Hotels & Resorts,https://solucoes.receita.fazenda.gov.br/Servicos/cnpjreva/Cnpjreva_Solicitacao.asp,https://cadastur.turismo.gov.br/,registry_lookup_legal_rep,,recBrGE3QFvyrQTh4
Essendi,A,1,needs_registry,Chile,CL_REGISTRO_EMPRESAS,direct_entity,13,Essendi,https://www.registrodeempresasysociedades.cl/,,registry_lookup_legal_rep,,recvtKF4SIZlyg0Jk
Irawadi Corp S.A.,A,1,needs_registry,Mexico,MX_CORPORATE_WEB,direct_entity,13,Irawadi Corp S.A.,https://www.siger.gob.mx/,,corporate_web_research,,recHOIk9MWXBw8B5b
Habaguanex Tourist Company,A,1,needs_manual_country,Cuba,,direct_entity,12,Habaguanex Tourist Company,,,registry_lookup_legal_rep,,recC4UYDYylbDgtue
Park Royal Hotels & Resorts,A,1,needs_registry,Mexico,MX_CORPORATE_WEB,direct_entity,12,Park Royal Hotels & Resorts,https://www.siger.gob.mx/,,corporate_web_research,,recXVuGin3WuOUyU9
BTG Pactual,A,1,needs_registry,Brazil,BR_CNPJ,direct_entity,11,BTG Pactual,https://solucoes.receita.fazenda.gov.br/Servicos/cnpjreva/Cnpjreva_Solicitacao.asp,https://cadastur.turismo.gov.br/,registry_lookup_legal_rep,,recQSmTeolLy3IkB1
Catalonia Hotels & Resorts,A,1,needs_registry,Dominican Republic,DO_REGISTRO_MERCANTIL,direct_entity,11,Catalonia Hotels & Resorts,https://app.registromercantil.do/,,registry_lookup_legal_rep,,recPm1YSlOGHe3wKB
