ownerName,priorityTier,icpSegment,strikeList,calaPropertyCount,propertyCount,hasVerifiedContact,primaryContactName,primaryContactEmail,linkedContacts,dealTrigger,countriesSummary,icpClassificationNotes
Conservatorio S.A.,C,individual,false,1,1,false,,,0,independent_unbranded,Panama,individual_single_asset; strike_blocked_icp_segment; strike_blocked_tier; strike_blocked_cala_portfolio; strike_blocked_no_contact; strike_blocked_min_cala_3
Taso Hospitality Panama,A,owner_operator,false,7,7,false,,,0,new_build,Panama,integrated_operator_type; strike_blocked_no_contact
Owner 1: Atom Travel C.A. | Owner 2: Totalia Capital Limited,C,institutional,false,1,1,false,,,0,reflag,Paraguay,institutional_owner_type; strike_blocked_tier; strike_blocked_cala_portfolio; strike_blocked_no_contact; strike_blocked_min_cala_3
Grupo El Dorado,C,individual,false,1,1,false,,,0,none_known,Peru,individual_single_asset; strike_blocked_icp_segment; strike_blocked_tier; strike_blocked_cala_portfolio; strike_blocked_no_contact; strike_blocked_min_cala_3
Le Canton Empreendimentos Hoteleiros Ltda,B,regional_operator,false,1,1,false,,,0,independent_unbranded,Brazil,regional_operator_type; strike_blocked_cala_portfolio; strike_blocked_no_contact; strike_blocked_min_cala_3
Bitter End Yacht Club,C,regional_operator,false,1,1,false,,,0,independent_unbranded,British Virgin Islands,regional_operator_type; strike_blocked_tier; strike_blocked_cala_portfolio; strike_blocked_no_contact; strike_blocked_min_cala_3
Grupo Canel's,A,asset_owner,false,6,6,false,,,0,portfolio_standardization,Mexico,individual_multi_asset; strike_blocked_no_contact
Kali Hoteles,B,owner_operator,false,2,2,false,,,0,independent_unbranded,Mexico,hotel_operator_name; strike_blocked_cala_portfolio; strike_blocked_no_contact; strike_blocked_min_cala_3
Grotto Bay Properties Ltd,B,regional_operator,false,1,1,false,,,0,independent_unbranded,Bermuda,regional_operator_type; strike_blocked_cala_portfolio; strike_blocked_no_contact; strike_blocked_min_cala_3
Joseph Haviv,B,individual,false,1,1,false,,,0,independent_unbranded,Caicos Islands,individual_single_asset; strike_blocked_icp_segment; strike_blocked_cala_portfolio; strike_blocked_no_contact; strike_blocked_min_cala_3
Owner 1: Deloris Stamm | Owner 2: Alan K Stamm,C,regional_operator,false,1,1,false,,,0,independent_unbranded,Belize,regional_operator_type; strike_blocked_tier; strike_blocked_cala_portfolio; strike_blocked_no_contact; strike_blocked_min_cala_3
