action,portfolioKey,recordId,name,status,detail
update,terra-nova,recUF12aRBJxaDdIU,Terra Nova BW Premier Collection,ok,"{""name"":""Terra Nova BW Premier Collection"",""city"":""Kingston"",""country"":""Jamaica"",""Region"":""Caribbean & Latin America"",""Affiliation"":""Best Western Premier Collection"",""status"":[""Open""],""project_phase"":""Open"",""Parent Company"":""Best Western Hotels & Resorts"",""Management Company"":""Hotel Equities (CALA)"",""Operation Type"":""Franchise"",""Chain Scale"":""Upper Midscale Chain"",""Website"":""https://www.terranovajamaica.com/""}"
create,claritas-jaco,recq7PdwcUkBDDRbU,Clarita's Beach Bar & Resort,ok,"{""name"":""Clarita's Beach Bar & Resort"",""city"":""Jacó"",""country"":""Costa Rica"",""Region"":""Caribbean & Latin America"",""Affiliation"":""WorldHotels Elite"",""status"":[""Open""],""project_phase"":""Open"",""Parent Company"":""Wyndham Hotels & Resorts"",""Management Company"":""Hotel Equities (CALA)"",""Operation Type"":""Chain Management"",""Chain Scale"":""Upscale Chain"",""rooms"":63,""projected_open_date"":""2026-07-01"",""Website"":""https://www.hotelequities.com/cala.htm""}"
create,hgi-averanda,recETlBd8ctQnHx4L,Hilton Garden Inn Averanda,ok,"{""name"":""Hilton Garden Inn Averanda"",""city"":""Cuernavaca"",""country"":""Mexico"",""Region"":""Caribbean & Latin America"",""Affiliation"":""Hilton Garden Inn"",""status"":[""Pipeline""],""project_phase"":""In Construction"",""Parent Company"":""Hilton Worldwide"",""Management Company"":""Hotel Equities (CALA)"",""Operation Type"":""Franchise"",""Chain Scale"":""Upscale Chain"",""rooms"":144,""projected_open_date"":""2028-01-01""}"
create,elephant-tree-tobago,recnV6adKBfss0VfR,"Elephant Tree Resort and Villas Tobago, Tapestry Collection by Hilton",ok,"{""name"":""Elephant Tree Resort and Villas Tobago, Tapestry Collection by Hilton"",""city"":""Roxborough"",""country"":""Trinidad and Tobago"",""Region"":""Caribbean & Latin America"",""Affiliation"":""Tapestry Collection by Hilton"",""status"":[""Pipeline""],""project_phase"":""In Construction"",""Parent Company"":""Hilton Worldwide"",""Management Company"":""Hotel Equities (CALA)"",""Operation Type"":""Franchise"",""Chain Scale"":""Upscale Chain"",""rooms"":40,""projected_open_date"":""2028-01-01"",""Website"":""https://www.elephanttreebeachclub.com/""}"
create,one-true-blue,recgeikvPO8zuKTyJ,"ONE True Blue Beach Hotel & Residences, Tapestry Collection by Hilton",ok,"{""name"":""ONE True Blue Beach Hotel & Residences, Tapestry Collection by Hilton"",""city"":""St George's"",""country"":""Grenada"",""Region"":""Caribbean & Latin America"",""Affiliation"":""Tapestry Collection by Hilton"",""status"":[""Pipeline""],""project_phase"":""In Construction"",""Parent Company"":""Hilton Worldwide"",""Management Company"":""Hotel Equities (CALA)"",""Operation Type"":""Franchise"",""Chain Scale"":""Upscale Chain"",""rooms"":70,""projected_open_date"":""2027-01-01"",""Website"":""https://1truebluebeach.com/""}"
create,ceora-curacao,rec8shi9qzHM6fjsf,"Ceòra, a Luxury Collection Resort, Curaçao",ok,"{""name"":""Ceòra, a Luxury Collection Resort, Curaçao"",""city"":""Willemstad"",""country"":""Curaçao"",""Region"":""Caribbean & Latin America"",""Affiliation"":""Luxury Collection"",""status"":[""Pipeline""],""project_phase"":""In Construction"",""Parent Company"":""Marriott International"",""Management Company"":""Hotel Equities (CALA)"",""Operation Type"":""Franchise"",""Chain Scale"":""Luxury Chain"",""Website"":""https://www.hotelequities.com/cala.htm""}"
create,sanctuary-rainforest,recT41S0j01asWiK8,Sanctuary Rainforest Eco Resort and Spa,ok,"{""name"":""Sanctuary Rainforest Eco Resort and Spa"",""city"":""Laudat"",""country"":""Dominica"",""Region"":""Caribbean & Latin America"",""Affiliation"":""Independent"",""status"":[""Pipeline""],""project_phase"":""In Construction"",""Management Company"":""Hotel Equities (CALA)"",""Operation Type"":""Chain Management"",""Chain Scale"":""Independent"",""rooms"":72,""Website"":""https://www.vitaldevelopers.com/sanctuary-rainforest-eco-resort-and-spa/""}"
create,xiwara-las-terrenas,recDtetmqOGsJGcxK,Xiwara Las Terrenas Residential & Resort,ok,"{""name"":""Xiwara Las Terrenas Residential & Resort"",""city"":""El Portillo"",""country"":""Dominican Republic"",""Region"":""Caribbean & Latin America"",""Affiliation"":""Independent"",""status"":[""Pipeline""],""project_phase"":""In Construction"",""Management Company"":""Hotel Equities (CALA)"",""Operation Type"":""Chain Management"",""Chain Scale"":""Independent"",""rooms"":84,""projected_open_date"":""2028-01-01"",""Website"":""https://www.hotelequities.com/cala.htm""}"
create,hgi-san-fernando,recUfg2NwXX3DvDWF,Hilton Garden Inn San Fernando South Park,ok,"{""name"":""Hilton Garden Inn San Fernando South Park"",""city"":""San Fernando"",""country"":""Trinidad and Tobago"",""Region"":""Caribbean & Latin America"",""Affiliation"":""Hilton Garden Inn"",""status"":[""Pipeline""],""project_phase"":""In Construction"",""Parent Company"":""Hilton Worldwide"",""Management Company"":""Hotel Equities (CALA)"",""Operation Type"":""Franchise"",""Chain Scale"":""Upscale Chain"",""rooms"":120,""projected_open_date"":""2028-01-01"",""Website"":""https://www.ttt.live/tt220m-hotel-project-breaks-ground-in-san-fernando-pm-welcomes-major-investment-at-south-park/""}"
create,grenada-national-resort,recdeNV2tBUjf4zr2,Grenada National Resort (Hotel),ok,"{""name"":""Grenada National Resort (Hotel)"",""city"":""Levera"",""country"":""Grenada"",""Region"":""Caribbean & Latin America"",""Affiliation"":""Independent"",""status"":[""Pipeline""],""project_phase"":""In Construction"",""Management Company"":""Hotel Equities (CALA)"",""Operation Type"":""Chain Management"",""Chain Scale"":""Luxury Chain"",""rooms"":500,""projected_open_date"":""2027-01-01"",""Website"":""https://www.hsgrenadaresort.com/grenada-national-resort/""}"
