portfolioKey,recordId,name,status,previousPropertyType,newPropertyType,detail
terra-nova,recUF12aRBJxaDdIU,Terra Nova BW Premier Collection,ok,,Full Service,"All-suite urban hotel with restaurant, bar, and meeting space."
claritas-jaco,recq7PdwcUkBDDRbU,Clarita's Beach Bar & Resort,ok,,Resort,Beachfront resort positioning; WorldHotels Elite Costa Rica.
hgi-averanda,recETlBd8ctQnHx4L,Hilton Garden Inn Averanda,ok,,Select Service,Hilton Garden Inn — select-service brand.
elephant-tree-tobago,recnV6adKBfss0VfR,"Elephant Tree Resort and Villas Tobago, Tapestry Collection by Hilton",ok,,Resort,Beachfront resort with hotel keys and branded residences.
one-true-blue,recgeikvPO8zuKTyJ,"ONE True Blue Beach Hotel & Residences, Tapestry Collection by Hilton",ok,,Resort,Beach hotel and residences; Tapestry resort product.
ceora-curacao,rec8shi9qzHM6fjsf,"Ceòra, a Luxury Collection Resort, Curaçao",ok,,Lifestyle,Marriott Luxury Collection lifestyle resort (pipeline).
sanctuary-rainforest,recT41S0j01asWiK8,Sanctuary Rainforest Eco Resort and Spa,ok,,Resort,Eco resort and spa with villa inventory.
xiwara-las-terrenas,recDtetmqOGsJGcxK,Xiwara Las Terrenas Residential & Resort,ok,,Resort,Mixed-use resort and residential; hotel-suite component.
hgi-san-fernando,recUfg2NwXX3DvDWF,Hilton Garden Inn San Fernando South Park,ok,,Select Service,Hilton Garden Inn — select-service brand.
grenada-national-resort,recdeNV2tBUjf4zr2,Grenada National Resort (Hotel),ok,,Resort,Large-format destination resort (500 hotel suites).
donoma-las-terrenas,recFsXj5d1l3VwxTz,Donoma Las Terrenas Beach Hotel & Spa Autograph Collection,ok,,Lifestyle,Autograph Collection lifestyle beach hotel.
amaris-grace-bay,recGKuT86TJI05QAA,"AMARIS Grace Bay, LXR Hotels & Resorts",ok,,Lifestyle,LXR luxury lifestyle beach resort.
casas-del-xvi,recHBTqnDeXJOc7FZ,Casas Del XVI,ok,,Boutique,Small-format boutique hotel in Zona Colonial.
hampton-st-thomas,recr3DXLHdh09J8mi,Hampton by Hilton St. Thomas,ok,,Select Service,Hampton by Hilton — select-service brand.
hacienda-tres-rios,recscC7og2NEHYfbr,"Hacienda Tres Rios Resort, Spa & Nature Park",ok,,Resort,Riviera Maya nature-park resort (all-inclusive resort product).
