recordId,name,fields
rec0ASKS5YOZBYYnc,"Hilton Garden Inn Lima Miraflores",Year Affiliated
rec0CaettSIncDMg7,"Hilton Garden Inn Queretaro",Year Affiliated
rec0Dy7kkF5Wi8HTD,"Hilton Garden Inn  Merida",Year Affiliated
rec0MLxIzT3tmzOCH,"Hilton Garden Inn Santiago del Estero",Year Affiliated
rec0bJzOb120B2jEc,"DoubleTree by Hilton Bogota Salitre AR",Year Affiliated
rec0fJMjqu1N2aMyL,"Hampton Inn by Hilton San Luis Potosi",Year Affiliated
rec172h7kVbwOoUwD,"Hilton Garden Inn Guanacaste Airport",Year Affiliated
rec1Ri5x70QWk214j,"Hampton by Hilton Inn & Suites Aguascalientes",Year Affiliated
rec2UDYReyg9GnzRF,"Curio Collection by Hilton Villa Mercedes Merida",Year Affiliated
rec2V2gwJBUAKxHNl,"Hilton San Jose La Sabana",Year Affiliated
rec34iQ7sh5NarWcu,"Motto by Hilton Tulum",Year Affiliated
rec3NhNLYI09P1AQp,"Hilton Bogota",Year Affiliated
rec3SDNEVxMCJaBpG,"Hilton Garden Inn Panama City Downtown",Year Affiliated
rec3vrNUkunH7SNJE,"Hilton Vacation Club Royal Palm St. Maarten",Year Affiliated
rec4GHCdHmpcC79jZ,"Hilton Buenos Aires",Year Affiliated
rec4Tk1N3YVhZQu4L,"DoubleTree by Hilton Hotel Mexico City Santa Fe",Year Affiliated
rec4aiFJ2Dr5F6Za7,"Hilton Garden Inn Cusco",Year Affiliated
rec4bSVPjrcRfLaSk,"DoubleTree by Hilton Porto Alegre",Year Affiliated
rec4fpErb1WQoRS8N,"DoubleTree by Hilton Toluca",Year Affiliated
rec562J8v78iMgqzm,"Hampton by Hilton Quito La Carolina Park",Year Affiliated
rec57iPzFuI4WlxX4,"MM Grand Hotel Puebla Tapestry Collection by Hilton",Year Affiliated
rec5SGZRRc8oxXlA4,"Hilton Mexico City Airport",Year Affiliated
rec5ZeC5ePemI0ICJ,"Hampton Inn & Suites San Juan",Year Affiliated
rec638CLFce8kSs5U,"Hilton Garden Inn Barranquilla",Year Affiliated
rec6DU7Vnnwe4o2Dg,"Hilton Guatemala City",Year Affiliated
rec6IKyhTX11kxg85,"DoubleTree by Hilton Guadalajara Centro Historico",Year Affiliated
