action,recordId,ctyhocn,name,fields
updated,rec1eJREGASgjYWsE,HMORSHX,Hampton Inn By Hilton Hermosillo,Amenities; Year Affiliated
updated,rec2OwKL9doDU6wA6,CDJMXHX,Hampton Inn Ciudad Juarez,Amenities; Year Affiliated
updated,rec2czX5DMGw8Ovmt,SLWHAHX,Hampton by Hilton Saltillo,Amenities; Year Affiliated
updated,rec6Lw0WaqlRdayrd,CMEMXHX,Hampton Inn by Hilton Ciudad Del Carmen Campeche,Amenities; Year Affiliated
updated,recAmOOcKJUQGN4Fo,MTYMXHX,Hampton by Hilton Monterrey Tecnologico,Amenities; Year Affiliated
updated,recD5wnt3qKJyCNL1,TRCHAHX,Hampton Inn by Hilton Torreon-Airport Galerias,Amenities; Year Affiliated
updated,recDr3PMYwHOPq6D0,PDSHXHX,Hampton Inn by Hilton Piedras Negras,Amenities; Year Affiliated
updated,recLX8m7rgYH1qeES,AGUPTHX,Hampton Inn & Suites by Hilton Paraiso,Amenities; Year Affiliated
updated,recQZSsoTzMBQEV9u,DGOHXHX,Hampton Inn Durango,Amenities; Year Affiliated
updated,recQuAnkcwSbLUnkG,TIJTOHX,Hampton Inn by Hilton Tijuana,Amenities; Year Affiliated
updated,recUamZuzYMygWAOs,VSATAHX,Hampton Inn Villahermosa,Amenities; Year Affiliated
updated,recay9xFI8MtlYzHh,MIDHXHX,Hampton Inn Merida,Amenities; Year Affiliated
updated,recc9iBzvAiIhqWkp,MTYTVHX,Hampton Inn by Hilton Monterrey-Airport,Amenities; Year Affiliated
updated,recdugEph9J9j3ihS,SJDMXHX,Hampton Inn & Suites by Hilton Los Cabos,Amenities; Year Affiliated
updated,recfAsadhal5KlF7D,MTYTVHX,Hampton Inn by Hilton Monterrey Apodaca,Amenities; Year Affiliated
updated,recgMPbrbOCxL0KBs,PDSHXHX,Hampton Inn by Hilton Piedras Negras,Amenities; Year Affiliated
