brand,brandCode,censusRecordId,censusName,directoryName,ctyhocn,status,headline,primaryDescription
Canopy by Hilton,PY,recZMExPQYHr6kHxO,Canopy by Hilton Cancun La Isla,Canopy by Hilton Cancun La Isla,CUNLIPY,ready,A vibrant stay in Cancun,"Embrace the energy of Cancun with a stay next to La Isla Mall. Our thoughtfully curated hotel offers a vibrant stay just steps from the area's best nightlife, shopping, beach clubs, and more. Relax at our on-site spa and enjoy our rooftop lounge for stunning views of the lagoon, poolside drinks, and live music."
Canopy by Hilton,PY,recQ5SlL6FCVfRa8z,Canopy by Hilton Sao Paulo Jardins,Canopy by Hilton Sao Paulo Jardins,GRUJAPY,ready,A stylish stay in the Jardins district,"Embrace the vibrant energy of São Paulo at our hotel located in the Jardins district. We're within a 20 minute walk of Ibirapuera Park, Paulista Avenue, Oscar Freire Street shops, and museums. We offer complimentary Canopy Bikes and WiFi. Savor authentic Brazilian fare at our all-day restaurant, serving a delicious Saturday feijoada buffet."
Conrad Hotels & Resorts,CH,recHaanBcqWQf53lj,Conrad Punta de Mita,Conrad Punta de Mita,PVRPMCI,ready,A beachfront resort set on the Riviera Nayarit,"Our stylish retreat rests along the Riviera Nayarit. Set amid palm trees, our hotel boasts access to an exclusive beach, three outdoor pools, and accommodations with balconies overlooking the Pacific Ocean. We have a spa, Mexican temazcal, a 24-hour fitness center, tennis and basketball courts, and access to land and water activities."
Conrad Hotels & Resorts,CH,recnePczxISckoGX9,Conrad Tulum Riviera Maya,Conrad Tulum Riviera Maya,CUNCICI,ready,A sanctuary of wonder on the coast of Riviera Maya,"Among the mangroves of the magical Riviera Maya, ancient roots and a future-focused commitment to sustainability blend in a mesmerizing dance. Seek serenity in our spa, and uncover your sense of wonder in Tulum’s masterpieces - from the architectural savvy in nearby ruins, to the cool clarity in underground cenotes."
Curio Collection by Hilton,QQ,rec8e4a1RMy7muxB4,Anselmo Buenos Aires Curio Collection by Hilton,"Anselmo Buenos Aires, Curio Collection by Hilton",BUEBAQQ,ready,A hidden modern jewel at Plaza Dorrego,"Our hotel features a sleek, modern interior design cleverly hidden inside an exterior reflecting San Telmo's historic architecture and cobblestone streets. Plaza Dorrego is just beyond our doorstep, and we're a five-minute walk from many bars and eateries. The Museum of Modern Art is two blocks away."
Curio Collection by Hilton,QQ,recu51JABui6zulIr,Botanika Osa Peninsula Resort Curio Collection by Hilton,"Botanika Osa Peninsula Costa Rica Resort, Curio Collection by Hilton",PJMCRQQ,ready,An explorer’s paradise along Golfo Dulce,"Find us where Costa Rica's unspoiled rainforest meets the ocean. Our resort features studio and multi-room suites for a comfortable escape. Enjoy hiking in Corcovado National Park, ziplining, sport fishing, and eco-adventures like our sloth and chocolate farm tours. We offer pools, a wellness spa, and access to Cahui Beach Club at Preciosa Beach."
Curio Collection by Hilton,QQ,rectoi6KxnMR0guvX,Gran Hotel Costa Rica Curio Collection by Hilton,"Gran Hotel Costa Rica, Curio Collection by Hilton",SJOCUQQ,ready,Historic charm in the heart of San Jose,"Our 1930’s building, a historical-architectural monument of Costa Rica, features contemporary urban interiors. We’re located on the Avenida Central pedestrian boulevard, steps from the National Theatre, Gold Museum, cafés, and shops. We have a fitness center and piano bar. Our staff is on-hand with recommendations to help you live like a local."
Curio Collection by Hilton,QQ,recJWTzga4iCeOwia,Curio Collection by Hilton Harbor Club St Lucia,"Harbor Club St. Lucia, Curio Collection by Hilton",SLUHCQQ,ready,Tropical beauty and maritime charm in St. Lucia,"Experience a taste of the island lifestyle at Harbor Club St. Lucia, Curio Collection by Hilton. Set in the Gros Islet quarter on the northwest coast, our Caribbean resort provides a laid-back getaway near some of the island’s top beaches, attractions, and nightlife."
Curio Collection by Hilton,QQ,recYdFCf6D1LfvkLh,Hotel Santiago Curio Collection by Hilton,"Hotel Santiago, Curio Collection by Hilton",STISAQQ,ready,Mountain views next to Agora Mall,"Find us in downtown Santiago, adjacent to Agora Mall. The Monument to the Heroes of the Restoration and the Santiago Apostol Cathedral are each within a 10-minute drive. We offer a 24-hour fitness center, event space, and an outdoor pool with hammocks. Enjoy our cigar lounge, pool bar, and restaurant."
Curio Collection by Hilton,QQ,recz4rePhwtGzaTzr,Hualta Hotel Mendoza Curio Collection by Hilton,"Hualta Hotel Mendoza, Curio Collection by Hilton",MDZAHQQ,ready,Central location near wineries and shops,"We’re a block from San Martin Ave., surrounded by shops and restaurants. Parque General San Martin and Mendoza Plaza Shopping are both less than a 15-minute drive. Several wineries are within 30 minutes of us, including Bodega Tierras Altas. Plumerillo International Airport MDZ is 10 km away. Enjoy our restaurant and meeting space."
