applyStatus,censusRecordId,censusName,directoryBrandPropertyCode,matchConfidence,appliedFieldCount
ok,rec4NKyjfJZBOZkYu,"Mahogany Bay Resort & Beach Club, Curio Collection by Hilton",TZAMBQQ,high,1
ok,recTjYJPhwL821Sxl,Mahogany Bay Resort & Beach Club Curio Collection by Hilton,TULTCQQ,high,1
ok,recAqIScZSS3ODiLy,Hampton by Hilton Guanacaste Airport,ALCORHX,high,2
ok,reco6uZTYF8hdpjjJ,Hampton by Hilton Panama,MANUBHX,high,1
ok,recAmOOcKJUQGN4Fo,Hampton by Hilton Monterrey Tecnologico,BLKPLHX,high,5
ok,recqYSyQtGP2bCxG7,Hampton Inn by Hilton San Juan Hato Rey,YXHMHHX,high,5
ok,recDr3PMYwHOPq6D0,Hampton Inn by Hilton Piedras Negras,LNKDTHX,high,5
ok,recK9uYKwUdM8hEVR,Hampton Inn by Hilton Nuevo Vallarta,MHKGIHX,high,1
ok,recstmPTvHzDCYdCY,Hilton Garden Inn Guadalajara Airport,GDLAPGI,high,4
ok,recvRQ6pgTaVqXr6y,Hilton Garden Inn San Jose Airport City Mall,MKCARGI,high,1
ok,recXn9OjqYwHfWBou,Hilton Garden Inn La Romana,LRMLMGI,high,3
ok,recYNB1AtH9Ebd641,Motto by Hilton Cusco,XNABDUA,high,1
ok,recdorwekj2x6vT8s,Motto by Hilton Cusco,CUZINUA,high,2
ok,recK728FXwgDn4N0e,Motto by Hilton Lima Miraflores,BNAIRUA,high,5
ok,recK05OT2w10IJNpK,"Heredia Stadium Hotel, Tapestry Collection by Hilton",SYQMHUP,high,3
ok,recUCjevWreNAb1eW,Tru by Hilton Cali Sur,DSMSMRU,high,3
ok,recXxX3Lpml1MSRic,Tru by Hilton Cali Sur,CLOUDRU,high,2
