brand,brandCode,status,censusRecordId,censusName,directoryName,directoryBrandPropertyCode,matchConfidence,matchScore,fieldsToApply
Canopy by Hilton,PY,unmatched_directory,,,Canopy by Hilton Atlanta Midtown,ATLMWPY,none,41,
Canopy by Hilton,PY,unmatched_directory,,,Canopy by Hilton Austin Downtown,AUSSKPY,none,41,
Canopy by Hilton,PY,unmatched_directory,,,Canopy by Hilton Baltimore Harbor Point,BWIHPPY,none,38,
Canopy by Hilton,PY,unmatched_directory,,,Canopy by Hilton Bangkok Sukhumvit,BKKTHPY,none,41,
Canopy by Hilton,PY,unmatched_directory,,,Canopy by Hilton Boston Downtown,BOSTNPY,none,41,
Canopy by Hilton,PY,no_changes,recZMExPQYHr6kHxO,Canopy by Hilton Cancun La Isla,Canopy by Hilton Cancun La Isla,CUNLIPY,high,98,
Canopy by Hilton,PY,unmatched_directory,,,Canopy by Hilton Cannes,CEQCFPY,none,44,
Canopy by Hilton,PY,unmatched_directory,,,Canopy by Hilton Cape Town Longkloof,CPTLOPY,none,38,
Canopy by Hilton,PY,unmatched_directory,,,Canopy by Hilton Charlotte Southpark,CLTPYPY,none,41,
Canopy by Hilton,PY,unmatched_directory,,,Canopy by Hilton Chengdu City Centre,CTULCPY,none,38,
Canopy by Hilton,PY,unmatched_directory,,,Canopy by Hilton Chicago Central Loop,CHIJBPY,none,38,
Canopy by Hilton,PY,unmatched_directory,,,Canopy By Hilton Columbus Downtown Short North,CMHPYPY,none,37,
Canopy by Hilton,PY,unmatched_directory,,,Canopy by Hilton Dallas Frisco Station,DFWFSPY,none,38,
Canopy by Hilton,PY,unmatched_directory,,,Canopy by Hilton Dallas Uptown,DFWRMPY,none,41,
Canopy by Hilton,PY,unmatched_directory,,,Canopy by Hilton Deer Valley,SLCVEPY,none,41,
Canopy by Hilton,PY,unmatched_directory,,,Canopy by Hilton Dubai Al Seef,DXBSEPY,none,38,
Canopy by Hilton,PY,unmatched_directory,,,Canopy by Hilton Grand Rapids Downtown,GRRGRPY,none,38,
Canopy by Hilton,PY,unmatched_directory,,,Canopy by Hilton Hangzhou Jinsha Lake,HGHPYPY,none,38,
Canopy by Hilton,PY,unmatched_directory,,,Canopy by Hilton Hangzhou West Lake,HGHWLPY,none,38,
Canopy by Hilton,PY,unmatched_directory,,,Canopy by Hilton Istanbul Taksim,ISTTKPY,none,41,
Canopy by Hilton,PY,unmatched_directory,,,Canopy by Hilton Ithaca Downtown,ITHSSPY,none,41,
Canopy by Hilton,PY,unmatched_directory,,,Canopy by Hilton Izmir Bomonti,IZMIRPY,none,41,
Canopy by Hilton,PY,unmatched_directory,,,Canopy by Hilton Jersey City Arts District,EWRADPY,none,37,
Canopy by Hilton,PY,unmatched_directory,,,Canopy by Hilton London City,LONPYPY,none,41,
Canopy by Hilton,PY,unmatched_directory,,,Canopy by Hilton Madrid Castellana,MADESPY,none,41,
Canopy by Hilton,PY,unmatched_directory,,,Canopy by Hilton Memphis Downtown Beale Street,MEMCDPY,none,37,
Canopy by Hilton,PY,unmatched_directory,,,Canopy by Hilton Milan Duomo,LINMNPY,none,41,
Canopy by Hilton,PY,unmatched_directory,,,Canopy by Hilton Minneapolis Mill District,MSPMIPY,none,38,
Canopy by Hilton,PY,unmatched_directory,,,Canopy by Hilton Nashville Downtown The Gulch,BNAGLPY,none,37,
Canopy by Hilton,PY,unmatched_directory,,,Canopy by Hilton New Orleans Downtown,MSYPYPY,none,38,
Canopy by Hilton,PY,unmatched_directory,,,Canopy by Hilton New York City 34th Street,NYCPYPY,none,35,
Canopy by Hilton,PY,unmatched_directory,,,Canopy by Hilton Okinawa Miyako Island Resort,OKAPYPY,none,37,
Canopy by Hilton,PY,unmatched_directory,,,Canopy by Hilton Osaka Umeda,OSAPYPY,none,41,
Canopy by Hilton,PY,unmatched_directory,,,Canopy by Hilton Paris Eiffel Tower,PARPYPY,none,38,
Canopy by Hilton,PY,unmatched_directory,,,Canopy by Hilton Philadelphia Center City,PHLOPPY,none,38,
Canopy by Hilton,PY,unmatched_directory,,,Canopy by Hilton Portland Waterfront,PWMOPPY,none,41,
Canopy by Hilton,PY,unmatched_directory,,,Canopy by Hilton Reykjavik City Centre,REKCAPY,none,38,
Canopy by Hilton,PY,unmatched_directory,,,Canopy by Hilton San Antonio Riverwalk,SATPYPY,none,38,
Canopy by Hilton,PY,no_changes,recQ5SlL6FCVfRa8z,Canopy by Hilton Sao Paulo Jardins,Canopy by Hilton Sao Paulo Jardins,GRUJAPY,high,98,
Canopy by Hilton,PY,unmatched_directory,,,Canopy by Hilton Scottsdale Old Town,PHXOTPY,none,38,
Canopy by Hilton,PY,unmatched_directory,,,Canopy by Hilton Seychelles Resort,SEZMAPY,none,41,
Canopy by Hilton,PY,unmatched_directory,,,Canopy by Hilton Shanghai Belfry Plaza,SHABPPY,none,38,
Canopy by Hilton,PY,unmatched_directory,,,Canopy by Hilton Sioux Falls Downtown,FSDLAPY,none,38,
Canopy by Hilton,PY,unmatched_directory,,,Canopy by Hilton Tempe Downtown,PHXTYPY,none,41,
Canopy by Hilton,PY,unmatched_directory,,,Canopy by Hilton Toronto Yorkville,YTZPYPY,none,41,
Canopy by Hilton,PY,unmatched_directory,,,Canopy by Hilton Warsaw,WAWARPY,none,44,
Canopy by Hilton,PY,unmatched_directory,,,Canopy by Hilton Washington DC Bethesda North,DCABNPY,none,37,
Canopy by Hilton,PY,unmatched_directory,,,Canopy by Hilton Washington DC Embassy Row,DCAEMPY,none,37,
Canopy by Hilton,PY,unmatched_directory,,,Canopy by Hilton Washington DC The Wharf,DCACUPY,none,37,
Canopy by Hilton,PY,unmatched_directory,,,Canopy by Hilton West Palm Beach Downtown,PBICPPY,none,37,
Canopy by Hilton,PY,unmatched_directory,,,Canopy by Hilton Xi'an Qujiang,XIYPYPY,none,41,
Canopy by Hilton,PY,unmatched_directory,,,Canopy by Hilton Zagreb City Centre,ZAGZCPY,none,38,
Conrad Hotels & Resorts,CH,unmatched_directory,,,Conrad Abu Dhabi Etihad Towers,AUHETCI,none,27,
Conrad Hotels & Resorts,CH,unmatched_directory,,,Conrad Algarve,FAOAPCI,none,31,
Conrad Hotels & Resorts,CH,unmatched_directory,,,Conrad Altay Hemu,AATCICI,none,29,
Conrad Hotels & Resorts,CH,unmatched_directory,,,Conrad Athens The Ilisian,ATHGRCI,none,28,
