status,censusRecordId,censusName,directoryName,directoryBrandPropertyCode,matchConfidence,matchScore,matchReason,fieldsToApply,sourceUrl
unmatched_directory,,,"100 Queen's Gate Hotel London Kensington, Curio Collection by Hilton",LONLKQQ,none,45,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/united-kingdom/curio-collection/
unmatched_directory,,,"Adia Aluma Athens, Curio Collection by Hilton",ATHADQQ,none,48,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/greece/curio-collection/
unmatched_directory,,,"Al Seef Heritage Hotel Dubai, Curio Collection by Hilton",DXBASQQ,none,48,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/uae/curio-collection/
unmatched_directory,,,"Aleph Doha Residences, Curio Collection by Hilton",DOHARQQ,none,48,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/qatar/curio-collection/
unmatched_directory,,,"Aleph Rome Hotel, Curio Collection by Hilton",FCOAHQQ,none,48,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/italy/curio-collection/
unmatched_directory,,,"Alexandra Barcelona Hotel, Curio Collection by Hilton",BCNMAQQ,none,48,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/spain/curio-collection/
unmatched_directory,,,"AlRayyan Hotel Doha, Curio Collection by Hilton",DOHMOQQ,none,54,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/qatar/curio-collection/
unmatched_directory,,,"Altunizade Suites Istanbul, Curio Collection by Hilton",ISTERQQ,none,48,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/turkiye/curio-collection/
unmatched_directory,,,"Amare Cancun Adults Only All-Inclusive Resort, Curio by Hilton",CUNAAQQ,none,45,No assignment above medium confidence (best: Below match threshold; website host match),,https://www.hilton.com/en/locations/mexico/curio-collection/
unmatched_directory,,,"Anglo American Hotel Florence, Curio Collection by Hilton",FLRORQQ,none,51,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/italy/curio-collection/
unmatched_directory,,,"Anor and Saffron Tashkent, Curio Collection by Hilton",TASTTQQ,none,44,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/uzbekistan/curio-collection/
no_changes,rec8e4a1RMy7muxB4,Anselmo Buenos Aires Curio Collection by Hilton,"Anselmo Buenos Aires, Curio Collection by Hilton",BUEBAQQ,high,98,ctyhocn in census Website URL,,https://www.hilton.com/en/hotels/buebaqq-anselmo-buenos-aires/
