status,censusRecordId,censusName,directoryName,directoryBrandPropertyCode,matchConfidence,matchScore,matchReason,fieldsToApply,sourceUrl
unmatched_directory,,,"Chateau on the Park - Christchurch, a DoubleTree by Hilton",CHCNZDI,none,38,No assignment above medium confidence (best: Below match threshold; website host match),,https://www.hilton.com/en/locations/new-zealand/doubletree-by-hilton/
unmatched_directory,,,DoubleTree by Hilton A Coruna,LCGACDI,none,53,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/spain/doubletree-by-hilton/
unmatched_directory,,,DoubleTree by Hilton Abu Dhabi Yas Island Residences,AUHYRDI,none,38,No assignment above medium confidence (best: Below match threshold; website host match),,https://www.hilton.com/en/locations/uae/doubletree-by-hilton/
unmatched_directory,,,DoubleTree by Hilton Adana,ADADIDI,none,53,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/turkiye/doubletree-by-hilton/
unmatched_directory,,,DoubleTree by Hilton Addis Ababa Airport,ADDAADI,none,44,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/ethiopia/doubletree-by-hilton/
unmatched_directory,,,DoubleTree by Hilton Afyonkarahisar,KRZDTDI,none,53,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/turkiye/doubletree-by-hilton/
unmatched_directory,,,DoubleTree by Hilton Ahmedabad,AMDDIDI,none,53,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/india/doubletree-by-hilton/
unmatched_directory,,,DoubleTree by Hilton Almaty,ALADTDI,none,53,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/kazakhstan/doubletree-by-hilton/
unmatched_directory,,,DoubleTree by Hilton Amman Hotel & Residences,AMMADDI,none,51,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/jordan/doubletree-by-hilton/
unmatched_directory,,,DoubleTree by Hilton Amsterdam - NDSM Wharf,AMSADDI,none,44,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/netherlands/doubletree-by-hilton/
unmatched_directory,,,DoubleTree by Hilton Amsterdam Centraal Station,AMSCSDI,none,44,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/netherlands/doubletree-by-hilton/
unmatched_directory,,,DoubleTree by Hilton Ankara Ankamall,ANKDTDI,none,48,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/turkiye/doubletree-by-hilton/
unmatched_directory,,,DoubleTree by Hilton Ankara Incek,ANKCKDI,none,48,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/turkiye/doubletree-by-hilton/
unmatched_directory,,,DoubleTree by Hilton Anshan,AOGCNDI,none,53,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/china/doubletree-by-hilton/
unmatched_directory,,,DoubleTree by Hilton Antalya City Centre,AYTCCDI,none,44,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/turkiye/doubletree-by-hilton/
unmatched_directory,,,DoubleTree by Hilton Antalya-Kemer All-Inclusive Resort,AYTAKDI,none,44,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/turkiye/doubletree-by-hilton/
unmatched_directory,,,DoubleTree by Hilton Aqaba,AQJDTDI,none,53,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/jordan/doubletree-by-hilton/
unmatched_directory,,,DoubleTree by Hilton Auckland Albert Street,AKLASDI,none,44,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/new-zealand/doubletree-by-hilton/
unmatched_directory,,,DoubleTree by Hilton Auckland Karaka,AKLKADI,none,48,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/new-zealand/doubletree-by-hilton/
unmatched_directory,,,DoubleTree by Hilton Avanos - Cappadocia,NAVDTDI,none,48,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/turkiye/doubletree-by-hilton/
unmatched_directory,,,DoubleTree by Hilton Bangkok Ploenchit,BKKSODI,none,48,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/thailand/doubletree-by-hilton/
unmatched_directory,,,DoubleTree by Hilton Baoding,BVNDIDI,none,53,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/china/doubletree-by-hilton/
unmatched_directory,,,DoubleTree by Hilton Bath,BATHNDI,none,53,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/doubletree-by-hilton/
unmatched_directory,,,DoubleTree by Hilton Beijing Badaling,BJSBDDI,none,48,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/china/doubletree-by-hilton/
unmatched_directory,,,DoubleTree by Hilton Beijing East Third Ring Road,BJSETDI,none,38,No assignment above medium confidence (best: Below match threshold; website host match),,https://www.hilton.com/en/locations/china/doubletree-by-hilton/
unmatched_directory,,,DoubleTree by Hilton Belfast City Ten Square,BFSBFDI,none,41,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/united-kingdom/doubletree-by-hilton/
unmatched_directory,,,DoubleTree by Hilton Ben Guerir Hotel & Residences,RAKEDDI,none,48,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/morocco/doubletree-by-hilton/
unmatched_directory,,,DoubleTree by Hilton Bengaluru Airport,BLRBUDI,none,48,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/india/doubletree-by-hilton/
unmatched_directory,,,DoubleTree by Hilton Bengaluru Whitefield,BLRKUDI,none,48,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/india/doubletree-by-hilton/
unmatched_directory,,,DoubleTree by Hilton Berlin Ku'damm,BERDIDI,none,48,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/germany/doubletree-by-hilton/
unmatched_directory,,,DoubleTree By Hilton Bogota Calle 100,BOGEDDT,none,69,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/colombia/doubletree-by-hilton/
