status,censusRecordId,censusName,directoryName,directoryBrandPropertyCode,matchConfidence,matchScore,matchReason,fieldsToApply,sourceUrl
unmatched_directory,,,Embassy Suites by Hilton Amarillo Downtown,AMADOES,none,48,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/usa/embassy-suites/
no_changes,recM0yKCzuvWNXEIo,Embassy Suites by Hilton Aruba Resort,Embassy Suites by Hilton Aruba Resort,AUAJMES,high,98,ctyhocn in census Website URL,,https://www.hilton.com/en/hotels/auajmes-embassy-suites-aruba-resort/
unmatched_directory,,,Embassy Suites by Hilton Berkeley Heights,EWRBEES,none,48,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/embassy-suites/
no_changes,recK7HUdZD07gIqMF,Embassy Suites by Hilton Bogota Rosales,Embassy Suites by Hilton Bogotá Rosales,BOGESES,high,98,ctyhocn in census Website URL,,https://www.hilton.com/en/hotels/bogeses-embassy-suites-bogota-rosales/
unmatched_directory,,,Embassy Suites by Hilton Boston at Logan Airport,BOSAPES,none,42,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/embassy-suites/
unmatched_directory,,,Embassy Suites by Hilton Boston Marlborough,BOSMAES,none,48,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/embassy-suites/
unmatched_directory,,,Embassy Suites by Hilton Boston Waltham,BOSWSES,none,48,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/embassy-suites/
unmatched_directory,,,Embassy Suites by Hilton Boulder,DENBOES,none,51,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/usa/embassy-suites/
unmatched_directory,,,Embassy Suites by Hilton Colorado Springs,COSCCES,none,48,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/usa/embassy-suites/
unmatched_directory,,,Embassy Suites by Hilton Denver Central Park,DENARES,none,44,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/usa/embassy-suites/
unmatched_directory,,,Embassy Suites by Hilton Denver Downtown Convention Center,DENESES,none,42,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/usa/embassy-suites/
unmatched_directory,,,Embassy Suites by Hilton Denver International Airport,DENIAES,none,44,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/usa/embassy-suites/
unmatched_directory,,,Embassy Suites by Hilton Denver Tech Center,DENTCES,none,44,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/usa/embassy-suites/
unmatched_directory,,,Embassy Suites by Hilton Des Moines Downtown,DSMDNES,none,44,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/usa/embassy-suites/
unmatched_directory,,,Embassy Suites by Hilton Doha Old Town,DOHEMES,none,44,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/qatar/embassy-suites/
no_changes,recO0tYz62oDVOjW4,Embassy Suites by Hilton Dorado Del Mar Beach Resort,Embassy Suites by Hilton Dorado del Mar Beach Resort,DORPRES,high,98,ctyhocn in census Website URL,,https://www.hilton.com/en/hotels/dorpres-embassy-suites-dorado-del-mar-beach-resort/
unmatched_directory,,,Embassy Suites by Hilton Dubai Business Bay,DXBAIES,none,44,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/uae/embassy-suites/
unmatched_directory,,,Embassy Suites by Hilton Hampton Convention Center,PHFCCES,none,44,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/embassy-suites/
unmatched_directory,,,Embassy Suites by Hilton Kansas City International Airport,MKCPDES,none,42,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/usa/embassy-suites/
unmatched_directory,,,Embassy Suites by Hilton Kansas City Olathe,MCIKOES,none,44,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/usa/embassy-suites/
unmatched_directory,,,Embassy Suites by Hilton Kansas City Overland Park,MKCMCES,none,42,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/usa/embassy-suites/
unmatched_directory,,,Embassy Suites by Hilton Lincoln,LNKESES,none,51,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/usa/embassy-suites/
unmatched_directory,,,Embassy Suites by Hilton Loveland Conference Center,FNLESES,none,44,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/usa/embassy-suites/
unmatched_directory,,,Embassy Suites by Hilton Montreal,YULDNES,none,51,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/canada/embassy-suites/
unmatched_directory,,,Embassy Suites by Hilton Montreal Airport,YULESES,none,48,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/canada/embassy-suites/
unmatched_directory,,,Embassy Suites by Hilton New York Manhattan Times Square,NYCMIES,none,40,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/embassy-suites/
unmatched_directory,,,Embassy Suites by Hilton Newark Airport,EWRELES,none,48,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/embassy-suites/
unmatched_directory,,,Embassy Suites by Hilton Newark Wilmington South,NEWDEES,none,44,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/embassy-suites/
unmatched_directory,,,Embassy Suites by Hilton Norman Hotel & Conference Center,OKCESES,none,45,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/usa/embassy-suites/
unmatched_directory,,,Embassy Suites by Hilton Oklahoma City Downtown Medical Center,OKCOKES,none,40,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/usa/embassy-suites/
unmatched_directory,,,Embassy Suites by Hilton Oklahoma City Northwest,OKCONES,none,44,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/usa/embassy-suites/
unmatched_directory,,,Embassy Suites by Hilton Oklahoma City Will Rogers Airport,OKCMRES,none,40,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/usa/embassy-suites/
unmatched_directory,,,Embassy Suites by Hilton Omaha Downtown Old Market,OMADTES,none,42,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/usa/embassy-suites/
unmatched_directory,,,Embassy Suites by Hilton Omaha La Vista Hotel & Conference Center,OMAESES,none,41,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/usa/embassy-suites/
unmatched_directory,,,Embassy Suites by Hilton Parsippany,PRNNJES,none,51,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/embassy-suites/
unmatched_directory,,,Embassy Suites by Hilton Philadelphia Airport,PHLAPES,none,48,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/embassy-suites/
unmatched_directory,,,Embassy Suites by Hilton Philadelphia Valley Forge,PHLVLES,none,44,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/embassy-suites/
unmatched_directory,,,Embassy Suites by Hilton Piscataway Somerset,PISNJES,none,48,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/embassy-suites/
unmatched_directory,,,Embassy Suites by Hilton Portland Maine,PWMAPES,none,48,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/embassy-suites/
no_changes,recLQoyNuoJL6CbjB,Embassy Suites by Hilton San Juan Hotel & Casino,Embassy Suites by Hilton San Juan Hotel & Casino,SJUESES,high,98,ctyhocn in census Website URL,,https://www.hilton.com/en/hotels/sjueses-embassy-suites-san-juan-hotel-and-casino/
no_changes,recuzI4Vhe1Mu1pjQ,Embassy Suites by Hilton Santo Domingo,Embassy Suites by Hilton Santo Domingo,SDQSDES,high,98,ctyhocn in census Website URL,,https://www.hilton.com/en/hotels/sdqsdes-embassy-suites-santo-domingo/
unmatched_directory,,,Embassy Suites by Hilton Saratoga Springs,ALBESES,none,48,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/embassy-suites/
