status,censusRecordId,censusName,directoryName,directoryBrandPropertyCode,matchConfidence,matchScore,matchReason,fieldsToApply,sourceUrl
unmatched_directory,,,Hampton by Hilton Aachen Tivoli,AAHHXHX,none,48,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/germany/hampton-by-hilton/
unmatched_directory,,,Hampton by Hilton Accra Airport,ACCHAHX,none,57,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/ghana/hampton-by-hilton/
no_changes,recAvnmqhNiLe9Dje,Hampton by Hilton Aquascalientes Downtown,Hampton by Hilton Aguascalientes Downtown,AGUMXHX,high,98,ctyhocn in census Website URL,,https://www.hilton.com/en/hotels/agumxhx-hampton-aguascalientes-downtown/
unmatched_directory,,,Hampton by Hilton Alcobendas Madrid,MCVHXHX,none,48,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/spain/hampton-by-hilton/
no_changes,recAqIScZSS3ODiLy,Hampton by Hilton Guanacaste Airport,Hampton by Hilton Alicante Airport,ALCORHX,high,72,"Website host + name similarity; website host match, phone match",,https://www.hilton.com/en/hotels/alcorhx-hampton-alicante-airport/
unmatched_directory,,,Hampton by Hilton Amritsar Heritage Street,ATQGMHX,none,44,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/india/hampton-by-hilton/
unmatched_directory,,,Hampton by Hilton Amsterdam / Arena Boulevard,AMSZUHX,none,44,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/netherlands/hampton-by-hilton/
unmatched_directory,,,Hampton by Hilton Amsterdam Airport Schiphol,AMSAAHX,none,51,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/netherlands/hampton-by-hilton/
unmatched_directory,,,Hampton by Hilton Amsterdam Centre East,AMSHXHX,none,44,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/netherlands/hampton-by-hilton/
unmatched_directory,,,Hampton by Hilton Antalya Airport,AYTAAHX,none,57,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/turkiye/hampton-by-hilton/
no_changes,recns9k9Wnvl3gHNU,Hampton by Hilton Antofagasta,Hampton by Hilton Antofagasta,ANFACHX,high,98,ctyhocn in census Website URL,,https://www.hilton.com/en/hotels/anfachx-hampton-antofagasta/
unmatched_directory,,,Hampton by Hilton Antwerp Central Station,ANRCSHX,none,44,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/belgium/hampton-by-hilton/
no_changes,recjVB7A0jclbqsis,Hampton by Hilton Arequipa,Hampton by Hilton Arequipa,AQPPEHX,high,98,ctyhocn in census Website URL,,https://www.hilton.com/en/hotels/aqppehx-hampton-arequipa/
unmatched_directory,,,Hampton by Hilton Astana Triumphal Arch,TSEKZHX,none,44,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/kazakhstan/hampton-by-hilton/
unmatched_directory,,,Hampton by Hilton Barcelona Fira Gran Via,BCNGVHX,none,41,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/spain/hampton-by-hilton/
no_changes,recUpdB7gyQPf7Ncp,Hampton by Hilton Bariloche,Hampton by Hilton Bariloche,BRCHXHX,high,98,ctyhocn in census Website URL,,https://www.hilton.com/en/hotels/brchxhx-hampton-bariloche/
no_changes,recTh8yjp8TKdigcP,Hampton by Hilton Barranquilla,Hampton by Hilton Barranquilla,BAQHXHX,high,98,ctyhocn in census Website URL,,https://www.hilton.com/en/hotels/baqhxhx-hampton-barranquilla/
unmatched_directory,,,Hampton by Hilton Batumi Center,BUSBYHX,none,48,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/georgia/hampton-by-hilton/
unmatched_directory,,,Hampton by Hilton Beijing Bird's Nest,PEKANHX,none,44,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/china/hampton-by-hilton/
unmatched_directory,,,Hampton by Hilton Beijing Capital Airport CIECC,BJSPCHX,none,48,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/china/hampton-by-hilton/
unmatched_directory,,,Hampton by Hilton Beijing Changping,PEKINHX,none,48,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/china/hampton-by-hilton/
unmatched_directory,,,Hampton by Hilton Beijing CIEC New Venue,NAYNAHX,none,41,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/china/hampton-by-hilton/
unmatched_directory,,,Hampton by Hilton Beijing Communication Univ of China Station,BJSUCHX,none,37,No assignment above medium confidence (best: Below match threshold; website host match),,https://www.hilton.com/en/locations/china/hampton-by-hilton/
unmatched_directory,,,Hampton by Hilton Beijing Conference Center,BJSIGHX,none,44,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/china/hampton-by-hilton/
unmatched_directory,,,Hampton by Hilton Beijing Daxing BioPark,NAYARHX,none,44,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/china/hampton-by-hilton/
unmatched_directory,,,Hampton by Hilton Beijing Daxing World Flower Plaza,BJSPAHX,none,38,No assignment above medium confidence (best: Below match threshold; website host match),,https://www.hilton.com/en/locations/china/hampton-by-hilton/
unmatched_directory,,,Hampton by Hilton Beijing Fangshan,BJSFHHX,none,48,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/china/hampton-by-hilton/
unmatched_directory,,,Hampton by Hilton Beijing Guomao CBD,NAYJIHX,none,44,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/china/hampton-by-hilton/
unmatched_directory,,,Hampton by Hilton Beijing Shahe Higher Education Park,BJSSMHX,none,40,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/china/hampton-by-hilton/
unmatched_directory,,,Hampton by Hilton Beijing Shijingshan Amusement Park,BJSWSHX,none,42,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/china/hampton-by-hilton/
unmatched_directory,,,Hampton by Hilton Beijing South Railway Station,BJSSSHX,none,41,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/china/hampton-by-hilton/
unmatched_directory,,,Hampton by Hilton Beijing Wangjing,PEKWAHX,none,48,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/china/hampton-by-hilton/
unmatched_directory,,,Hampton by Hilton Beijing West Railway Station Lize Business District,PEKLXHX,none,35,No assignment above medium confidence (best: Below match threshold; website host match),,https://www.hilton.com/en/locations/china/hampton-by-hilton/
unmatched_directory,,,Hampton by Hilton Beijing Wuzi Xueyuan Road,BJSWXHX,none,41,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/china/hampton-by-hilton/
unmatched_directory,,,Hampton by Hilton Beijing Yizhuang Economic Development Area,BJSONHX,none,38,No assignment above medium confidence (best: Below match threshold; website host match),,https://www.hilton.com/en/locations/china/hampton-by-hilton/
unmatched_directory,,,Hampton by Hilton Beijing Yizhuang New Town Industrial Park,PEKAAHX,none,40,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/china/hampton-by-hilton/
unmatched_directory,,,Hampton by Hilton Beijing Yunhe Business District,PEKBXHX,none,41,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/china/hampton-by-hilton/
unmatched_directory,,,Hampton by Hilton Beijing Zhongguancun Software Park,BJSBEHX,none,42,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/china/hampton-by-hilton/
unmatched_directory,,,Hampton by Hilton Ben Guerir,RAKMOHX,none,48,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/morocco/hampton-by-hilton/
unmatched_directory,,,Hampton by Hilton Berlin City Centre Alexanderplatz,BERHXHX,none,44,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/germany/hampton-by-hilton/
unmatched_directory,,,Hampton by Hilton Berlin City East Side Gallery,BERMUHX,none,42,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/germany/hampton-by-hilton/
no_changes,recrHckQP55XZ9T9G,Hampton Inn by Hilton Chihuahua City,Hampton by Hilton Berlin City West,TXLBCHX,high,48,Website host + name similarity; website host match,,https://www.hilton.com/en/hotels/txlbchx-hampton-berlin-city-west/
no_changes,rec2czX5DMGw8Ovmt,Hampton by Hilton Saltillo,Hampton by Hilton Bialystok,WMIBIHX,high,53,Website host + name similarity; website host match,,https://www.hilton.com/en/hotels/wmibihx-hampton-bialystok/
unmatched_directory,,,Hampton by Hilton Birmingham Broad Street,BHXBSHX,none,44,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/united-kingdom/hampton-by-hilton/
unmatched_directory,,,Hampton by Hilton Birmingham Jewellery Quarter,BHXBNHX,none,44,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/united-kingdom/hampton-by-hilton/
