status,censusRecordId,censusName,directoryName,directoryBrandPropertyCode,matchConfidence,matchScore,matchReason,fieldsToApply,sourceUrl
unmatched_directory,,,Accom Hotel Sivas,VASSVGI,none,20,No assignment above medium confidence (best: Below match threshold; website host match),,https://www.hilton.com/en/locations/turkiye/hilton-garden-inn/
unmatched_directory,,,Anook Edition Seoul Dongdaemun,SELDOGI,none,20,No assignment above medium confidence (best: Below match threshold; website host match),,https://www.hilton.com/en/locations/south-korea/hilton-garden-inn/
unmatched_directory,,,Anook Edition Seoul Eunpyeong,SELEUGI,none,20,No assignment above medium confidence (best: Below match threshold; website host match),,https://www.hilton.com/en/locations/south-korea/hilton-garden-inn/
unmatched_directory,,,Hilton Garden Inn Abingdon Oxford,GLOABGI,none,48,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/united-kingdom/hilton-garden-inn/
no_changes,recHyaG9te4fPpluU,Hilton Garden Inn Sao Paulo Reboucas,Hilton Garden Inn Agdam,GNJPFGI,high,44,Website host + name similarity; website host match,,https://www.hilton.com/en/hotels/gnjpfgi-hilton-garden-inn-agdam/
no_changes,recysCtTLGnftfwni,Hilton Garden Inn Aguascalientes,Hilton Garden Inn Aguascalientes,AGUGIGI,high,98,ctyhocn in census Website URL,,https://www.hilton.com/en/hotels/agugigi-hilton-garden-inn-aguascalientes/
unmatched_directory,,,Hilton Garden Inn Al Jubail,QJBAJGI,none,48,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/saudi-arabia/hilton-garden-inn/
unmatched_directory,,,Hilton Garden Inn Al Khobar,DHAAKGI,none,48,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/saudi-arabia/hilton-garden-inn/
unmatched_directory,,,Hilton Garden Inn Al Khobar King Fahd Causeway,DMMFCGI,none,41,No assignment above medium confidence (best: Below match threshold),,https://www.hilton.com/en/locations/saudi-arabia/hilton-garden-inn/
no_changes,recvrtZoFJjmDZqun,Hilton Garden Inn San Juan Condado,Hilton Garden Inn Albany,ALHGIGI,high,44,Website host + name similarity; website host match,,https://www.hilton.com/en/hotels/alhgigi-hilton-garden-inn-albany/
unmatched_directory,,,Hilton Garden Inn Almaty Al-Farabi,ALACKGI,none,48,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/kazakhstan/hilton-garden-inn/
unmatched_directory,,,Hilton Garden Inn Ankara Cankaya,ANKARGI,none,48,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/turkiye/hilton-garden-inn/
unmatched_directory,,,Hilton Garden Inn Ankara Gimat,ANKGIGI,none,48,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/turkiye/hilton-garden-inn/
unmatched_directory,,,Hilton Garden Inn Astana,TSEAKGI,none,53,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/kazakhstan/hilton-garden-inn/
no_changes,recj0s8y9XLlZTEXx,Hilton Garden Inn Asuncion Aviadores del Chaco,Hilton Garden Inn Asuncion Aviadores del Chaco,ASUPYGI,high,98,ctyhocn in census Website URL,,https://www.hilton.com/en/hotels/asupygi-hilton-garden-inn-asuncion-aviadores-del-chaco/
unmatched_directory,,,Hilton Garden Inn Athens Syggrou Avenue,ATHSYGI,none,44,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/greece/hilton-garden-inn/
unmatched_directory,,,Hilton Garden Inn Bahrain Bay,BAHTAGI,none,48,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/bahrain/hilton-garden-inn/
unmatched_directory,,,Hilton Garden Inn Baku,BAKAZGI,none,53,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/azerbaijan/hilton-garden-inn/
unmatched_directory,,,Hilton Garden Inn Bali Ngurah Rai Airport,DPSJAGI,none,48,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/indonesia/hilton-garden-inn/
unmatched_directory,,,Hilton Garden Inn Bali Nusa Dua,DPSNDGI,none,44,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/indonesia/hilton-garden-inn/
unmatched_directory,,,Hilton Garden Inn Balikesir,EDOBKGI,none,53,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/turkiye/hilton-garden-inn/
unmatched_directory,,,Hilton Garden Inn Bangkok Riverside,BKKCPGI,none,48,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/thailand/hilton-garden-inn/
unmatched_directory,,,Hilton Garden Inn Bangkok Silom,BKKSIGI,none,48,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/thailand/hilton-garden-inn/
no_changes,rec638CLFce8kSs5U,Hilton Garden Inn Barranquilla,Hilton Garden Inn Barranquilla,BAQACGI,high,98,ctyhocn in census Website URL,,https://www.hilton.com/en/hotels/baqacgi-hilton-garden-inn-barranquilla/
