status,censusRecordId,censusName,directoryName,directoryBrandPropertyCode,matchConfidence,matchScore,matchReason,fieldsToApply,sourceUrl
unmatched_directory,,,Tru by Hilton Albany Airport,ALBATRU,none,51,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/tru-by-hilton/
unmatched_directory,,,Tru by Hilton Albany Crossgates Mall,ALBUURU,none,44,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/tru-by-hilton/
unmatched_directory,,,Tru by Hilton Amarillo West,AMATXRU,none,48,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/usa/tru-by-hilton/
no_changes,recXxX3Lpml1MSRic,Tru by Hilton Cali Sur,Tru by Hilton Ankeny,DSMSMRU,high,48,Website host + name similarity; website host match,,https://www.hilton.com/en/hotels/dsmsmru-tru-ankeny/
unmatched_directory,,,Tru By Hilton Audubon Valley Forge,PHLAVRU,none,44,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/tru-by-hilton/
unmatched_directory,,,Tru by Hilton Bac Giang City Centre,HANBGRU,none,44,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/vietnam/tru-by-hilton/
unmatched_directory,,,"Tru by Hilton Bracebridge, ON",YQARARU,none,48,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/canada/tru-by-hilton/
unmatched_directory,,,Tru by Hilton Brockton,BOSBKRU,none,53,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/tru-by-hilton/
unmatched_directory,,,Tru by Hilton Brooklyn,JFKIBRU,none,53,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/tru-by-hilton/
unmatched_directory,,,Tru by Hilton Buon Ma Thuot City Centre,BMVBMRU,none,42,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/vietnam/tru-by-hilton/
unmatched_directory,,,Tru by Hilton Burlington,PHLMRRU,none,53,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/tru-by-hilton/
no_changes,recUCjevWreNAb1eW,Tru by Hilton Cali Sur,Tru by Hilton Cali Sur,CLOUDRU,high,98,ctyhocn in census Website URL,,https://www.hilton.com/en/hotels/cloudru-tru-cali-sur/
unmatched_directory,,,Tru by Hilton Can Tho Cai Khe,VCACTRU,none,41,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/vietnam/tru-by-hilton/
no_changes,rec8pDY7m9kotAqTp,Tru by Hilton Chapeco,Tru by Hilton Chapecó,XAPSCRU,high,98,ctyhocn in census Website URL,,https://www.hilton.com/en/hotels/xapscru-tru-chapeco/
unmatched_directory,,,Tru by Hilton Chesapeake Greenbrier,ORFCGRU,none,48,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/tru-by-hilton/
unmatched_directory,,,Tru by Hilton Cheyenne,CYSNDRU,none,53,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/usa/tru-by-hilton/
unmatched_directory,,,Tru by Hilton Chicopee Springfield,BDLRURU,none,48,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/tru-by-hilton/
no_changes,recOF9wBjNxmp2cLY,Tru by Hilton Chillan Ferrat,Tru by Hilton Chillan Ferrat,YAILLRU,high,98,ctyhocn in census Website URL,,https://www.hilton.com/en/hotels/yaillru-tru-chillan-ferrat/
no_changes,reccrgIzgwN619CSv,Tru Ciudad Valles,Tru by Hilton Ciudad Valles,SLPCVRU,high,98,ctyhocn in census Website URL,,https://www.hilton.com/en/hotels/slpcvru-tru-ciudad-valles/
unmatched_directory,,,Tru by Hilton Colorado Springs Airport,COSARRU,none,48,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/usa/tru-by-hilton/
unmatched_directory,,,Tru by Hilton Concord,CONDIRU,none,53,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/tru-by-hilton/
no_changes,recTwfH8I5m042F7j,Tru by Hilton Criciuma,Tru by Hilton Criciuma,CCMSCRU,high,98,ctyhocn in census Website URL,,https://www.hilton.com/en/hotels/ccmscru-tru-criciuma/
unmatched_directory,,,Tru by Hilton Da Nang City Centre,DADDYRU,none,44,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/vietnam/tru-by-hilton/
unmatched_directory,,,Tru by Hilton Denver,LNSRGRU,none,53,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/tru-by-hilton/
unmatched_directory,,,Tru by Hilton Denver Airport Tower Road,DENNYRU,none,44,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/usa/tru-by-hilton/
unmatched_directory,,,Tru by Hilton Denver Downtown Convention Center,DENCSRU,none,41,No assignment above medium confidence (best: Website host + name similarity; website host match),,https://www.hilton.com/en/locations/usa/tru-by-hilton/
