recordId,name,city,country,affiliation,status,ctyhocn,hasHiltonCode,blankFields,yearMonthAffiliated,affiliatedMonth
rec02E7xPBIQlPdqZ,Hilton Garden Inn Ica,Ica,Peru,Hilton Garden Inn,Pipeline,,no,Hotel Description; Amenities; Website; Open Date; Year Affiliated,,
rec0Dy7kkF5Wi8HTD,Hilton Garden Inn  Merida,Mérida,Mexico,Hilton Garden Inn,Open,MIDYUGI,yes,Hotel Description,2017,17
rec1024vvRUtp2ijt,Hampton by Hilton Trinidad Airport,Piarco,Trinidad and Tobago,Hampton by Hilton,Pipeline,,no,Hotel Description; Amenities; Website; Open Date; Year Affiliated,,
rec11yRBgfLOIjnKl,Hampton by Hilton Lima Miraflores,Miraflores,Peru,Hampton by Hilton,Pipeline,,no,Hotel Description; Amenities; Website; Open Date; Year Affiliated,,
rec1DSy1rTE4oKgiF,"Bermudiana Beach Resort, a Tapestry Collection by Hilton",Warwick,Bermuda,Tapestry Collection by Hilton,Pipeline,,no,Hotel Description; Amenities; Website; Open Date; Year Affiliated,,
rec1Q1mqhxAVQUEmh,Hilton Garden Inn Cartagena,Cartagena,Colombia,Hilton Garden Inn,Pipeline,,no,Hotel Description; Amenities; Website; Open Date; Year Affiliated,,
rec1X6pphTLTJMsHw,"Atolon Hotel Cartagena Tierra Bomba, Curio Collection by Hilton",Cartagena,Colombia,Curio Collection by Hilton,Pipeline,,no,Hotel Description; Amenities; Website; Open Date; Year Affiliated,,
rec2csqTgAXfQhBhp,Tru by Hilton San Juan Condado,San Juan,Puerto Rico,Tru by Hilton,Pipeline,,no,Hotel Description; Amenities; Website; Open Date; Year Affiliated,,
rec2rt7LWirHlEIrZ,"Cabos Resort Fajardo, Tapestry Collection by Hilton",Fajardo,Puerto Rico,Tapestry Collection by Hilton,Pipeline,,no,Hotel Description; Amenities; Website; Open Date; Year Affiliated,,
rec3jEROJWiq0YpZc,DoubleTree by Hilton Cote des Arcadins All-Inclusive Resort,Cote des Arcadins,Haiti,DoubleTree by Hilton,Pipeline,,no,Hotel Description; Amenities; Website; Open Date; Year Affiliated,,
rec4iIjTgIygr2wmT,Tru by Hilton San Jose Airport,Río Segundo,Costa Rica,Tru by Hilton,Pipeline,,no,Hotel Description; Amenities; Website; Open Date; Year Affiliated,,
rec59IKNo4tYbaRdQ,DoubleTree by Hilton Cote des Arcadins All-Inclusive Resort,Cote des Arcadins,Haiti,DoubleTree by Hilton,Pipeline,,no,Hotel Description; Amenities; Website; Open Date; Year Affiliated,,
rec5jtMpYE4mJAnHc,"Zacatecas Centro Historico, Curio Collection by Hilton",Zacatecas,Mexico,Curio Collection by Hilton,Pipeline,,no,Hotel Description; Amenities; Website; Open Date; Year Affiliated,,
rec8TNaGOwwd5smNL,Motto by Hilton Mexico City Condesa Roma,Mexico City,Mexico,Motto by Hilton,Pipeline,,no,Hotel Description; Amenities; Website; Open Date; Year Affiliated,,
rec8y62lRCjSu1e6f,"Hotel Museo de Osma Lima, Tapestry Collection by Hilton",Lima,Peru,Tapestry Collection by Hilton,Pipeline,,no,Hotel Description; Amenities; Website; Open Date; Year Affiliated,,
rec98VJxLKvtDtVll,"Botanika Osa Peninsula, Curio Collection by Hilton",Puerto Jimenez,Costa Rica,Curio Collection by Hilton,Open,,no,Amenities; Website; Open Date; Year Affiliated,,
rec9Lz837hytL82ZZ,Waldorf Astoria Guanacaste,Guanacaste,Costa Rica,Waldorf Astoria,Pipeline,,no,Hotel Description; Amenities; Website; Open Date; Year Affiliated,,
rec9bGuNUDNipyyiU,Hampton by Hilton San Salvador Airport,San Salvador,El Salvador,Hampton by Hilton,Pipeline,,no,Hotel Description; Amenities; Website; Open Date; Year Affiliated,,
recBVUw0yFtPxQFbM,Hilton Garden Inn Tarapoto,Tarapoto,Peru,Hilton Garden Inn,Pipeline,,no,Hotel Description; Amenities; Website; Open Date; Year Affiliated,,
recBYT2thdlopl8Wr,Tranquility Beach Resort Dominica,Salisbury,Dominica,Curio Collection by Hilton,Pipeline,,no,Hotel Description; Amenities; Website; Open Date; Year Affiliated,,
recBaCfiYRRSL9wlk,Hilton Garden Inn Corrientes,Mendoza,Argentina,Hilton Garden Inn,Pipeline,,no,Hotel Description; Amenities; Website; Open Date; Year Affiliated,,
recC3x6zoELYnZB6S,Hilton Garden Inn Buenos Aires Norte,Buenos Aires,Argentina,Hilton Garden Inn,Pipeline,,no,Hotel Description; Amenities; Website; Open Date; Year Affiliated,,
recCAPiVkeqqaWq1i,Hampton by Hilton Jujuy,San Salvador de Jujuy,Argentina,Hampton by Hilton,Pipeline,,no,Hotel Description; Amenities; Website; Open Date; Year Affiliated,,
recCtM7BF50aAvrs8,Hampton by Hilton Trujillo,Trujillo,Peru,Hampton by Hilton,Pipeline,,no,Hotel Description; Amenities; Website; Open Date; Year Affiliated,,
recDxFoKkEHGohxOA,Tru by Hilton Marechal Candido Rondon,Marechal Candido Rondon,Brazil,Tru by Hilton,Pipeline,,no,Hotel Description; Amenities; Website; Open Date; Year Affiliated,,
recERTGHghwfg4Dt5,"Hilton La Romana, an All-Inclusive Family Resort",La Romana,Dominican Republic,Hilton,Open,LRMFMHH,yes,Hotel Description,2018,18
recETlBd8ctQnHx4L,Hilton Garden Inn Averanda,Cuernavaca,Mexico,Hilton Garden Inn,Pipeline,,no,Hotel Description; Amenities; Website; Open Date; Year Affiliated,,
recEUtZHQPnLewkwX,Hilton Garden Inn Downtown Punta Cana,Punta Cana,Dominican Republic,Hilton Garden Inn,Pipeline,,no,Hotel Description; Amenities; Website; Open Date; Year Affiliated,,
recFGpFeQonDwGRTR,"Hilton Punta Cana Bavaro, an Adults Only All-Inclusive Resort",Punta Cana,Dominican Republic,Hilton,Pipeline,,no,Hotel Description; Amenities; Website; Open Date; Year Affiliated,,
recFPcGZuSVEyYsId,Waldorf Astoria Mexico City,Mexico City,Mexico,Waldorf Astoria,Pipeline,,no,Hotel Description; Amenities; Website; Open Date; Year Affiliated,,
recFPj0J4qXj5ZGLb,Hilton Garden Inn Posadas,Posadas,Argentina,Hilton Garden Inn,Pipeline,,no,Hotel Description; Amenities; Website; Open Date; Year Affiliated,,
recFebAaFowWhJ8Zp,Hilton Punta Cana Bavaro Family Resort,Punta Cana,Dominican Republic,Hilton,Pipeline,,no,Hotel Description; Amenities; Website; Open Date; Year Affiliated,,
recGKuT86TJI05QAA,"AMARIS Grace Bay, LXR Hotels & Resorts",Providenciales,Turks and Caicos Islands,LXR Hotels & Resorts,Pipeline,,no,Hotel Description; Amenities; Website; Open Date; Year Affiliated,,
recHwd7ZmTHAWzNmI,Hampton by Hilton Guadalajara Periferico Sur,San Pedro Tlaquepaque,Mexico,Hampton by Hilton,Pipeline,,no,Hotel Description; Amenities; Website; Open Date; Year Affiliated,,
recJVheMdCGoKM0Eg,"Hotel Koti Gramado, Curio Collection by Hilton",Gramado,Brazil,Curio Collection by Hilton,Pipeline,,no,Hotel Description; Amenities; Website; Open Date; Year Affiliated,,
recKLvUHJCL77N3RJ,"Garcha Palace Santiago, Curio Collection by Hilton",Santiago,Chile,Curio Collection by Hilton,Pipeline,,no,Hotel Description; Amenities; Website; Open Date; Year Affiliated,,
recKzmZRG4Kq0yOQn,Hilton Garden Inn Nuevo Vallarta,Nuevo Vallarta,Mexico,Hilton Garden Inn,Pipeline,,no,Hotel Description; Amenities; Website; Open Date; Year Affiliated,,
recL6NmApK64e6fT6,Homewood Suites by Hilton Florianopolis,Florianopolis,Brazil,Homewood Suites by Hilton,Pipeline,,no,Hotel Description; Amenities; Website; Open Date; Year Affiliated,,
recMKUFCTmWhpcmAT,Hilton Garden Inn,Medellin,Colombia,Hilton Garden Inn,Pipeline,,no,Hotel Description; Amenities; Website; Open Date; Year Affiliated,,
recMLRJKXUoyLYL0M,Canopy by Hilton Guadalajara,Guadalajara,Mexico,Canopy by Hilton,Pipeline,,no,Hotel Description; Amenities; Website; Open Date; Year Affiliated,,
