verdict,censusRecordId,censusName,hiltonName,ctyhocn,censusStatus,hiltonStatus,hiltonOpenDate,city,country,affiliation
match,rec00NJhff5GN3n23,Motto by Hilton Guadalajara Centro Historico,Motto by Hilton Guadalajara Centro Historico,GDLCHUA,Pipeline,Pipeline,2026-06-23,Guadalajara,Mexico,Motto by Hilton
unverified_no_code,rec02E7xPBIQlPdqZ,Hilton Garden Inn Ica,,,Pipeline,,,Ica,Peru,Hilton Garden Inn
match,rec0ASKS5YOZBYYnc,Hilton Garden Inn Lima Miraflores,Hilton Garden Inn Lima Miraflores,LIMLMGI,Open,Open,2022-05-05,Lima,Peru,Hilton Garden Inn
match,rec0CaettSIncDMg7,Hilton Garden Inn Queretaro,Hilton Garden Inn Queretaro,QROPIGI,Open,Open,2012-12-12,Queretaro,Mexico,Hilton Garden Inn
unverified_graphql_error,rec0Dy7kkF5Wi8HTD,Hilton Garden Inn Merida,,MIDYUGI,Open,,,Mérida,Mexico,Hilton Garden Inn
match,rec0MLxIzT3tmzOCH,Hilton Garden Inn Santiago del Estero,Hilton Garden Inn Santiago del Estero,SDEGIGI,Open,Open,2021-10-15,Santiago del Estero,Argentina,Hilton Garden Inn
match,rec0bJzOb120B2jEc,DoubleTree by Hilton Bogota Salitre AR,DoubleTree by Hilton Bogota Salitre AR,BOGDTDT,Open,Open,2020-01-14,Bogota,Colombia,DoubleTree by Hilton
match,rec0fJMjqu1N2aMyL,Hampton Inn by Hilton San Luis Potosi,Hampton Inn by Hilton San Luis Potosi,SLPHXHX,Open,Open,2019-02-15,San Luis Potosi,Mexico,Hampton by Hilton
unverified_no_code,rec1024vvRUtp2ijt,Hampton by Hilton Trinidad Airport,,,Pipeline,,,Piarco,Trinidad and Tobago,Hampton by Hilton
unverified_no_code,rec11yRBgfLOIjnKl,Hampton by Hilton Lima Miraflores,,,Pipeline,,,Miraflores,Peru,Hampton by Hilton
match,rec172h7kVbwOoUwD,Hilton Garden Inn Guanacaste Airport,Hilton Garden Inn Guanacaste Airport,SJOLAGI,Open,Open,2008-11-17,Liberia,Costa Rica,Hilton Garden Inn
unverified_no_code,rec1DSy1rTE4oKgiF,"Bermudiana Beach Resort, a Tapestry Collection by Hilton",,,Pipeline,,,Warwick,Bermuda,Tapestry Collection by Hilton
unverified_no_code,rec1Q1mqhxAVQUEmh,Hilton Garden Inn Cartagena,,,Pipeline,,,Cartagena,Colombia,Hilton Garden Inn
match,rec1Ri5x70QWk214j,Hampton by Hilton Inn & Suites Aguascalientes,Hampton Inn & Suites by Hilton Aguascalientes Airport,AGUHXHX,Open,Open,2015-02-24,Aguascalientes,Mexico,Hampton by Hilton
unverified_no_code,rec1X6pphTLTJMsHw,"Atolon Hotel Cartagena Tierra Bomba, Curio Collection by Hilton",,,Pipeline,,,Cartagena,Colombia,Curio Collection by Hilton
match,rec1YhkKq136V8ylI,Tru by Hilton Puebla Angelopolis,Tru by Hilton Puebla Angelopolis,PBCAGRU,Open,Open,2026-01-08,San Andres Cholula,Mexico,Tru by Hilton
match,rec1eJREGASgjYWsE,Hampton Inn By Hilton Hermosillo,Hampton Inn by Hilton Hermosillo,HMORSHX,Open,Open,2014-11-25,Hermosillo,Mexico,Hampton by Hilton
match,rec2OwKL9doDU6wA6,Hampton Inn Ciudad Juarez,Hampton Inn by Hilton Ciudad Juárez,CDJMXHX,Open,Open,2005-05-11,Ciudad Juarez,Mexico,Hampton by Hilton
match,rec2UDYReyg9GnzRF,Curio Collection by Hilton Villa Mercedes Merida,"Villa Mercedes Merida, Curio Collection by Hilton",MIDVMQQ,Open,Open,2021-09-30,Merida,Mexico,Curio Collection by Hilton
match,rec2V2gwJBUAKxHNl,Hilton San Jose La Sabana,Hilton San Jose La Sabana,SJONAHH,Open,Open,2021-05-11,San Jose,Costa Rica,Hilton
match,rec2aR9iQWc4bmzm9,Hampton by Hilton San Juan City Center,Hampton by Hilton San Juan City Center,SJACCHX,Pipeline,Pipeline,2026-09-17,San Juan,Puerto Rico,Hampton by Hilton
unverified_no_code,rec2csqTgAXfQhBhp,Tru by Hilton San Juan Condado,,,Pipeline,,,San Juan,Puerto Rico,Tru by Hilton
match,rec2czX5DMGw8Ovmt,Hampton by Hilton Saltillo,Hampton by Hilton Saltillo,SLWHAHX,Open,Open,2002-03-06,Saltillo,Mexico,Hampton by Hilton
unverified_no_code,rec2rt7LWirHlEIrZ,"Cabos Resort Fajardo, Tapestry Collection by Hilton",,,Pipeline,,,Fajardo,Puerto Rico,Tapestry Collection by Hilton
match,rec30RgNl0ReqOtYx,Zemi Miches All-Inclusive Resort Curio Collection by Hilton,"Zemi Miches Punta Cana All-Inclusive Resort, Curio Collection by Hilton",PUJMIQQ,Open,Open,2025-06-17,Miches,Dominican Republic,Curio Collection by Hilton
match,rec34iQ7sh5NarWcu,Motto by Hilton Tulum,Motto by Hilton Tulum,CZMTUUA,Open,Open,2022-10-24,Tulum,Mexico,Motto by Hilton
match,rec3NhNLYI09P1AQp,Hilton Bogota,Hilton Bogota,BOGBCHH,Open,Open,2011-11-15,Bogota,Colombia,Hilton
match,rec3SDNEVxMCJaBpG,Hilton Garden Inn Panama City Downtown,Hilton Garden Inn Panama City Downtown,PTYDNGI,Open,Open,2023-12-13,Panama,Panama,Hilton Garden Inn
match,rec3WSuJfRfLW1rJb,Hampton by Hilton Guanacaste Airport,Hampton by Hilton Guanacaste Airport,LIRRAHX,Open,Open,2023-11-30,Liberia,Costa Rica,Hampton by Hilton
unverified_no_code,rec3jEROJWiq0YpZc,DoubleTree by Hilton Cote des Arcadins All-Inclusive Resort,,,Pipeline,,,Cote des Arcadins,Haiti,DoubleTree by Hilton
match,rec3vrNUkunH7SNJE,Hilton Vacation Club Royal Palm St. Maarten,Hilton Vacation Club Royal Palm St. Maarten,SXMROGV,Open,Open,2022-09-22,Philipsburg,Sint Maarten (Dutch part),Hilton Grand Vacations
match,rec4GHCdHmpcC79jZ,Hilton Buenos Aires,Hilton Buenos Aires,BUEHIHH,Open,Open,,Buenos Aires,Argentina,Hilton
match,rec4NKyjfJZBOZkYu,"Mahogany Bay Resort & Beach Club, Curio Collection by Hilton","Mahogany Bay Resort & Beach Club, Curio Collection by Hilton",TZAMBQQ,Open,Open,2017-12-06,San Pedro,Belize,Curio Collection by Hilton
match,rec4Tk1N3YVhZQu4L,DoubleTree by Hilton Hotel Mexico City Santa Fe,DoubleTree by Hilton Hotel México City Santa Fe,MEXSTDT,Open,Open,2016-12-01,Mexico City,Mexico,DoubleTree by Hilton
match,rec4aiFJ2Dr5F6Za7,Hilton Garden Inn Cusco,Hilton Garden Inn Cusco,CUZGIGI,Open,Open,2015-12-16,Cusco,Peru,Hilton Garden Inn
match,rec4bSVPjrcRfLaSk,DoubleTree by Hilton Porto Alegre,DoubleTree by Hilton Porto Alegre,POABRDT,Open,Open,2022-12-14,Porto Alegre,Brazil,DoubleTree by Hilton
match,rec4fpErb1WQoRS8N,DoubleTree by Hilton Toluca,DoubleTree by Hilton Toluca,TLCTLDT,Open,Open,2019-05-30,Toluca,Mexico,DoubleTree by Hilton
unverified_no_code,rec4iIjTgIygr2wmT,Tru by Hilton San Jose Airport,,,Pipeline,,,Río Segundo,Costa Rica,Tru by Hilton
match,rec562J8v78iMgqzm,Hampton by Hilton Quito La Carolina Park,Hampton by Hilton Quito La Carolina Park,UIOCMHX,Open,Open,2023-02-16,Quito,Ecuador,Hampton by Hilton
match,rec57iPzFuI4WlxX4,MM Grand Hotel Puebla Tapestry Collection by Hilton,"MM Grand Hotel Puebla, Tapestry Collection by Hilton",PBCMMUP,Open,Open,2019-12-05,Puebla,Mexico,Tapestry Collection by Hilton
unverified_no_code,rec59IKNo4tYbaRdQ,DoubleTree by Hilton Cote des Arcadins All-Inclusive Resort,,,Pipeline,,,Cote des Arcadins,Haiti,DoubleTree by Hilton
match,rec5SGZRRc8oxXlA4,Hilton Mexico City Airport,Hilton México City Airport,MEXAHHF,Open,Open,,Mexico City,Mexico,Hilton
match,rec5WGmqmEcgSJovQ,Hampton by Hilton Ponce,Hampton by Hilton Ponce,PSEPOHX,Pipeline,Pipeline,2027-03-20,Ponce,Puerto Rico,Hampton by Hilton
