recordId,name,country,city,existingRegion,existingSubContinent,proposedRegion,proposedSubContinent,status
rec00NJhff5GN3n23,"Motto by Hilton Guadalajara Centro Historico","Mexico","Guadalajara","Caribbean & Latin America","","","North America",ready
rec01m3hRVIOamDDu,"Holiday Inn Express & Suites Nuevo Vallarta","Mexico","Bahia de Banderas","Caribbean & Latin America","","","North America",ready
rec022VIYxisrXAgH,"ibis Bogota Calle 80","Colombia","Bogota","Caribbean & Latin America","","","South America",ready
rec02E7xPBIQlPdqZ,"Hilton Garden Inn Ica","Peru","Ica","Caribbean & Latin America","","","South America",ready
rec02Fl5fQw6Pct3O,"ibis Barra Dos Garcas","Brazil","Barra Do Garcas","Caribbean & Latin America","","","South America",ready
rec09hIMClfPpoSb1,"Holiday Inn Express & Suites Puerto Penasco","Mexico","Puerto Peñasco","Caribbean & Latin America","","","North America",ready
rec0DYGC1iA2IONfi,"ibis Uruguaiana","Brazil","Uruguaiana","Caribbean & Latin America","","","South America",ready
rec0DeJ2QKwzRMvec,"Park Hyatt Cancun","Mexico","Cancun","Caribbean & Latin America","","","North America",ready
rec0JdHJ51txgXaOW,"Delta Hotels Riviera Nayarit, An All-Inclusive Resort","Mexico","Bucerías","Caribbean & Latin America","","","North America",ready
rec0WBj2bFEGDEXrM,"Hotel Mousai Cancun","Mexico","Cancun","Caribbean & Latin America","","","North America",ready
rec0XMXaXzlE0A49F,"Courtyard by Marriott Roseau Dominica","Dominica","Roseau","Caribbean & Latin America","","","Caribbean",ready
rec0hAss1MVvoaOBE,"Staybridge Suites Guadalajara Sur","Mexico","Tlajomulco de Zúñig","Caribbean & Latin America","","","North America",ready
rec0ii2rB7cgaAE6s,"Esplendor Bavaro","Dominican Republic","Bavaro","Caribbean & Latin America","","","Caribbean",ready
rec0tquO6GDwBv6Ke,"Ramada Ushuaia","Argentina","Ushuaia","Caribbean & Latin America","","","South America",ready
rec1024vvRUtp2ijt,"Hampton by Hilton Trinidad Airport","Trinidad and Tobago","Piarco","Caribbean & Latin America","","","Caribbean",ready
rec11yRBgfLOIjnKl,"Hampton by Hilton Lima Miraflores","Peru","Miraflores","Caribbean & Latin America","","","South America",ready
rec17Vm8o5kIaslXB,"ibis Pouso Alegre","Brazil","Pouso Alegre","Caribbean & Latin America","","","South America",ready
rec1CezDIoeDuV6S2,"Iberostar Selection Playa Mita","Mexico","Punta De Mita","Caribbean & Latin America","","","North America",ready
rec1DSy1rTE4oKgiF,"Bermudiana Beach Resort, a Tapestry Collection by Hilton","Bermuda","Warwick","Caribbean & Latin America","","","Caribbean",ready
rec1NSrPH7lLHa99W,"Voco Queretaro QRO","Mexico","Querétaro","Caribbean & Latin America","","","North America",ready
rec1Q1mqhxAVQUEmh,"Hilton Garden Inn Cartagena","Colombia","Cartagena","Caribbean & Latin America","","","South America",ready
rec1SSmWonlA2X3Wa,"Westin Resort & Spa Playa Conchal","Costa Rica","Brasilito","Caribbean & Latin America","","","Central America",ready
rec1WNAPAmbBww4W3,"City Express by Marriott Cancun Aeropuerto","Mexico","Cancun","Caribbean & Latin America","","","North America",ready
rec1X5Br2epK6C501,"The Riviera Maya Edition at Kanai","Mexico","Playa del Carmen","Caribbean & Latin America","","","North America",ready
rec1X6pphTLTJMsHw,"Atolon Hotel Cartagena Tierra Bomba, Curio Collection by Hilton","Colombia","Cartagena","Caribbean & Latin America","","","South America",ready
rec1Y2Pr88guyIBVX,"Days Inn Juan Dolio Beach","Dominican Republic","Playa Juan Dolio","Caribbean & Latin America","","","Caribbean",ready
rec1YhkKq136V8ylI,"Tru by Hilton Puebla Angelopolis","Mexico","San Andres Cholula","Caribbean & Latin America","","","North America",ready
rec1famkAFz2yyQ3a,"Super 8 Boca Chica","Dominican Republic","Boca Chica","Caribbean & Latin America","","","Caribbean",ready
rec1qGDrIVxqAZ5CM,"Staybridge Suites Leon City Center","Mexico","León","Caribbean & Latin America","","","North America",ready
rec1s4PwI9HHtIyFT,"Holiday Inn Express Cali Airport","Colombia","Cali","Caribbean & Latin America","","","South America",ready
rec1tgQsiL073JhgB,"Ramada by Wyndham Jaguaruna","Brazil","Jaguaruna","Caribbean & Latin America","","","South America",ready
rec1txbnQn2skPi18,"City Express by Marriott Junior Mazatlan Villa Union","Mexico","Villa Unión","Caribbean & Latin America","","","North America",ready
rec1ydNZXP2vozFSB,"Galeria Plaza Monterrey","Mexico","Monterrey","Caribbean & Latin America","","","North America",ready
rec2F0rBo5YVaWi4O,"Hotel Rumbao, a Tribute Portfolio Hotel","Puerto Rico","San Juan","Caribbean & Latin America","","","Caribbean",ready
rec2JjHjxDIt5SubN,"AC Hotel Santiago de los Caballeros","Dominican Republic","Santiago de los Caballeros","Caribbean & Latin America","","","Caribbean",ready
rec2RUkZ1isVgLSuM,"W Punta Cana Adult All-Inclusive","Dominican Republic","Punta Cana","Caribbean & Latin America","","","Caribbean",ready
rec2WUtRqTTTnGWEI,"Cas en Bas By Dream Hotel Group","Saint Lucia","Soucis","Caribbean & Latin America","","","Caribbean",ready
rec2XntFWAhq5oaBx,"ibis budget Concepcion","Chile","Concepcion","Caribbean & Latin America","","","South America",ready
rec2ZOABX5Kz1Ax55,"Banyan Tree Veya Valle de Guadalupe","Mexico","Valle de Guadelupe","Caribbean & Latin America","","","North America",ready
rec2aR9iQWc4bmzm9,"Hampton by Hilton San Juan City Center","Puerto Rico","San Juan","Caribbean & Latin America","","","Caribbean",ready
rec2b9MREo000mpFV,"Registry Collection Hotels Foz do Iguaçu","Brazil","Foz do Iguaçu","Caribbean & Latin America","","","South America",ready
rec2csqTgAXfQhBhp,"Tru by Hilton San Juan Condado","Puerto Rico","San Juan","Caribbean & Latin America","","","Caribbean",ready
rec2ec9kmJpQfns9j,"Staybridge Suites Monterrey Sendero","Mexico","Escobedo","Caribbean & Latin America","","","North America",ready
rec2m58qf9yauGWiH,"Hard Rock Hotel & Casino Aruba","Aruba","Oranjestad","Caribbean & Latin America","","","Caribbean",ready
rec2rt7LWirHlEIrZ,"Cabos Resort Fajardo, Tapestry Collection by Hilton","Puerto Rico","Fajardo","Caribbean & Latin America","","","Caribbean",ready
rec2vWSR663tJvgxo,"AC Hotel Saltillo","Mexico","Saltillo","Caribbean & Latin America","","","North America",ready
rec2wBLvM5jklw2Fd,"Kimpton Kawana Bay","Grenada","St George's","Caribbean & Latin America","","","Caribbean",ready
